---
season: d2
gender: men
description: schedule/scoreboard from team websites
updated: 2022-01-21
past: 85 (15%)
future: 464 (84%)
completed: 70 (82%)
unreported: 15 (18%)
total: 550
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	teamId	opponentId	dualId
ITA	58857	2021-09-30	 3:30pm	M		BENT                       	at		NIC                        	 	   	 	 	d2/d3  	2021-09-30T19:30Z			8b4256d0-9701-4fc1-aeff-1e45e097803b
ITA	85013	2021-09-30	 4:00pm	M		WAYNE                      	at		FROST                      	 	   	 	 	d3/d2  	2021-09-30T20:00Z			7eb68422-840f-4805-8684-b40d4d578b7e
ITA	49244	2021-09-30	 3:00pm	M		MOVAL                      	at		QU                         	 	   	 	 	naia/d2	2021-09-30T19:00Z			af5d39d7-4304-480d-ae7c-4af79f003be5
ITA	85502	2021-10-01	 9:00am	M		GVSU                       	at		UIC                        	W	5-2	 	 	d2/d1  	2021-10-01T13:00Z			1f540dfb-a8d2-4a09-b3a9-01409fed6eca
ITA	 7108	2021-10-02	12:00pm	M		WISE                       	at		MARYV                      	W	7-0	 	 	d2/d3  	2021-10-02T16:00Z			625151eb-9d88-4165-b0d2-72a43630f732
ITA	25664	2021-10-02	 2:00pm	M		LSSU                       	at		AQUIN                      	W	7-0	 	 	d2/naia	2021-10-02T18:00Z			10182e2c-6ac9-4181-bad2-05f714a33b2f
ITA	40343	2021-10-02	10:00am	M		BENT                       	vs		EMERS                      	 	   	N	 	d2/d3  	2021-10-02T14:00Z			d1ed0c80-172d-4d12-b8c0-dcd6017bd03f
ITA	64623	2021-10-02	 5:00pm	M		EMERS                      	at		BENT                       	 	   	 	 	d3/d2  	2021-10-02T21:00Z			ebf9253c-892f-4354-b042-17c16d94a465
ITA	39631	2021-10-02	10:00am	M		CORNR                      	at		DAVEN                      	L	3-4	 	 	naia/d2	2021-10-02T14:00Z			1f148f78-1fe3-425f-a9a1-d732c95a2acd
ITA	67427	2021-10-02	 6:00pm	M		MOVAL                      	at		MCK                        	 	   	 	 	naia/d2	2021-10-02T22:00Z			a36e790b-9fb2-411f-bfc2-302b0ea1d943
ITA	72410	2021-10-05	 4:30pm	M		CED                        	at		WITT                       	L	4-5	 	 	d2/d3  	2021-10-05T20:30Z			ca4ae93b-d1c3-479f-8333-55ab0cfb79f4
ITA	93341	2021-10-05	 3:00pm	M		WISE                       	at		SHAWN                      	W	4-3	 	 	d2/naia	2021-10-05T19:00Z			806ba666-13e3-4ad1-a73e-389196b0e0f5
ITA	33975	2021-10-08	 6:00pm	M		GVSU                       	at		CORNR                      	W	6-1	 	 	d2/naia	2021-10-08T22:00Z			684221c7-39d4-49d6-8dd9-da0bd69cfc7e
ITA	29239	2021-10-08	12:00pm	M		OLIVT                      	at		UIS                        	L	0-7	 	 	naia/d2	2021-10-08T16:00Z			793190b5-f19e-4dc8-8fc4-183fc3f27d50
ITA	24762	2021-10-09	 1:00pm	M		SFU                        	at		BUP                        	W	6-1	 	 	d1/d2  	2021-10-09T17:00Z			1e58f139-d9a3-4236-b704-de774ac9191b
ITA	28558	2021-10-09	 1:00pm	M		WLU                        	at		CED                        	W	5-2	 	 	d2     	2021-10-09T17:00Z			446f8b00-d460-4fba-8a81-00ec63d8d6c1
ITA	64501	2021-10-09	 3:00pm	M		UC                         	at		WING                       	W	4-3	 	 	d2     	2021-10-09T19:00Z			a1c033d0-38ad-4736-876b-fc936227e9cf
ITA	71203	2021-10-09	11:00am	M		LOC                        	at		NIA                        	L	3-4	 	 	d2/d1  	2021-10-09T15:00Z			05c2a1df-cef0-4f45-a68d-a00fbc9e8ea3
