---
season: 2021-22
division: d2
gender: women
description: schedule/scoreboard from conference websites
updated: 2022-01-21
past: 83 (9%)
today: 1 (0%)
future: 779 (88%)
completed: 82 (98%)
postponed: 1 (1%)
unreported: 1 (1%)
total: 882
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
 GLVC	132822	2021-09-18	 2:00pm	W		WJC  	at		MOVAL	W	6-1	 	 	d2/naia		2021-09-18T18:00Z		CT	1:00 P.M. 	Marshall, MO                        				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglHIARg3QYR5%2fBgSCyuqNll341UeqqfapDZf7dLktzvL0apaalVxZhW3Nyik4i4omnFZuHv6Q%2f9S3e3a4Y3bvSNq8aQIia0P7sDm7YVQgtE%2bw%3d%3d&path=wten)
 PSAC	112107	2021-09-18	 4:00pm	W		WMNPA	at		CUP  	W	5-2	 	 	d3/d2  		2021-09-18T20:00Z		ET	4:00 P.M. 	California, PA                      				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmxdLJOv%2fjRrK5ASrfF4FjowrVK2NYKbK3NP8MLzOoYJZBiOlTFXlewWj5haCZb3bZujraTM3msP%2fMtekMoRR2%2f&path=wten)
 GLVC	132823	2021-09-19	 1:00pm	W		WJC  	at		BAKER	W	7-0	 	 	d2/naia		2021-09-19T17:00Z		CT	12:00 P.M.	Baldwin City, KS                    				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglHIARg3QYR5%2fBgSCyuqNll341UeqqfapDZf7dLktzvL0apaalVxZhW3Nyik4i4omn5599exWJZ4W1kpZt%2bSjLEOZvig3u1J1tStp%2bOwYBDuw%3d%3d&path=wten)
 GLVC	132816	2021-09-19	 3:00pm	W		TRU  	at		SIMP 	W	7-2	 	 	d2/d3  		2021-09-19T19:00Z		CT	2:00 P.M. 	Indianola, IA                       				
 PSAC	112108	2021-09-21	 3:30pm	W		FMNT 	at		CUP  	W	6-1	 	 	d2     		2021-09-21T19:30Z		ET	3:30 P.M. 	California, PA                      				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmxdLJOv%2fjRrK5ASrfF4FjowrVK2NYKbK3NP8MLzOoYJUbet%2fh%2f7bjDzkW%2bC8s4NwM%2b0SOcRRVM7WsFWKu%2fdSjp&path=wten)
 GLVC	132815	2021-09-24	 2:00pm	W		TRU  	at		STAMB	W	4-3	 	 	d2/naia		2021-09-24T18:00Z		CT	1:00 P.M. 	Davenport, IA                       				
G-MAC	 35396	2021-09-24	 4:00pm	W		WSU  	at		HIL  	W	6-1	 	 	d2     		2021-09-24T20:00Z		  	4:00 P.M. 	Detroit, MI                         				[Box Score](https://static.greatmidwestsports.com/custompages/Stats/2021-22/wten21-22/hcw-wsu.htm)
G-MAC	 35419	2021-09-25	11:00am	W		JOHN 	at		KWC  	W	5-2	 	 	naia/d2		2021-09-25T15:00Z		  	11:00 A.M.	Owensboro, KY                       				
 PSAC	112127	2021-09-25	11:00am	W		THIEL	at		CLARN	L	2-5	 	 	d3/d2  		2021-09-25T15:00Z		ET	11:00 A.M.	Clarion, PA                         				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnQvn%2fToc3geOwpg6p%2ffJFhByJxHHQNg%2fZpiwZvHYdQig1b04%2bUD6PfKA12lY3axlwJKN5IgR4qAi8WGPImRqmdPxeUc1Gnu9mWeG5lnkJbjA%3d%3d&path=wten)
G-MAC	 35706	2021-09-25	 2:30pm	W		CED  	at		MUSK 	W	9-0	 	 	d2/d3  		2021-09-25T18:30Z		  	2:30 P.M. 	Zanesville, OH                      				[Box Score](https://static.greatmidwestsports.com/custompages/Stats/2021-22/wten21-22/match-02.htm)
