---
season: 2021-22
division: d1
gender: women
description: schedule/scoreboard from team websites
updated: 2022-01-21
past: 189 (4%)
today: 48 (1%)
future: 3671 (77%)
completed: 161 (68%)
postponed: 14 (6%)
cancelled: 13 (5%)
unreported: 49 (21%)
total: 4784
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
   HC	  9540	2021-09-26	12:00pm	W	  	CTCOL	at	  	HC   	L	3-4	 	 	d3/d1  		2021-09-26T16:00Z		   	12:00 PM	Worcester, MA	[Sinnott Family Tennis Facility](/facilities/?id=13)			[Recap](/news/2021/9/26/womens-tennis-womens-tennis-downs-connecticut-college.aspx) [Final Results](/documents/2021/9/26/HCWT05.pdf)
 SIEN	 16140	2021-09-26	5:00pm 	W	  	SHU  	at	  	SIEN 	L	1-6	 	 	d1     		2021-09-26T21:00Z		   	5 PM	Latham, NY	[Tri-City Fitness](/facilities/?id=11)			[Box Score](/sports/womens-tennis/stats/2021-22/sacred-heart/boxscore/16140) [Recap](/news/2021/9/26/womens-tennis-strong-singles-play-lifts-saints-over-sacred-heart.aspx)
 MRMK	 10703	2021-09-29	3:00pm 	W	  	MRMK 	at	  	BABS 	W	6-3	 	 	d1/d3  		2021-09-29T19:00Z		   	3:00 PM	Babson Park, MA				[Recap](/news/2021/9/29/merrimack-womens-tennis-impresses-in-fall-debut.aspx)
   HC	  9538	2021-09-30	4:00pm 	W	  	ENDCT	at	  	HC   	L	2-5	 	 	d3/d1  		2021-09-30T20:00Z		   	4:00 PM	Worcester, MA	[Sinnott Family Tennis Facility](/facilities/?id=13)			[Recap](/news/2021/10/3/womens-tennis-crusaders-fall-to-vassar.aspx) [Final Results](/documents/2021/9/30/HCWT06.pdf)
  UIC	 16937	2021-10-01	1:00pm 	W	  	GVSU 	at	  	UIC  	L	0-7	 	 	d2/d1  		2021-10-01T17:00Z		   	12:00 p.m.	Chicago	[Flames Outdoor Tennis Courts](/facilities/?id=9)			[Box Score](/sports/womens-tennis/stats/2021-22/grand-valley-state/boxscore/16937) [Recap](/news/2021/10/1/womens-tennis-flames-sweep-lakers-with-7-0-win.aspx)
   HC	  9541	2021-10-03	12:00pm	W	  	VASSR	at	  	HC   	W	4-1	 	 	d3/d1  		2021-10-03T16:00Z		   	12:00 PM	Worcester, MA	[Sinnott Family Tennis Facility](/facilities/?id=13)			[Recap](/news/2021/10/3/womens-tennis-crusaders-fall-to-vassar.aspx) [Final Results](/documents/2021/10/3/HCWT07.pdf)
 MONM	 18090	2021-10-07	3:00pm 	W	  	MONM 	at	  	LAF  	W	4-3	 	 	d1     		2021-10-07T19:00Z		   	3:00 PM	Easton, PA				[Recap](/news/2021/10/8/womens-tennis-womens-tennis-tops-lafayette-in-road-tilt.aspx)
OMAHA	 17433	2021-10-08	1:30pm 	W	  	MIDLN	at	  	OMAHA	L	1-6	 	 	naia/d1		2021-10-08T17:30Z		   	12:30 p.m.	Omaha, NE	[KOCH TENNIS CENTER](https://parks.cityofomaha.org/koch-family-outdoor-tennis-center)			[Box Score](/sports/womens-tennis/stats/2021-22/midland/boxscore/17433)
 MONM	 18086	2021-10-08	3:00pm 	W	  	MONM 	at	  	URI  	L	1-6	 	 	d1     		2021-10-08T19:00Z		   	3 PM	Kingston, RI				[Recap](/news/2021/10/8/womens-tennis-hawks-drop-non-conference-match-to-rhode-island.aspx)
RIDER	 10410	2021-10-09	11:00am	W	  	RIDER	at	  	LAF  	L	3-4	 	 	d1     		2021-10-09T15:00Z		   	11:00 AM	Easton, PA				[Recap](/news/2021/10/9/womens-tennis-edged-at-lafayette-4-3.aspx)
 FORD	  9938	2021-10-09	11:00am	W	  	WAG  	at	  	FORD 	L	1-6	 	 	d1     		2021-10-09T15:00Z		   	11:00 AM	Bronx, NY	Hawthorn/Rooney Tennis Courts			[Box Score](/sports/womens-tennis/stats/2021-22/wagner-college/boxscore/9938) [Recap](/news/2021/10/11/womens-tennis-womens-tennis-defeats-wagner-6-1.aspx)
 MRMK	 10702	2021-10-12	3:00pm 	W	  	MRMK 	at	  	ENDCT	W	7-2	 	 	d1/d3  		2021-10-12T19:00Z		   	3:00 PM	Beverly, MA				[Recap](/news/2021/10/13/dominant-performances-across-the-board-propels-womens-tennis-against-endicott.aspx)
 MRMK	 10748	2021-10-15	1:00pm 	W	  	MRMK 	at	  	BRY  	W	4-3	 	 	d1     		2021-10-15T17:00Z		   	1:00 PM	Smithfield, RI				[Recap](/news/2021/10/19/womens-tennis-finishes-undefeated-fall-season-against-bryant.aspx)
 MONM	 18091	2021-10-15	3:30pm 	W	  	WAG  	at	  	MONM 	L	2-5	 	 	d1     		2021-10-15T19:30Z		   	3:30 PM	West Long Branch, NJ	[Outdoor Tennis Complex](/facilities/?id=9)			[Recap](/news/2021/10/15/womens-tennis-monmouth-claims-home-win-versus-wagner.aspx)
  SFC	  7328	2021-10-16	12:00pm	W	  	SFC  	at	  	WAG  	L	3-4	 	 	d1     		2021-10-16T16:00Z		   	12:00 PM	Staten Island, NY				[Box Score](/sports/womens-tennis/stats/2021-2022/wagner-college/boxscore/7328)
 COLG	  8976	2021-10-17	4:30pm 	W	  	DAEMN	at	  	COLG 	L	0-7	 	 	d2/d1  		2021-10-17T20:30Z		   	4:30 PM	Hamilton	[J. W. Abrahamson Tennis Courts](/facilities/?id=13)			[Box Score](/sports/womens-tennis/stats/2021-22/daemen/boxscore/8976) [Recap](/news/2021/10/17/womens-tennis-raiders-blank-daemen-7-0.aspx)
   HC	  9542	2021-10-20	3:30pm 	W	  	AC   	at	  	HC   	L	3-4	 	 	d2/d1  		2021-10-20T19:30Z		   	3:30 PM	Worcester, MA	[Sinnott Family Tennis Facility](/facilities/?id=13)			[Recap](/news/2021/10/20/womens-tennis-womens-tennis-tops-assumption-in-fall-finale.aspx) [Final Results](/documents/2021/10/20/HCWT08.pdf)
 FGCU	 10674	2021-10-22	1:00pm 	W	  	KEISR	at	  	FGCU 	L	1-6	 	 	naia/d1		2021-10-22T17:00Z		   	1 PM	Fort Myers, FL	[FGCU Tennis Complex](/facilities/?id=6)			[Box Score](/sports/womens-tennis/stats/2021-22/keiser-university/boxscore/10674) [Recap](/news/2021/10/22/womens-tennis-cruises-to-victory-over-keiser.aspx)
 MONM	 19155	2021-10-22	3:00pm 	W	  	SFC  	at	  	MONM 	L	2-5	 	 	d1     		2021-10-22T19:00Z		   	3 PM	West Long Branch, NJ	[Outdoor Tennis Complex](/facilities/?id=9)			[Recap](/news/2021/10/22/womens-tennis-womens-tennis-bests-terriers-5-2.aspx)
  SFC	  7483	2021-10-22	3:00pm 	W	  	SFC  	at	  	MONM 	L	2-5	 	 	d1     		2021-10-22T19:00Z		   	3:00 PM	West Long Branch, NJ				
 BING	 13300	2021-10-23	10:00am	W	  	BING 	vs	  	MERCY	L	3-4	N	 	d1/d2  		2021-10-23T14:00Z		   	10 a.m.	Williamsville, NY				[Recap](/news/2021/10/24/womens-tennis-womens-tennis-drops-pair-of-matches.aspx)
RIDER	 10374	2021-10-23	12:00pm	W	  	WAG  	at	  	RIDER	W	6-1	 	 	d1     		2021-10-23T16:00Z		   	12:00 PM	Lawrenceville, NJ				[Box Score](/sports/womens-tennis/stats/2021-22/wagner-college/boxscore/10374) [Recap](/news/2021/10/23/womens-tennis-falls-to-wagner-6-1.aspx)
 FAIR	 12382	2021-10-23	2:30pm 	W	  	SHU  	at	  	FAIR 	L	3-4	 	 	d1     		2021-10-23T18:30Z		   	2:30 PM	Fairfield, CT	[WAC Tennis Courts](/facilities/?id=14)			[Box Score](/sports/womens-tennis/stats/2021-22/sacred-heart/boxscore/12382) [Recap](/news/2021/10/23/womens-tennis-two-weeks-later-stags-complete-4-3-win-over-sacred-heart.aspx)
