---
season: d3
gender: women
description: schedule/scoreboard from team websites
updated: 2022-01-21
past: 398 (52%)
future: 362 (48%)
completed: 306 (77%)
unreported: 92 (23%)
total: 760
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	teamId	opponentId	dualId
ITA	26933	2021-09-04	 2:00pm	W		PLYM 	at		HUSS 	W	6-3	 	 	d3     	2021-09-04T18:00Z			ea1fca8f-1350-4c15-ba84-3bddbd62ac5c
ITA	41711	2021-09-04	 3:30pm	W		LAKEF	at		WHEAT	L	3-6	 	 	d3     	2021-09-04T19:30Z			e3d8f5bd-589d-4d00-993e-67d653180dbd
ITA	31208	2021-09-04	 4:00pm	W		MNM  	at		DUBQ 	L	1-8	 	 	d3     	2021-09-04T20:00Z			d8ccacdb-e31c-41ee-b1b7-85eade2f4d6c
ITA	78610	2021-09-04	11:30am	W		MRIAN	at		RIPON	L	1-8	 	 	naia/d3	2021-09-04T15:30Z			bcfcb813-156d-4af7-ab38-96fa28943ae0
ITA	99493	2021-09-04	 2:00pm	W		JOHN 	at		BREV 	W	5-4	 	 	naia/d3	2021-09-04T18:00Z			f5b98a80-7132-45c8-81bd-3dbda232c310
ITA	66831	2021-09-05	 5:00pm	W		MNKTO	at		WARTB	W	9-0	 	 	d2/d3  	2021-09-05T21:00Z			cbf907b7-f15d-4281-b401-b59c65625675
ITA	88083	2021-09-05	10:00am	W		OHION	at		ADRN 	W	6-3	 	 	d3     	2021-09-05T14:00Z			6d000c35-6a24-4db4-ab00-46f47c153a4b
ITA	 2302	2021-09-05	 2:00pm	W		MANC 	vs		OHION	L	0-9	N	 	d3     	2021-09-05T18:00Z			44baf626-0d83-4f08-b641-d8beb5ea428e
ITA	46570	2021-09-05	11:00am	W		STAMB	at		WARTB	L	0-8	 	 	naia/d3	2021-09-05T15:00Z			98eff5ff-b258-4a4d-a5fc-35896ae2f8bc
ITA	85406	2021-09-06	 5:00pm	W		WEBST	at		ILLCO	 	   	 	 	d3     	2021-09-06T21:00Z			7a5c375c-6822-4933-8be8-50b56dd65e4d
ITA	69596	2021-09-06	 3:30pm	W		CLBS 	at		SMCVT	W	5-2	 	 	d3/d2  	2021-09-06T19:30Z			2a54a51a-9928-4ef9-90c4-734f4aba13ee
