---
season: 2021-22
division: d1
gender: women
description: schedule/scoreboard from conference websites
updated: 2022-01-21
past: 96 (4%)
today: 30 (1%)
future: 2181 (90%)
completed: 88 (70%)
postponed: 4 (3%)
cancelled: 4 (3%)
unreported: 30 (24%)
total: 2430
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
  SCn	105888	2022-01-14	 9:00am	W	  	ETSU 	at	  	UK   	L	3-4	 	 	d1     		2022-01-14T14:00Z		   	9:00 A.M.     	Lexington, KY                                   				
  SCn	106069	2022-01-14	12:00pm	W	  	KENN 	at	  	WOF  	W	5-2	 	 	d1     		2022-01-14T17:00Z		   	12:00 P.M.    	Spartanburg, SC                                 				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnr0LrfZa9on%2b%2fdkFoLtEdBSUPfYdr%2fPlRLqtU1b9oXAxhtKiFclS3WEuDbvV6A3EUfK4%2bnJPFQ7iDVrfFExfp19E03zDMcerPgx5dYwfut0A%3d%3d&path=wten)
  SCn	107048	2022-01-14	 1:00pm	W	  	ETSU 	at	  	UK   	L	3-4	 	 	d1     		2022-01-14T18:00Z		   	1:00 P.M.     	Lexington, KY                                   				
Amrcn	 36692	2022-01-14	 4:30pm	W	  	UNA  	at	  	MEM  	L	0-7	 	 	d1     		2022-01-14T21:30Z		   	3:30 P.M.     	Memphis, TN                                     				
   MW	 68624	2022-01-14	 5:00pm	W	  	NEV  	at	  	BIOLA	W	5-2	 	 	d1/d2  		2022-01-14T22:00Z		PT 	2 p.m. PT     	Las Angeles, CA                                 				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnnbYFQM%2b9xQaV%2f5pmD5e%2bhGimfr1KQPS5MK5olA%2fZnLknqMigC05y34RxfYT1u8WIS%2faWSjUi2TF9CkxyiwHsKX0Ja2PBkP5X9A9FJAJGYIQ%3d%3d&path=wten)
Amrcn	 36770	2022-01-14	 7:30pm	W	  	UNA  	at	  	MEM  	L	0-7	 	 	d1     		2022-01-15T00:30Z		   	6:30 P.M.     	Memphis, TN                                     				
  ACC	 76020	2022-01-15	11:00am	W	  	ELON 	at	 3	UNC  	L	0-7	 	 	d1     		2022-01-15T16:00Z		ET 	11:00 A.M.    	Chapel Hill                                     				[Video](https://web.playsight.com/live/university-of-north-carolina-unc-usa/104) [Live Stats](http://www.statbroadcast.com/events/statmonitr.php?gid=unc)
  ACC	 76013	2022-01-15	 3:30pm	W	  	APP  	at	 3	UNC  	L	0-7	 	 	d1     		2022-01-15T20:30Z		ET 	3:30 P.M.     	Chapel Hill                                     				[Video](https://web.playsight.com/live/university-of-north-carolina-unc-usa/104) [Live Stats](http://www.statbroadcast.com/events/statmonitr.php?gid=unc)
C-USA	 66608	2022-01-15	 9:00am	W	  	MRSH 	at	 7	UVA  	L	0-7	 	 	d1     		2022-01-15T14:00Z		ET 	9:00 A.M.     	Charlottesville, VA                             				
  ACC	 76185	2022-01-15	10:00am	W	  	MRSH 	at	 7	UVA  	L	0-7	 	 	d1     		2022-01-15T15:00Z		   	10:00 A.M.    	Charlottesville, VA                             				
