---
season: 2021-22
division: d3
gender: men
description: schedule/scoreboard from conference websites
updated: 2022-01-21
past: 53 (9%)
future: 519 (90%)
completed: 53 (100%)
total: 576
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
  NJAC	82289	2021-09-15	 3:00pm	M		NJCU 	at		FDUF 	W	9-0	 	 	d3     		2021-09-15T19:00Z		ET	3:00 P.M. 	Madison, NJ                              				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnboybeYZ7SS9NgFFTi4K%2f7F5YZLQxXvir%2fmDzxBDsFPIUVomEu7e4jD%2bttswpxi%2fUeTlnXO2lkwyttCyU%2fae0PGYJi3fVxUyrQ4G7YOOiJqA%3d%3d&path=mten)
   ASC	94565	2021-09-17	 3:00pm	M		TXLUT	at		HOWPN	L	1-8	 	 	d3     		2021-09-17T19:00Z		  	2:00 P.M. 	Early, TX                                				
   ASC	94578	2021-09-18	       	M		TXLUT	at		MCMUR	L	0-9	 	 	d3     		                 		  	          	Abilene, TX                              				
   PAC	35986	2021-09-18	12:00pm	M		BWAL 	at		WMNPA	W	7-2	 	 	d3     		2021-09-18T16:00Z		  	12 P.M.   	New Wilmington, PA                       				
    E8	50116	2021-09-18	12:00pm	M		OSWGO	at		ALF  	W	5-4	 	 	d3     		2021-09-18T16:00Z		ET	12:00 P.M.	Alfred, NY                               				[Video](https://portal.stretchinternet.com/alfred/) [Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmTAbNL5pJcUQzwyu9s5%2bd%2bNfA3lr9lKi1hYtjIE1yiCkaS1y3tjfIFhQ3C5YEYqaEw%2fOUkKo5oQ9Pu5H5Mh9NpQ11wJJG72Lx4ldXZR6PyJg%3d%3d&path=mten)
   UEC	52348	2021-09-18	12:00pm	M		SMCMD	at		CATH 	W	7-2	 	 	d3     		2021-09-18T16:00Z		ET	12:00 P.M.	Washington, DC                           				[Box Score](/boxscore.aspx?id=Jz6HsPTYAq1QmlqQEwmGnRZP6rXkkXJcm34JmltbITfmsp0TZ%2bz9G%2fuTkQ4wuey8OOBccgqeeOO0VM4ZB2K8vLr5685bJPZ5YCmIwJGeedUVL67aai0okAndt8k%2beIdt&path=mten)
  UMAC	74262	2021-09-18	 1:00pm	M		WARTB	at		BTHLU	L	2-7	 	 	d3     		2021-09-18T17:00Z		  	12:00 P.M.	Mankato, Minn.                           				
   AEC	 7496	2021-09-19	 1:00pm	M		JUN  	at		MARYW	W	8-1	 	 	d3     		2021-09-19T17:00Z		ET	1:00 P.M. 	Scranton, PA                             				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgk9AFVZDwLtqNFGmD7CvUep87gCzCoZkw9cghcR9IkpydWQ2%2bJKU2uGwvbMNzV3xAc6yP6txtyO7DQd25iHDpCi&path=mten)
   UEC	52349	2021-09-21	 3:30pm	M		SHEN 	at		SMCMD	L	3-6	 	 	d3     		2021-09-21T19:30Z		ET	3:30 P.M. 	St. Mary's City, MD                      				[Box Score](/boxscore.aspx?id=Jz6HsPTYAq1QmlqQEwmGnRZP6rXkkXJcm34JmltbITfmsp0TZ%2bz9G%2fuTkQ4wuey8OOBccgqeeOO0VM4ZB2K8vD5S0zwoTumlxvPefePHiCfMi1ugpkzictkN4fEOuXo8&path=mten)
   UEC	52374	2021-09-22	 3:30pm	M		LBC  	at		ALBRT	W	8-1	 	 	d3     		2021-09-22T19:30Z		ET	3:30 P.M. 	Reading, PA                              				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnzYppI10ZaOiQcjg%2bC2HzvEXrUEPFk7vpFUqsUE5Wn4x3HbinhT2AFm%2f07PN4UK5B0%2b8vTWWP%2fKVfR%2bFbWA7rfq8jas9wNtBsInbrl5I47Zw%3d%3d&path=mten)
 Lbrty	43806	2021-09-22	 4:00pm	M		BARD 	at		UNION	L	1-8	 	C	d3     		2021-09-22T20:00Z		ET	4:00 P.M. 	Schenectady, NY                          				[Video](https://unionathletics.com/sports/2021/4/18/union-mens-tennis-live-video.aspx) [Live Stats](https://unionathletics.com/sports/2021/2/26/union-tennis-live-stats.aspx) [Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnKQ3BO%2bJNh1FTebOWr1qPRQbdU5KsUhfYjCyjKhK4HV8m47VFcjCoS3G31wsyFiZcOzM3cjmwOXfs74z9aDbCEP9MkIdiqpBWOHCfeMPIFcw%3d%3d&path=mten)
   UEC	52375	2021-09-23	 3:00pm	M		PSUAB	at		CAIRN	L	2-7	 	 	d3     		2021-09-23T19:00Z		ET	3:00 P.M. 	Langhorne, PA                            				
   UEC	52386	2021-09-24	 3:30pm	M		LEBAN	at		PSUHA	W	6-3	 	 	d3     		2021-09-24T19:30Z		  	3:30 P.M. 	Middletown, PA                           				[Box Score](/boxscore.aspx?id=JcLFfL9RUu0H5ystoOMbjQC3XxdWQr9ebWxq6zj78GR3h0BdQEj8j1F86oV33nZPlT22tyW19qRQH%2fu3nrtS9XJyNKOJZe7tvYjWCInsJpEpGus8D%2fGzEXHsm6HAdNfydcUslDtrH6qnqQMo64Bh2Q%3d%3d&path=mten)
   PAC	35915	2021-09-25	 1:00pm	M		FRANC	at		OHION	L	0-9	 	 	d3     		2021-09-25T17:00Z		ET	1 P.M.    	Ada, OH                                  				[Box Score](/boxscore.aspx?id=U95KDbi8KaY21DX%2b6VZ5VMYo9WG3lWhJ%2b%2fXiqWeSMiioxXfeNXfNTVef33HD3R1eVaHESGEpzUqIZ3zj3ITNhN2YRuIJdXJ%2bODjT9iXRl%2bQmZSGEFPOvTEHp1SH380EG&path=mten)
   AEC	 7559	2021-09-25	 2:00pm	M		GWYN 	at		CAIRN	L	0-9	 	 	d3     		2021-09-25T18:00Z		ET	2:00 P.M. 	Langhorne, PA                            				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgl1qSnPpOxsgYOr4va3LpaCX0l%2fHZi8vcuwteJy74EwVhvp7jjVMNOqIC0yR9rWwoLiU6k6msdEZNwOor3rClpdIUs8ZjupMsXPIuIJm%2bHVdg%3d%3d&path=mten)
  CCIW	53769	2021-09-26	12:00pm	M		USFIL	at		CARTH	L	0-9	 	 	naia/d3		2021-09-26T16:00Z		CT	11:00 A.M.	Kenosha, WI                              				
    E8	50132	2021-09-26	 1:00pm	M		SJFSH	at		OSWGO	L	3-6	 	 	d3     		2021-09-26T17:00Z		ET	1:00 P.M. 	Oswego, NY                               				
  CCIW	53762	2021-09-26	 4:00pm	M		MSOE 	at		CARTH	L	0-9	 	 	d3     		2021-09-26T20:00Z		CT	3:00 P.M. 	Kenosha, WI                              				
   AEC	 7497	2021-09-27	 3:00pm	M		CAIRN	at		MARYW	W	6-3	 	 	d3     		2021-09-27T19:00Z		ET	3:00 P.M. 	Scranton, PA                             				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgk9AFVZDwLtqNFGmD7CvUep87gCzCoZkw9cghcR9IkpybEapDy%2fpwGT5nd6qp%2bZJWVBVHULQUfWF4UQgQBaK%2fTB&path=mten)
  CCIW	55853	2021-09-29	 4:00pm	M		JUDIL	at		ELMH 	W	9-0	 	 	naia/d3		2021-09-29T20:00Z		CT	3:00 P.M. 	Elmhurst, IL                             				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglLM9uk18FQZUzTi1%2bhup5Mll6tgCt4pJMuyrbwSn6UdEy9Iq5QDV5iB3l2XbLOUbC2u%2f%2fus%2beHfrAdf90id7Ze0G3FDKMoNDHuyGp7tDBAJw%3d%3d&path=mten)
  CCIW	53738	2021-09-29	 5:30pm	M		WILUT	at		CARRL	W	6-3	 	 	d3     		2021-09-29T21:30Z		CT	4:30 P.M. 	Waukesha, WI                             				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglOw8MkfFbEuruVN1fHx16jOKDsH8D09TmZeUG6NINB0Fca2pPZGZtLiyCE5256wCtBsSbWs6IgtRscs4QOS2aI1pn%2f%2b5DD4KgQ%2bnZ59VXRQw%3d%3d&path=mten)
   UEC	52387	2021-09-30	 3:30pm	M		IMMAC	at		PSUHA	L	0-9	 	 	d3     		2021-09-30T19:30Z		  	3:30 P.M. 	Middletown, PA                           				[Box Score](/boxscore.aspx?id=JcLFfL9RUu0H5ystoOMbjQC3XxdWQr9ebWxq6zj78GR3h0BdQEj8j1F86oV33nZPlT22tyW19qRQH%2fu3nrtS9XJyNKOJZe7tvYjWCInsJpHP4cOrtN4RWi8iPS4owlv%2bzkrb2e%2bfHdBvxTSpPD4aww%3d%3d&path=mten)
