---
season: 2021-22
division: d2
gender: men
description: schedule/scoreboard from conference websites
updated: 2022-01-21
past: 56 (7%)
future: 671 (90%)
completed: 54 (96%)
postponed: 1 (2%)
unreported: 1 (2%)
total: 748
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
 GLVC	132512	2021-09-19	 1:00pm	M		WJC  	at		BAKER	W	7-0	 	 	d2/naia		2021-09-19T17:00Z		CT	12:00 P.M.	Baldwin City, KS                     				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglHIARg3QYR5%2fBgSCyuqNll341UeqqfapDZf7dLktzvLyHOtexm4ktEpzsJRZQh0iVbhQjAOBUkXyCI8Xa8XI9zs4G%2bJg9X4CslCBpquj1GWg%3d%3d&path=mten)
G-MAC	 35381	2021-09-25	11:00am	M		JOHN 	at		KWC  	L	2-5	 	 	naia/d2		2021-09-25T15:00Z		  	11:00 A.M.	Owensboro, KY                        				
G-MAC	 35382	2021-09-25	 3:00pm	M		BRESC	at		KWC  	W	7-0	 	 	naia/d2		2021-09-25T19:00Z		  	3:00 P.M. 	Owensboro, KY                        				
G-MAC	 36194	2021-09-27	 2:00pm	M		TU   	at		GOSH 	W	4-3	 	 	d2/naia		2021-09-27T18:00Z		  	2:00 P.M. 	Goshen, IN                           				[Box Score](https://static.greatmidwestsports.com/custompages/Stats/2021-22/mten21-22/tum-gos.htm)
G-MAC	 35699	2021-09-29	11:00am	M		WAL  	at		OBRL 	W	9-0	 	 	d2/d3  		2021-09-29T15:00Z		  	11:00 A.M.	Oberlin, OH                          				[Box Score](https://static.greatmidwestsports.com/custompages/Stats/2021-22/mten21-22/obem0929.htm)
 GLVC	132416	2021-09-30	 3:00pm	M		MOVAL	at		QU   	W	7-0	 	 	naia/d2		2021-09-30T19:00Z		CT	2:00 P.M. 	Quincy, IL                           				
 GLVC	132365	2021-10-02	 6:00pm	M		MOVAL	at		MCK  	L	1-6	 	 	naia/d2		2021-10-02T22:00Z		CT	5:00 P.M. 	Belleville, IL                       				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglH1EswhySf1XVk1eDUSCPL9mdVoOJIPp7I4xno0g7KrfPUSa0CXfc0E3bqOzthh9Q0ZdAzBZoUQrAw8n14YdCbYr2eBkRGlEY6pMmFwpLhsA%3d%3d&path=mten)
G-MAC	 36364	2021-10-05	 2:00pm	M		WITT 	at		CED  	W	5-4	 	 	d3/d2  		2021-10-05T18:00Z		  	2:00 P.M. 	Cedarville, OH                       				
 PSAC	112035	2021-10-07	 2:00pm	M		DEC  	at		SHEP 	W	7-0	 	 	d2     		2021-10-07T18:00Z		ET	2:00 P.M. 	Shepherdstown, WV                    				
G-MAC	 36365	2021-10-09	11:00am	M		FIND 	at		OBRL 	W	5-4	 	 	d2/d3  		2021-10-09T15:00Z		  	11:00 A.M.	Oberlin, OH                          				
G-MAC	 35682	2021-10-09	12:00pm	M		FRANC	at		ASH  	L	1-6	 	 	d3/d2  		2021-10-09T16:00Z		  	12:00 P.M.	Ashland, OH                          				
 GLVC	132514	2021-10-09	12:30pm	M		WJC  	at		CONNE	W	7-0	 	 	d2/naia		2021-10-09T16:30Z		CT	11:30 A.M.	Seward, NE                           				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglHIARg3QYR5%2fBgSCyuqNll341UeqqfapDZf7dLktzvL0DDpqZKGwGFhutyh5lQqXsUVkH3PT%2fWyJEYEaWBUkVEdxRJG%2bvXTo9FaiVXOffA0w%3d%3d&path=mten)
 PSAC	111933	2021-10-09	 1:00pm	M		SFU  	at		BUP  	W	6-1	 	 	d1/d2  		2021-10-09T17:00Z		ET	1:00 P.M. 	Bloomsburg, PA                       				
G-MAC	 35687	2021-10-09	 1:00pm	M		WLU  	at		CED  	W	5-2	 	 	d2     		2021-10-09T17:00Z		  	1:00 P.M. 	Cedarville, OH                       				
G-MAC	 36195	2021-10-09	 2:00pm	M		CWRU 	vs		FIND 	W	9-0	N	 	d3/d2  		2021-10-09T18:00Z		  	2:00 P.M. 	Oberlin, OH                          				
 GLVC	132513	2021-10-09	 4:30pm	M		DOANE	vs		WJC  	L	2-5	N	 	naia/d2		2021-10-09T20:30Z		CT	3:30 P.M. 	Crete, NE                            				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglHIARg3QYR5%2fBgSCyuqNll341UeqqfapDZf7dLktzvL0DDpqZKGwGFhutyh5lQqXtO7xxu5m2zFCLm%2bFwIq96cWJROrzlzsZ6BmKgBjbR1cA%3d%3d&path=mten)
G-MAC	 35700	2021-10-10	12:00pm	M		WAL  	at		WOOST	W	8-1	 	 	d2/d3  		2021-10-10T16:00Z		  	12:00 P.M.	Wooster, OH                          				
   CC	 68263	2021-10-12	 9:00am	M		CONV 	at		LIME 	W	4-3	 	 	d2     		2021-10-12T13:00Z		ET	9:00 a.m. 	Gaffney, SC                          				
 GLVC	132345	2021-10-12	12:00pm	M		MUSL 	at		LIND 	L	3-4	 	 	d2     		2021-10-12T16:00Z		CT	11:00 A.M.	St. Charles, MO                      				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgm71SrmuWknlCH12ISmC7HMW3YzhSFZ2Llrd1vI5JbrUZ6Nsve4Z5ltjkeWYAhb%2fzmoCMFi%2bHBi7D0zJ3IbipAaTbbcwCE34IcUyu3i3lFDIg%3d%3d&path=mten)
