---
season: d3
gender: men
description: schedule/scoreboard from team websites
updated: 2022-01-21
past: 125 (17%)
today: 1 (0%)
future: 604 (83%)
completed: 94 (75%)
unreported: 32 (25%)
total: 731
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	teamId	opponentId	dualId
ITA	90796	2021-09-17	 6:00pm	M		FRANK	at	  	USFIN                      	W	4-3	 	 	d3/naia	2021-09-17T22:00Z			502f0ee6-b14a-4d22-a443-7f8201e09a00
ITA	74744	2021-09-17	 2:00pm	M		SHAWN	at	  	MARC                       	W	7-0	 	 	naia/d3	2021-09-17T18:00Z			caeb4ce9-7c45-409b-a270-0e31159ea9d5
ITA	 9892	2021-09-18	10:00am	M		WISE 	at	  	EMHEN                      	L	1-6	 	 	d2/d3  	2021-09-18T14:00Z			04825e6d-878e-4711-bd1d-566f3516279b
ITA	74003	2021-09-18	 3:00pm	M		KWC  	at	  	FRANK                      	 	   	 	 	d2/d3  	2021-09-18T19:00Z			846bf247-d613-4e87-a322-e79a83cee8ac
ITA	 2180	2021-09-18	10:01am	M		MANC 	at	  	FRANK                      	L	0-9	 	 	d3     	2021-09-18T14:01Z			1f8a84ce-f275-4bcd-895f-3b8e53b7ae24
ITA	77901	2021-09-18	 1:00pm	M		MTUNI	at	  	WOOST                      	L	0-9	 	 	d3     	2021-09-18T17:00Z			ec108983-8e6a-48be-8ec6-e393f9664c61
ITA	75088	2021-09-18	 1:00pm	M		PATEC	at	  	SUSQ                       	L	1-8	 	 	d3     	2021-09-18T17:00Z			033f721f-aa5b-42b8-beda-a015cf3ca0f4
ITA	49708	2021-09-18	 5:00pm	M		WARTB	at	  	BTHLU                      	L	2-7	 	 	d3     	2021-09-18T21:00Z			adfe6b18-98aa-435c-a1b2-a36ce52637d6
ITA	98163	2021-09-18	 1:00pm	M		OHION	at	  	CED                        	L	2-5	 	 	d3/d2  	2021-09-18T17:00Z			4067b2de-f327-44dc-8e6e-72663b45846c
ITA	11666	2021-09-18	 1:00pm	M		MBALD	at	  	SHEP                       	L	0-3	 	 	d3/d2  	2021-09-18T17:00Z			9531ae12-0f1b-4c72-b6c6-c2413e2a8729
