division	gender	code	abbreviation	name
d3  	women	CCIW      	CCIW     	College Conference of Illinois and Wisconsin
d3  	men  	Centennial	CC       	Centennial Conference
d3  	women	Centennial	CC       	Centennial Conference
d3  	men  	CSAC      	CSAC     	Colonial States Athletic Conference
d3  	women	CSAC      	CSAC     	Colonial States Athletic Conference
d3  	men  	CUNY      	CUNY     	City University of New York Athletic Conference
d3  	women	CUNY      	CUNY     	City University of New York Athletic Conference
d3  	men  	E8        	         	Empire 8
d3  	women	E8        	         	Empire 8
d3  	men  	GNAC      	GNAC     	Great Northeast Athletic Conference
d3  	women	GNAC      	GNAC     	Great Northeast Athletic Conference
d3  	men  	HCAC      	HCAC     	Heartland Collegiate Athletic Conference
d3  	women	HCAC      	HCAC     	Heartland Collegiate Athletic Conference
d3  	men  	HVIAC     	HVIAC    	Hudson Valley Intercollgiate Athletic Conference
d3  	women	HVIAC     	HVIAC    	Hudson Valley Intercollgiate Athletic Conference
d3  	men  	Ind.      	         	Independent
d3  	women	Ind.      	         	Independent
d3  	men  	Landmark  	LC       	Landmark Conference
d3  	women	Landmark  	LC       	Landmark Conference
d3  	men  	LEC       	LEC      	Little East Conference
d3  	women	LEC       	LEC      	Little East Conference
d3  	men  	Liberty   	LL       	Liberty League
d3  	women	Liberty   	LL       	Liberty League
d3  	men  	MIAA      	MIAA     	Michigan Intercollegiate Athletic Association
d3  	women	MIAA      	MIAA     	Michigan Intercollegiate Athletic Association
d3  	men  	MIAC      	MIAC     	Minnesota Intercollegiate Athletic Conference
d3  	women	MIAC      	MIAC     	Minnesota Intercollegiate Athletic Conference
d3  	men  	MidAtl    	MAC      	Middle Atlantic Conference
d3  	women	MidAtl    	MAC      	Middle Atlantic Conference
d3  	men  	Midwest   	MWC      	Midwest Conference
d3  	women	Midwest   	MWC      	Midwest Conference
d3  	men  	NAC       	NAC      	North Atlantic Conference
d3  	women	NAC       	NAC      	North Atlantic Conference
d3  	men  	NACC      	NACC     	Northern Athletic Collegiate Conference
d3  	women	NACC      	NACC     	Northern Athletic Collegiate Conference
d3  	men  	NCAC      	NCAC     	North Coast Atlantic Conference
d3  	women	NCAC      	NCAC     	North Coast Athletic Conference
d3  	men  	NEAC      	NEAC     	North Eastern Atlantic Conference
d3  	women	NEAC      	NEAC     	North Eastern Athletic Conference
d3  	men  	NESCAC    	NESCAC   	New England Small College Athletic Conference
d3  	women	NESCAC    	NESCAC   	New England Small College Athletic Conference
d3  	men  	NEWMAC    	NEWMAC   	New England Women's & Men's Athletics Conference
d3  	women	NEWMAC    	NEWMAC   	New England Women's & Men's Athletics Conference
d3  	men  	NJAC      	NJAC     	New Jersey Athletic Conference
d3  	women	NJAC      	NJAC     	New Jersey Athletic Conference
d3  	men  	NWC       	NWC      	Northwest Conference
d3  	women	NWC       	NWC      	Northwest Conference
d3  	men  	OAC       	OAC      	Ohio Athletic Conference
d3  	women	OAC       	OAC      	Ohio Athletic Conference
d3  	men  	ODAC      	ODAC     	Old Dominion Athletic Conference
d3  	women	ODAC      	ODAC     	Old Dominion Athletic Conference
d3  	men  	PAC       	PAC      	Presidents' Athletic Conference
d3  	women	PAC       	PAC      	Presidents' Athletic Conference
d3  	men  	SAA       	SAA      	Southern Athletic Association
d3  	women	SAA       	SAA      	Southern Athletic Association
d3  	men  	SCAC      	SCAC     	Southern Collegiate Athletic Conference
d3  	women	SCAC      	SCAC     	Southern Collegiate Athletic Conference
d3  	men  	SCIAC     	SCIAC    	Southern California Intercollegiate Athletic Conference
d3  	women	SCIAC     	SCIAC    	Southern California Intercollegiate Athletic Conference
d3  	men  	Skyline   	SC       	Skyline Conference
