division	gender	conference	state	city	abbreviation	name	website	twitter	instagram	facebook	map
d1  	men  	         	IL	Normal             	ISU          	Illinois State University                                 	https://goredbirds.com/sports/mens-tennis	RedbirdMTEN	illinoisstatemenstennis	Illinois-State-University-Mens-Tennis-239761856133	https://goo.gl/maps/meWDQj6vZtZPsWky6
d1  	men  	         	ND	Grand Forks        	UND          	University of North Dakota                                	https://fightinghawks.com/sports/mens-tennis	UNDmtennis	undmtennis	NorthDakotaTennis	https://goo.gl/maps/VGLJFB42LdQWhbz17
d1  	men  	         	NE	Omaha              	             	University of Nebraska, Omaha                             	https://omavs.com/sports/mens-tennis	OmahaMTEN	omahamten	OmahaMTEN	https://goo.gl/maps/5gqNsZ7PUTgaBE259
d1  	men  	         	OK	Tulsa              	ORU          	Oral Roberts University                                   	https://www.oruathletics.com/sports/mten/index	ORUAthletics	oruathletics	ORUTennis	https://goo.gl/maps/B3dhD75VpbztaNH48
d1  	men  	         	MN	Saint Paul         	UST          	University of Saint Thomas                                	https://www.tommiesports.com/sports/mten/index	TommieAthletics	tommieathletics	UofStThomasMN	https://goo.gl/maps/7wkwsKttfEGpL2Mq5
d1  	men  	SBC      	SC	Myrtle Beach       	CCU          	Coastal Carolina University                               	https://goccusports.com/sports/mens-tennis	CoastalMTennis	coastalmtennis	CCUMensTennis	https://goo.gl/maps/HtW8NdMJFFdanowX6
d1  	men  	SBC      	GA	Statesboro         	GSU          	Georgia Southern University                               	https://gseagles.com/sports/mens-tennis	gsathletics_mt	gsumenstennis	GSAthleticsMTEN	https://goo.gl/maps/J4VuoWFmiQGZmv818
d1  	men  	SBC      	GA	Atlanta            	GSU          	Georgia State University                                  	https://georgiastatesports.com/sports/mens-tennis	GSUMTennis	gsumtennis	georgiastatemenstennis	https://goo.gl/maps/eupqadT9Znn67yLM8
d1  	men  	SBC      	LA	Lafayette          	             	University of Louisiana at Lafayette                      	https://ragincajuns.com/sports/mens-tennis/schedule/2019-20	RaginCajunsMT	ragincajunsmtennis	RaginCajunsMT	https://goo.gl/maps/uXGX2sXHFVQrwhECA
d1  	men  	SBC      	AL	Mobile             	USA          	University of South Alabama                               	https://usajaguars.com/sports/mens-tennis	WeAreSouth_JAGS	wearesouth_jags	University-of-South-Alabama-Jaguars-Tennis-571903729504941	https://goo.gl/maps/UrwqM5iLhhaekKDFA
d1  	men  	SBC      	TX	Arlington          	UTA          	University of Texas, Arlington                            	https://utamavs.com/sports/mens-tennis	UTAMavsMTEN	utamavsmten	UTAMavsMTEN	https://goo.gl/maps/5ZUfRiBEgCFVCBNk6
d1  	men  	SBC      	AL	Troy               	TU           	Troy University                                           	https://troytrojans.com/sports/mens-tennis	TroyTrojansMT	troytrojansmt	Troy-University-Mens-Tennis-306466536083677	https://goo.gl/maps/nW7joUktWhEWHqnA6
d1  	men  	WCC      	UT	Provo              	BYU          	Brigham Young University                                  	https://byucougars.com/home/m-tennis	BYU_Mens_Tennis	byumtennis	byumenstennis	https://goo.gl/maps/nMzSJrqwnHphUp876
d1  	men  	WCC      	WA	Spokane            	GU           	Gonzaga University                                        	https://gozags.com/sports/mens-tennis	ZagMTennis	zagmtennis	ZagMTennis	https://goo.gl/maps/YkasGr3zgndKUpfL6
d1  	men  	WCC      	CA	Los Angeles        	LMU          	Loyola Marymount University                               	https://lmulions.com/sports/mens-tennis	lmulionsMTEN	lmulionsmten	lmulionsMTEN	https://goo.gl/maps/F2QNGyfGjbCmVrbW7
d1  	men  	WCC      	CA	Stockton           	UP           	University of the Pacific                                 	https://pacifictigers.com/sports/mens-tennis	PacificMTennis	pacificmtennis	PacificTigerTennis	https://goo.gl/maps/rhigdDVu29XCozJp6
d1  	men  	WCC      	CA	Malibu             	PU           	Pepperdine University                                     	https://pepperdinewaves.com/sports/mens-tennis	PeppTennis	pepptennis	PeppTennis	https://goo.gl/maps/MrtkhRuhfp54ZY3T7
d1  	men  	WCC      	OR	Portland           	UP           	University of Portland                                    	https://portlandpilots.com/sports/mens-tennis	PortlandPilots	portlandpilots	PortlandPilots	https://goo.gl/maps/c2jK53ykb9EKCH2k9
d1  	men  	WCC      	CA	San Diego          	USD          	University of San Diego                                   	https://usdtoreros.com/sports/mens-tennis	USDmtennis	usd_tennis	USDathletics	https://goo.gl/maps/zuZSLGoiN5yy7pS36
d1  	men  	WCC      	CA	San Francisco      	USF          	University of San Francisco                               	https://usfdons.com/sports/mens-tennis	usfmenstennis	usfdonstennis	USFDonsMTEN	https://goo.gl/maps/cmSUszmkHHZ3ANyL6
d1  	men  	WCC      	CA	Santa Clara        	SCU          	Santa Clara University                                    	https://www.santaclarabroncos.com/sports/m-tennis/index	SCUMTennis	scumtennis	scumtennis	https://goo.gl/maps/SzZdKG8Hk355Grtf8
d1  	men  	WCC      	CA	Moraga             	SMC          	Saint Mary's College of California                        	https://smcgaels.com/sports/mens-tennis	smcgaels	smcgaels	smcgaels	https://goo.gl/maps/6GVULaM2wqzjouQm9
d1  	women	AAC      	FL	Orlando            	UCF          	University of Central Florida                             	https://ucfknights.com/sports/womens-tennis	UCF_WTennis	ucfwtennis	UCF.WTennis	https://goo.gl/maps/Tw6ZPUnaFqsxvAYs5
d1  	women	AAC      	OH	Cincinnati         	Cincy        	University of Cincinnati                                  	https://gobearcats.com/sports/womens-tennis	GoBearcatsWTEN	gobearcatswten	GoBearcatsWTEN	https://goo.gl/maps/L7pjpuoeeyY89tbr7
d1  	women	AAC      	TX	Houston            	UH           	University of Houston                                     	https://uhcougars.com/sports/womens-tennis	UHCougarTennis	uhcougartennis	UHCougarTennis	https://goo.gl/maps/4wZt3tY9rsPUu6rN7
d1  	women	AAC      	TN	Memphis            	UofM         	University of Memphis                                     	https://gotigersgo.com/sports/womens-tennis	UofMTennis	memphiswomenstennis	MemphisWomensTennis	https://goo.gl/maps/4JF6czgwEm7Zsr1W6
d1  	women	AAC      	TX	Dallas             	SMU          	Southern Methodist University                             	https://smumustangs.com/sports/womens-tennis	SMUWTennis	smuwtennis	SMUTennisW	https://goo.gl/maps/21ukyNm8QGS7oLo39
d1  	women	AAC      	FL	Tampa              	USF          	University of South Florida                               	https://gousfbulls.com/sports/womens-tennis	USFWTEN	usfwten	USFWTEN	https://goo.gl/maps/UodAkfv26cYp38z5A
d1  	women	AAC      	PA	Philadelphia       	TU           	Temple University                                         	https://owlsports.com/sports/womens-tennis	templetennis	temple.tennis	TempleWTennis	https://goo.gl/maps/i6iEBsdhLLy2Fq7CA
d1  	women	AAC      	LA	New Orleans        	             	Tulane University                                         	https://tulanegreenwave.com/index.aspx?path=wten	GreenWaveWTenn	tulanewtennis	GreenWaveWTenn	https://goo.gl/maps/zQMMrtUDSHoRZtii6
d1  	women	AAC      	OK	Tulsa              	TU           	University of Tulsa                                       	https://tulsahurricane.com/sports/womens-tennis	tulsawtennis		TulsaWTennis	https://goo.gl/maps/KtMo9mt9oPDsYz2v6
d1  	women	AAC      	KS	Wichita            	WSU          	Wichita State University                                  	https://goshockers.com/index.aspx?path=wten	GoShockersWTEN	goshockerswten	GoShockersWTEN	https://goo.gl/maps/VsBBKfqwKheGmqo99
d1  	women	A-10     	NC	Davidson           	             	Davidson College                                          	https://davidsonwildcats.com/sports/womens-tennis/schedule/2019-20	DavidsonWTennis	davidsonwtennis	Davidson-College-Womens-Tennis-Team-147891775323954	https://goo.gl/maps/xc7VsPmebJc4GEFm6
d1  	women	A-10     	OH	Dayton             	UD           	University of Dayton                                      	https://daytonflyers.com/index.aspx?path=wten	UDFlyerTennis	daytonflyers	WeAreUD	https://goo.gl/maps/yLrKgDkXukQMGJrF8
d1  	women	A-10     	PA	Pittsburgh         	             	Duquesne University                                       	https://goduquesne.com/index.aspx?path=wten	DuqWTennis	duquesnetennis	DuqTennis	https://goo.gl/maps/jGBJa3hgHaHww7dy7
d1  	women	A-10     	NY	Bronx              	FU           	Fordham University                                        	https://fordhamsports.com/sports/womens-tennis	FordhamRams	fordhamwtennis	Fordham-Athletics-138776577422	https://www.google.com/maps/place/Murphy+Field/@40.862924,-73.8867718,359m/data=!3m1!1e3!4m12!1m6!3m5!1s0x89c2f37e5180c091:0x39c5cf445ed73ef8!2sFordham+University!8m2!3d40.8620404!4d-73.8856987!3m4!1s0x89c2f37ec7813611:0xcb4c77c33542573b!8m2!3d40.8639094!4d-73.8843045
d1  	women	A-10     	VA	Fairfax            	GMU          	George Mason University                                   	https://gomason.com/sports/womens-tennis	MasonWTEN	masonwten	gmutennis	https://goo.gl/maps/7Kds6Zcc9wzzCU1H9
d1  	women	A-10     	DC	Washington         	GW           	George Washington University                              	https://gwsports.com/index.aspx?path=wten	GW_WomensTennis	gw_womenstennis	GWWomensTennis	https://goo.gl/maps/sDZ4zXezCWhpWQEc6
d1  	women	A-10     	PA	Philadelphia       	LSU          	La Salle University                                       	https://goexplorers.com/sports/womens-tennis	GoExplorers	goexplorers	GoExplorers	https://goo.gl/maps/1zE7PbKjqLhi6b279
d1  	women	A-10     	RI	Kingston           	URI          	University of Rhode Island                                	https://www.gorhody.com/sports/w-tennis/index	rhodytennis	gorhodyrams	GoRhodyRams	https://goo.gl/maps/oAhpV1ejDA2VEmZV7
d1  	women	A-10     	VA	Richmond           	UR           	University of Richmond                                    	https://richmondspiders.com/index.aspx?path=wten	SpiderAthletics	spiderathletics	spiderwomenstennis	https://goo.gl/maps/MZs9Cmh4oJmRMXwM9
d1  	women	A-10     	MO	Saint Louis        	SLU          	Saint Louis University                                    	https://slubillikens.com/index.aspx?path=wten	Slu_Tennis	slubillikens	Saint-Louis-University-Mens-and-Womens-Tennis-110344923771989	https://goo.gl/maps/MLoz7sNJbTkNj8RW9
d1  	women	A-10     	NY	Saint Bonaventure  	SBU          	Saint Bonaventure University                              	https://gobonnies.sbu.edu/sports/w-tennis/index	BonniesTennis	stories/bonniestennis	GoBonnies	https://goo.gl/maps/s7p4pSa2NtwMMbhS6
d1  	women	A-10     	PA	Philadelphia       	SJU          	Saint Joseph's University                                 	https://sjuhawks.com/index.aspx?path=wten	SJUHawks	sjuhawks_tennis	SJUTennis	https://goo.gl/maps/xieE1HvEewZLqs4W8
d1  	women	A-10     	MA	Amherst            	UMass        	University of Massachusetts, Amherst                      	https://umassathletics.com/sports/womens-tennis	UMassTennis	umasstennis	UMassTennis	https://goo.gl/maps/5VRtjJEabsvg9as66
d1  	women	A-10     	VA	Richmond           	VCU          	Virginia Commonwealth University                          	https://www.vcuathletics.com/sports/wten/index	VCUTennis	vcu.wtennis	VCU-Womens-Tennis-2051490614902717	https://goo.gl/maps/Cg61ht2RC7VtFijB8
d1  	women	ACC      	MA	Chestnut Hill      	BC           	Boston College                                            	https://bceagles.com/sports/womens-tennis	BCeaglestennis	bcwtennis	bcwtennis	https://goo.gl/maps/zdk1esJDDFd3n1k87
d1  	women	ACC      	SC	Clemson            	CU           	Clemson University                                        	https://clemsontigers.com/sports/womens-tennis	ClemsonWTennis	clemsonwtennis	ClemsonWTennis	https://goo.gl/maps/aRS1pWcCyNCvXVhj8
d1  	women	ACC      	NC	Durham             	             	Duke University                                           	https://goduke.com/index.aspx?path=wten	DukeWTEN	dukewten	DukeWTEN	https://goo.gl/maps/RMtb5bB6tv5zMEnL8
d1  	women	ACC      	FL	Tallahassee        	FSU          	Florida State University                                  	https://seminoles.com/sports/w-tennis	FSU_WTennis	fsuwtennis	FSUWTennis	https://goo.gl/maps/ztronuWstmtQ1hWB9
d1  	women	ACC      	GA	Atlanta            	GT           	Georgia Institute of Technology                           	https://ramblinwreck.com/sports/w-tennis	GT_WTEN	gt_wten	GTwomenstennis	https://goo.gl/maps/Z1CT8NJAGeXwsdfr5
d1  	women	ACC      	KY	Louisville         	UofL         	University of Louisville                                  	https://gocards.com/sports/womens-tennis	UofLTennis	uofltennis	uoflwomenstennis	https://goo.gl/maps/CEPHjBHYTAeJfbfw9
d1  	women	ACC      	FL	Miami              	UM           	University of Miami                                       	https://hurricanesports.com/index.aspx?path=wten	CanesWTennis	caneswtennis	CanesWTennis	https://goo.gl/maps/2vdsZVz78j5ncqWE9
d1  	women	ACC      	NC	Raleigh            	NC State     	North Carolina State University                           	https://gopack.com/index.aspx?path=wten	PackWTennis	packwtennis	PackWTennis	https://goo.gl/maps/BEeuAUCycZJyNEGQ7
d1  	women	ACC      	NC	Chapel Hill        	UNC          	University of North Carolina                              	https://goheels.com/sports/womens-tennis	UNC_wtennis	unc_wtennis	UNCWTennis	https://goo.gl/maps/gWkojqwxWdeuw5s89
d1  	women	ACC      	IN	Notre Dame         	UND          	University of Notre Dame                                  	https://und.com/sports/wten	NDWomensTennis	ndwomenstennis	NDWomensTennis	https://goo.gl/maps/ut9UMEJkgpBUzFWF9
d1  	women	ACC      	NY	Syracuse           	SU           	Syracuse University                                       	https://cuse.com/sports/womens-tennis	Cuse_Tennis	cusetennis	SyracuseUniversityWomensTennis	https://goo.gl/maps/Wfqb13MnyrVpXMRL6
d1  	women	ACC      	VA	Charlottesville    	UVA          	University of Virginia                                    	https://virginiasports.com/index.aspx?path=wten	UVAWomensTennis	uvawomenstennis	UVAWomensTennis	https://goo.gl/maps/pRuPSevyNyBu34Y68
d1  	women	ACC      	VA	Blackburg          	VT           	Virginia Polytechnic Institute & State University         	https://hokiesports.com/index.aspx?path=wten	HokiesWTennis	hokieswtennis	HokiesWTennis	https://goo.gl/maps/Tjr7RxzpGxQLpfAY9
d1  	women	ACC      	NC	Winston Salem      	WFU          	Wake Forest University                                    	https://godeacs.com/index.aspx?path=wten	WakeWTennis	wakewtennis	WakeForestSports	https://goo.gl/maps/Khv3Jaxe9UtPJLcL6
d1  	women	ASUN     	KY	Louisville         	BU           	Bellarmine University                                     	https://athletics.bellarmine.edu/index.aspx?path=wten	BUKnights	buknights	BUKnights	https://goo.gl/maps/gUkXtLtTp21RJM4t6
d1  	women	ASUN     	FL	Fort Myers         	FGCU         	Florida Gulf Coast University                             	https://fgcuathletics.com/sports/womens-tennis	FGCU_WTEN	fgcu_wten	FGCUWomensTennis	https://goo.gl/maps/r8ukZDDduooV6eWa7
d1  	women	ASUN     	GA	Kennesaw           	KSU          	Kennesaw State University                                 	https://ksuowls.com/sports/womens-tennis	KSUWomensTennis	ksuwomenstennis	KennesawStateOwls	https://goo.gl/maps/H1hxhB2U67YWMa8y6
d1  	women	ASUN     	VA	Lynchburg          	LU           	Liberty University                                        	https://www.liberty.edu/flames/index.cfm?PID=36964&teamID=13	LibertyWTennis	libertywtennis	LibertyWomensTennis	https://goo.gl/maps/WMF3jidUZ2A9KDFM6
d1  	women	ASUN     	TN	Nashville          	             	Lipscomb University                                       	https://lipscombsports.com/sports/wten?path=wten	LipscombWTennis	lipscomb_wtennis	LipscombUniversityTennis	https://goo.gl/maps/W5k3Tpp9vpUdS4aq6
d1  	women	ASUN     	NJ	Newark             	NJIT         	New Jersey Institute of Technology                        	https://www.njithighlanders.com/sports/womens-tennis	njithighlanders	njitwtennis	NJIT.Tennis	https://goo.gl/maps/A7txyB7mHQGnGLan6
d1  	women	ASUN     	AL	Florence           	UNA          	University of North Alabama                               	https://roarlions.com/sports/womens-tennis	UNATennis	una_athletics	unaathletics	https://goo.gl/maps/JLeZ6FppfX5772g2A
d1  	women	ASUN     	FL	Jacksonville       	UNF          	University of North Florida                               	https://unfospreys.com/sports/womens-tennis	OspreyWTEN	unfwomenstennis	unfwomenstennis	https://goo.gl/maps/h17BdAWNZm64pCkRA
d1  	women	ASUN     	FL	DeLand             	SU           	Stetson University                                        	https://gohatters.com/index.aspx?path=wten	StetsonTennis	stetsonwomenstennis	StetsonTennis	https://www.google.com/maps/place/Mandy+Stoll+Tennis+Center/@29.0371058,-81.2999195,753m/data=!3m2!1e3!4b1!4m5!3m4!1s0x88e71b7f338165bd:0x3ac835c0bf685d5!8m2!3d29.0371058!4d-81.2977308
d1  	women	Big 12   	TX	Waco               	BU           	Baylor University                                         	https://baylorbears.com/index.aspx?path=wten	BaylorWTennis	baylorwtennis	BaylorWTennis	https://goo.gl/maps/KNiAWgfg7jkjdsjq5
d1  	women	Big 12   	IA	Ames               	ISU          	Iowa State University                                     	https://cyclones.com/sports/womens-tennis	CycloneTEN	iowastatetennis	CycloneTennis	https://goo.gl/maps/YfFGEr8UksKvejbS9
d1  	women	Big 12   	KS	Lawrence           	KU           	University of Kansas                                      	https://kuathletics.com/sports/wten	KansasTennis	kansastennis	KansasTennis	https://goo.gl/maps/mx2S744VKSxX5iBR7
d1  	women	Big 12   	KS	Manhattan          	KSU          	Kansas State University                                   	https://www.kstatesports.com/index.aspx?path=wten	KStateTEN	kstatetennis	KStateTEN	https://goo.gl/maps/snABv3Tt9jKmnxkz6
d1  	women	Big 12   	OK	Norman             	OU           	University of Oklahoma                                    	https://soonersports.com/index.aspx?path=wten	OU_WTennis	ou_wtennis	OUWTennis	https://goo.gl/maps/3SmyTvGLNooUHVa67
d1  	women	Big 12   	OK	Stillwater         	OSU          	Oklahoma State University                                 	https://okstate.com/sports/womens-tennis	cowgirltennis		CowgirlTennis	https://goo.gl/maps/boHhE7ao7nqH7CRz9
d1  	women	Big 12   	TX	Fort Worth         	TCU          	Texas Christian University                                	https://gofrogs.com/index.aspx?path=wten	TCUWomensTennis	tcuwomenstennis	tcuwomenstennis	https://goo.gl/maps/98HMAozmjHVFbtSt6
d1  	women	Big 12   	TX	Austin             	UT           	University of Texas                                       	https://texassports.com/sports/womens-tennis	TexasWTN	texaswtn	TexasWTN	https://goo.gl/maps/QXxDhGsaZFdWu66w6
d1  	women	Big 12   	TX	Lubbock            	TTU          	Texas Tech University                                     	https://texastech.com/sports/womens-tennis	TexasTechWTEN	texastechwten	techwomenstennis	https://www.google.com/maps/place/McLeod+Tennis+Center/@33.5852767,-101.8953479,718m/data=!3m2!1e3!4b1!4m5!3m4!1s0x86fe0d56e93b5edf:0xf4aaa1b1b0aab9b5!8m2!3d33.5852767!4d-101.8931592
d1  	women	Big 12   	WV	Morgantown         	WVU          	West Virginia University                                  	https://wvusports.com/sports/womens-tennis	WVUTennis	wvutennis	WVUTennis	https://goo.gl/maps/e6aZUgz2kJS2F2G47
d1  	women	BIG EAST 	IN	Indianapolis       	BU           	Butler University                                         	https://butlersports.com/index.aspx?path=wten	ButlerWTennis	butlerwtennis	ButlerBulldogs	https://goo.gl/maps/WsLGD9mmtVJSNw6v9
d1  	women	BIG EAST 	CT	Storrs             	UConn        	University of Connecticut                                 	https://uconnhuskies.com/index.aspx?path=wten	UConnWTennis	uconnwtennis	UConnTennis	https://goo.gl/maps/oVorxUxnytvAKgfH8
d1  	women	BIG EAST 	NE	Omaha              	CU           	Creighton University                                      	https://gocreighton.com/index.aspx?path=wten	creightonW10S	creightonw10s	CreightonWomensTennis	https://goo.gl/maps/cV4o48Y7XGwqNodG6
d1  	women	BIG EAST 	IL	Chicago            	             	DePaul University                                         	https://depaulbluedemons.com/index.aspx?path=wten	DePaulWTennis	dpuwtennis	dpuwt	https://goo.gl/maps/1nBLVBNTN61rTL1x5
d1  	women	BIG EAST 	DC	Washington         	GU           	Georgetown University                                     	https://guhoyas.com/index.aspx?path=wten	hoyatennis	hoyatennis	GeorgetownAthletics	https://goo.gl/maps/mxkQKTUEWreMatWh6
d1  	women	BIG EAST 	WI	Milwaukee          	MU           	Marquette University                                      	https://gomarquette.com/index.aspx?path=wten	MarquetteWTEN	marquettewten	MarquetteWTEN	https://goo.gl/maps/ZcQ12pqYJmUCFVRr7
d1  	women	BIG EAST 	RI	Providence         	PC           	Providence College                                        	https://friars.com/index.aspx?path=wten	PCwTennis	pcwtennis	ProvidenceCollegeAthletics	https://goo.gl/maps/SK3Vs9QHgTrzxAWC7
d1  	women	BIG EAST 	NJ	South Orange       	SHU          	Seton Hall University                                     	https://shupirates.com/sports/womens-tennis	SHU_Tennis	shuwtennis	shuathletics	https://goo.gl/maps/aEnCDyNT2xDsWhcz5
d1  	women	BIG EAST 	NY	Queens             	SJ           	Saint John's University                                   	https://redstormsports.com/index.aspx?path=wten	StJohnsWTennis	stjohnswtennis	StJohnsWomensTennis	https://goo.gl/maps/PRk4j9282uDH3WUJ6
d1  	women	BIG EAST 	PA	Villanova          	Nova         	Villanova University                                      	https://villanova.com/index.aspx?path=wten	NovaWTennis	novawtennis	VillanovaAthletics	https://goo.gl/maps/aQEmw2eyk66Z4J3J7
d1  	women	BIG EAST 	OH	Cincinnati         	XU           	Xavier University                                         	https://goxavier.com/index.aspx?path=wten	XavierWTEN	xavier__tennis	xutennis	https://goo.gl/maps/o8FL28PTyAGTidKw5
d1  	women	BSC      	WA	Cheney             	EWU          	Eastern Washington University                             	https://goeags.com/index.aspx?path=wten	EWUAthletics	ewu_wtennis	EWUWTennis	https://goo.gl/maps/AqTiw7H9TpDaiqPx8
d1  	women	BSC      	ID	Moscow             	UI           	University of Idaho                                       	https://govandals.com/index.aspx?path=wten	IdahoWTennis	idahowtennis	idahowomenstennis	https://goo.gl/maps/SZUeYgiiv8UcuX1CA
d1  	women	BSC      	ID	Pocatello          	ISU          	Idaho State University                                    	https://govandals.com/index.aspx?path=wten	ISUBengals	isuwomenstennis	idahostatewtennis	https://goo.gl/maps/YjMi6CgdNGzRLfPu6
d1  	women	BSC      	MT	Missoula           	UM           	University of Montana                                     	https://gogriz.com/index.aspx?path=wten	MontanaGrizTEN	montanagriztennis	MontanaGrizTEN	https://goo.gl/maps/Pujnb173jrzSwwAeA
d1  	women	BSC      	MT	Bozeman            	MSU          	Montana State University                                  	https://msubobcats.com/sports/womens-tennis	MSUBobcatsTEN	msubobcatsten	MSUBobcatsTEN	https://goo.gl/maps/uoXiGnA97SD9mkpA7
d1  	women	BSC      	AZ	Flagstaff          	NAU          	Northern Arizona University                               	https://nauathletics.com/index.aspx?path=wten	NAUWomensTennis	nau.womenstennis	NAU.WomensTennis	https://goo.gl/maps/VeZtubJwzF6ywWyV7
d1  	women	BSC      	OR	Portland           	PSU          	Portland State University                                 	https://g.page/VancouverTennisCenter?share	psuviksWTN	psuvikswtn	portlandstatewtennis	
d1  	women	BSC      	CA	Sacramento         	SacState     	Sacramento State University                               	https://www.hornetsports.com/sports/wten/index	SacStateWTennis	sacstatewtennis	sacstatewtennis	https://goo.gl/maps/PTuuTcpX6GZu8nQo7
d1  	women	BSC      	UT	Ogden              	WSU          	Weber State University                                    	https://weberstatesports.com/index.aspx?path=wten	WSUTennis	weberstatetennis	WeberStateTennis	https://goo.gl/maps/vsmC3ekrmkbJVks66
d1  	women	Big South	NC	Buies Creek        	CU           	Campbell University                                       	https://gocamels.com/index.aspx?path=wten	GoCamelsTennis	gocamelswtennis	cutennis	https://goo.gl/maps/TF75KTBjDRgLvn5h8
d1  	women	Big South	SC	Charleston         	CSU          	Charleston Southern University                            	https://csusports.com/index.aspx?path=wten	CSUWTennis	csu_wtennis	csuwtennis	https://goo.gl/maps/KEPKNYQTbVcy9qDv9
d1  	women	Big South	NC	Boiling Springs    	GWU          	Gardner-Webb University                                   	https://gwusports.com/index.aspx?path=wten	GWUWTEN	gwusports	GWUSports	https://goo.gl/maps/2hm1x8NxK9TQ4MY76
d1  	women	Big South	VA	Hampton            	             	Hampton University                                        	https://hamptonpirates.com/sports/womens-tennis	HamptonU_Tennis	hamptonathletics	HamptonUniversityAthletics	https://goo.gl/maps/oaifdUneeAjwBCPe7
d1  	women	Big South	VA	Farmville          	LU           	Longwood University                                       	https://longwoodlancers.com/index.aspx?path=wten	Longwood_Tennis	longwoodtennisofficial	LUWTennis	https://goo.gl/maps/zRa2cBqQ68H2bge98
d1  	women	Big South	SC	Clinton            	PC           	Presbyterian College                                      	https://g.page/presbyterian-college-sc?share	BlueHoseSports	bluehosesports	bluehosewtennis	
d1  	women	Big South	VA	Radford            	             	Radford University                                        	https://radfordathletics.com/sports/womens-tennis	RadfordWTennis	radfordwtennis	ruwtennis	https://goo.gl/maps/FJxjWQg1UwDtFK2fA
d1  	women	Big South	NC	Asheville          	UNC-Asheville	University of North Carolina at Asheville                 	https://g.page/ARCDT?share	UNCAvlBulldogs	radfordwtennis	UNC-Asheville-Womens-Tennis-523472074341299	
d1  	women	B1G      	IL	Champaign          	UofI         	University of Illinois                                    	https://fightingillini.com/index.aspx?path=wten	IlliniWTennis	illiniwtennis	IlliniWTennis	https://goo.gl/maps/mQwbYKnr6NNPWZSr8
d1  	women	B1G      	IN	Bloomington        	IU           	Indiana University                                        	https://iuhoosiers.com/sports/womens-tennis	IndianaWTennis	indianawtennis	IndianaWTennis	https://goo.gl/maps/Lm7wWyS3dGfcNztWA
d1  	women	B1G      	IA	Iowa City          	             	University of Iowa                                        	https://hawkeyesports.com/sports/wten	iowa_tennis	iowatennis	hawkeyewomenstennis	https://goo.gl/maps/wnL2yk72PSCHRrUw9
d1  	women	B1G      	MD	College Park       	UM           	University of Maryland                                    	https://umterps.com/index.aspx?path=wten	TerpTennis	terptennis	TerpsWTennis	https://goo.gl/maps/ANJtTKkHwRfuNbMV9
d1  	women	B1G      	MI	Ann Arbor          	UM           	University of Michigan                                    	https://mgoblue.com/sports/womens-tennis	UMichWTennis	umichwtennis	UofMTennis	https://goo.gl/maps/HcHNW3uJDe3kUTAK6
d1  	women	B1G      	MI	East Lansing       	MSU          	Michigan State University                                 	https://msuspartans.com/index.aspx?path=wten	MSUWT	msuwt	MSUWT	https://goo.gl/maps/tvcZiyyXhu4KnkHX9
d1  	women	B1G      	MN	Minneapolis        	             	University of Minnesota                                   	https://gophersports.com/sports/womens-tennis	GopherWTennis	gopherwtennis	GopherWomensTennis	https://goo.gl/maps/CsoSwgCygHJa814z9
d1  	women	B1G      	NE	Lincoln            	             	University of Nebraska                                    	https://huskers.com/index.aspx?path=tennis	HuskersWTennis	huskerwtennis	huskerswomenstennis	https://goo.gl/maps/U61bZrhLoSiMoF7M7
d1  	women	B1G      	IL	Evanston           	NU           	Northwestern University                                   	https://nusports.com/index.aspx?path=wten	NUWildcatTennis	nuwildcattennis	NUWildcatTennis	https://goo.gl/maps/9YLEJCA1qBWGppP5A
d1  	women	B1G      	OH	Columbus           	OSU          	Ohio State University                                     	https://ohiostatebuckeyes.com/sports/w-tennis	OhioStateWTEN	ohiostatewten	OhioStateWomensTennis	https://goo.gl/maps/Nv96Me9bb3tgmRYq9
d1  	women	B1G      	PA	University Park    	PSU          	Penn State University                                     	https://gopsusports.com/index.aspx?path=wten	pennstateWTEN	pennstatewten	Penn-State-Womens-Tennis-196497960426174	https://goo.gl/maps/n2Y8txeTo8ar5vpH9
d1  	women	B1G      	IN	Wet Lafayette      	PU           	Purdue University                                         	https://purduesports.com/index.aspx?path=wten	PurdueWTennis	purduewtennis	PurdueWomensTennis	https://goo.gl/maps/DtPaSAXGpeAJDbe86
d1  	women	B1G      	NJ	New Brunswick      	RU           	Rutgers University                                        	https://scarletknights.com/sports/womens-tennis	RutgersTennis	rutgerstennis	RutgersTennis	https://goo.gl/maps/WM3tBshNgxRSbsNr7
d1  	women	B1G      	WI	Madison            	UW           	University of Wisconsin                                   	https://uwbadgers.com/sports/womens-tennis	BadgerWTennis	badgerwtennis	wisconsinwomenstennis	https://goo.gl/maps/wffazdmYpb7mLh8H8
d1  	women	BWC      	CA	Fullerton          	CSUF         	California State University, Fullerton                    	https://www.fullertontitans.com/sports/w-tennis/index	FullertonWTEN	fullertonwten	CSFWomensTennis	https://goo.gl/maps/91SANk4vLbsudLex7
d1  	women	BWC      	CA	Northridge         	CSUN         	California State University, Northridge                   	https://gomatadors.com/index.aspx?path=wten	CSUNWTennis	csuntennis	csunwomenstennis	https://goo.gl/maps/Nf7wFinrweomJz526
d1  	women	BWC      	CA	San Luis Obispo    	Cal Poly     	California Polytechnic State University                   	https://www.gopoly.com/sports/wten/index	CalPolyWTennis	calpolywtennis	calpolytennis	https://goo.gl/maps/p3RS9yU8NM9wdVzh8
