division	gender	conference	state	city	abbreviation	name	website	twitter	instagram	facebook	map
d1  	men  	ACC      	FL	Tallahassee        	FSU          	Florida State University                                  	https://seminoles.com/sports/tennis	FSU_MTennis	fsu_mtennis	FSUMTennis	https://goo.gl/maps/ztronuWstmtQ1hWB9
d1  	men  	ACC      	GA	Atlanta            	GT           	Georgia Institute of Technology                           	https://ramblinwreck.com/sports/m-tennis	GT_MTEN	gt_mten	gtmenstennis	https://goo.gl/maps/Z1CT8NJAGeXwsdfr5
d1  	men  	ACC      	KY	Louisville         	UofL         	University of Louisville                                  	https://gocards.com/sports/mens-tennis	UofLMTennis	uoflmtennis	gocardstennis	https://goo.gl/maps/CEPHjBHYTAeJfbfw9
d1  	men  	ACC      	FL	Miami              	UM           	University of Miami                                       	https://hurricanesports.com/sports/mens-tennis	CanesMensTennis	canesmenstennis	CanesMensTennis	https://goo.gl/maps/2vdsZVz78j5ncqWE9
d1  	men  	ACC      	NC	Raleigh            	NC State     	North Carolina State University                           	https://gopack.com/sports/mens-tennis	PackMensTennis	packmenstennis	NcStateMensTennis	https://goo.gl/maps/BEeuAUCycZJyNEGQ7
d1  	men  	ACC      	NC	Chapel Hill        	UNC          	University of North Carolina                              	https://goheels.com/sports/mens-tennis	carolinatennis	tarheeltennis	CarolinaTennis	https://goo.gl/maps/gWkojqwxWdeuw5s89
d1  	men  	ACC      	IN	Notre Dame         	UND          	University of Notre Dame                                  	https://und.com/sports/mten	NDMensTennis	ndmenstennis	NDMensTennis	https://goo.gl/maps/ut9UMEJkgpBUzFWF9
d1  	men  	ACC      	VA	Charlottesville    	UVA          	University of Virginia                                    	https://virginiasports.com/sports/mens-tennis	UVAMensTennis	uvamenstennis	UVAMensTennis	https://goo.gl/maps/pRuPSevyNyBu34Y68
d1  	men  	ACC      	VA	Blacksburg         	VT           	Virginia Polytechnic Institute & State University         	https://hokiesports.com/sports/mens-tennis	HokiesMTennis	hokiesmtennis	HokiesMTennis	https://goo.gl/maps/Tjr7RxzpGxQLpfAY9
d1  	men  	ACC      	NC	Winston Salem      	WFU          	Wake Forest University                                    	https://godeacs.com/sports/mens-tennis	WakeMTennis	wfmenstennis	wake.menstennis	https://goo.gl/maps/Khv3Jaxe9UtPJLcL6
d1  	men  	ASUN     	KY	Louisville         	BU           	Bellarmine University                                     	https://athletics.bellarmine.edu/sports/mens-tennis	BellarmineMTenn	buknightsmtennis	BUKnights	https://goo.gl/maps/gUkXtLtTp21RJM4t6
