---
published: 2020-02-26
division: NAIA
gender: Women
kind: Team
type: Poll
link: https://www.naia.org/sports/wten/2019-20/releases/WTEN_2020_Poll_2_26_20
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [14]	5-0	374
2	2	Keiser (Fla.)	8-1	362
3	3	Xavier (La.)	3-1	350
4	4	William Carey (Miss.)	0-0	338
5	5	SCAD Savannah (Ga.)	4-1	326
6	6	William Woods (Mo.)	1-2	314
7	7	Middle Georgia State	2-0	302
8	8	Brenau (Ga.)	4-1	290
9	9	Indiana Wesleyan	24-0	277
10	10	Cardinal Stritch (Wis.)	0-2	267
11	11	Lindsey Wilson (Ky.)	1-1	249
12	15	LSU Alexandria (La.)	3-1	242
13	13	Union (Ky.)	4-4	232
14	14	Westmont (Calif.)	3-6	217
15	12	Loyola (La.)	0-5	208
16	16	Georgetown (Ky.)	5-1	195
17	17	Cumberlands (Ky.)	2-3	182
18	18	Mobile (Ala.)	0-0	163
19	19	SCAD Atlanta (Ga.)	2-3-1	161
20	20	San Diego Christian (Calif.)	3-3	146
21	21	Southeastern (Fla.)	4-2-1	137
22	22	Martin Methodist (Tenn.)	0-0	113
23	25	Tennessee Wesleyan	2-3	111
24	24	Olivet Nazarene (Ill.)	2-2	96
25	RV	Marian (Ind.)	11-3	69
RV		University of Northwestern Ohio		57
RV		Cumberland (Tenn.)		46
RV		Missouri Valley		32
RV		Ave Maria (Fla.)		27
RV		McPherson (Kan.)		27
RV		Indiana Tech		23
RV		Campbellsville (Ky.)		16
RV		Lewis-Clark State (Idaho)		16
RV		Coastal Georgia		6
RV		Southwestern (Kan.)		3
RV		Asbury (Ky.)		3
