---
published: 2020-02-26
division: NAIA
gender: Men
kind: Team
type: Poll
link: https://www.naia.org/sports/mten/2019-20/releases/MTEN_2020Poll_2_26_20
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [9]	5-0	374
2	2	Xavier (La.)	3-1	362
3	3	Cardinal Stritch (Wis.)	2-2	350
4	4	William Carey (Miss.)	0-0	338
5	5	Reinhardt (Ga.)	0-0	322
6	6	Middle Georgia State	3-0	315
7	7	Keiser (Fla.)	8-1	305
8	8	Point (Ga.)	3-3	290
9	9	William Woods (Mo.)	1-0	276
10	11	Tennessee Wesleyan	3-2	263
11	12	Lindsey Wilson (Ky.)	2-0	254
12	13	Mobile (Ala.)	0-1	245
13	20	Cumberlands (Ky.)	3-2	219
14	10	Union (Ky.)	4-4	210
15	17	Indiana Wesleyan	22-1	205
16	18	San Diego Christian (Calif.)	2-4	203
17	15	Hope International (Calif.)	4-2	179
18	19	Coastal Georgia	4-1	170
19	21	University of Northwestern Ohio 	5-6	162
20	22	Arizona Christian	1-2	130
21	16	Campbellsville (Ky.)	0-2	121
22	23	Marian (Ind.)	10-4	118
23	24	Missouri Valley	2-2	92
24	14	Cumberland (Tenn.)	5-6	85
25	25	Lewis-Clark State (Idaho)	2-5	82
RV		Indiana Tech		74
RV		McPherson (Kan.)		66
RV		Asbury (Ky.)		64
RV		IU Southeast (Ind.)		32
RV		Grace (Ind.)		28
RV		Southeastern (Fla.)		22
RV		Texas A&M  Texarkana		10
RV		Judson (Ill.)		7
RV		Southwestern (Kan.)		6
RV		Westmont (Calif.)		5
