---
published: 2020-01-22
division: NAIA
gender: Women
kind: Team
type: Poll
link: https://www.naia.org/sports/wten/2019-20/releases/WTEN_2020_Poll_1_22_20
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [14]	0-0	374
2	2	Keiser (Fla.)	0-0	362
3	3	Xavier (La.)	0-0	350
4	4	William Carey (Miss.)	0-0	338
5	5	SCAD Savannah (Ga.)	0-0	326
6	6	William Woods (Mo.)	0-0	309
7	7	Middle Georgia State	0-0	303
8	8	Brenau (Ga.)	1-0	294
9	9	Indiana Wesleyan	18-0	276
10	10	Cardinal Stritch (Wis.)	0-0	268
11	11	Lindsey Wilson (Ky.)	0-0	254
12	12	Loyola (La.)	0-0	238
13	13	Union (Ky.)	0-0	229
14	14	Westmont (Calif.)	0-0	222
15	15	LSU Alexandria (La.)	0-0	207
16	17	Georgetown (Ky.)	2-0	190
17	16	Cumberlands (Ky.)	0-0	182
18	18	Mobile (Ala.)	0-0	166
19	19	SCAD Atlanta (Ga.)	0-1	154
20	21	San Diego Christian (Calif.)	0-0	153
21	20	Cumberland (Tenn.)	2-1	139
22	22	Southeastern (Fla.)	1-0	125
23	23	Martin Methodist (Tenn.)	0-0	100
24	24	Olivet Nazarene (Ill.)	0-0	99
25	25	Marian (Ind.)	10-2	77
RV		Missouri Valley		59
RV		Campbellsville (Ky.)		47
RV		McPherson (Kan.)		40
RV		Lewis-Clark State (Idaho)		25
RV		Asbury (Ky.)		24
RV		Coastal Georgia		13
RV		University of Northwestern Ohio		10
RV		St. Thomas (Fla.)		6
RV		Texas Wesleyan		5
RV		Tennessee Wesleyan		4
RV		Indiana Tech		3
RV		Hastings (Neb.)		3
RV		Grace (Ind.)		3
RV		Southwestern (Kan.)		3
