---
tournaments: 117
players: 3031
matches: 4929
completed: 4859
scheduled: 70
---
tournamentCode	eventId	drawId	bracketId	roundId	winner	player1	partner1	player2	partner2	round	seed1	line1	seed2	line2	score
21-00238	2	6	1	3	1	qm2o28		ymlenc		F		Yeva Kramarova		Lexi Penn	64 61
21-00238	2	6	1	2	1	ymlenc		ligkg4		SF		Lexi Penn		Andrea Farris	64 32 Ret.
21-00238	2	6	1	2	1	qm2o28		d0emae		SF		Yeva Kramarova		Rhythm Aswal	61 61
21-00238	2	6	1	1	1	ligkg4		yi36do		QF		Andrea Farris		Saskia Vogelzang	63 62
21-00238	2	6	1	1	1	d0emae		jm08w0		QF		Rhythm Aswal		Chloe Dix	16 64 [5]
21-00238	2	6	1	1	1	qm2o28		wxstm7		QF		Yeva Kramarova		Serena Gill	61 62
21-00238	2	6	2	2	1	wxstm7		yi36do		F		Serena Gill		Saskia Vogelzang	61 60
21-00238	2	6	2	1	1	wxstm7		jm08w0		SF		Serena Gill		Chloe Dix	64 61
21-00238	2	6	3	1	1	d0emae		ligkg4		F		Rhythm Aswal		Andrea Farris	Walkover
21-00238	2	7	1	3	1	o9zjjz		fd4dq7		R3		Haylie Hunger		Jimena Ramirez Llor…	Default
21-00238	2	7	1	3	1	m69ujc		mpsd2v		R3		Elena Bleicher		Hrudaya Shah	60 62
21-00238	2	7	1	2	1	bjef8t		o9zjjz		R2		Chantal Lozano		Haylie Hunger	63 61
21-00238	2	7	1	2	1	m69ujc		yulu7o		R2		Elena Bleicher		Taylor Conway	62 62
21-00238	2	7	1	1	1	bjef8t		fd4dq7		R1		Chantal Lozano		Jimena Ramirez Llor…	Default
21-00238	2	7	1	1	1	yulu7o		mpsd2v		R1		Taylor Conway		Hrudaya Shah	76(6) 06 [7]
21-00238	2	7	2	1	1	m69ujc		bjef8t		F		Elena Bleicher		Chantal Lozano	61 60
21-00238	2	7	3	1	1	yulu7o		o9zjjz		F		Taylor Conway		Haylie Hunger	62 62
21-00238	2	7	4	1	1	mpsd2v		fd4dq7		F		Hrudaya Shah		Jimena Ramirez Llor…	Walkover
21-00238	2	8	1	3	1	gse6q2		hw0ac6		R3		Yeva Kononovych		Maria Alejandra San…	76(4) 61
21-00238	2	8	1	3	1	y9gtyv		o9zjjz		R3		Ainoa Fabre		Haylie Hunger	60 61
21-00238	2	8	1	2	1	hw0ac6		o9zjjz		R2		Maria Alejandra San…		Haylie Hunger	61 61
21-00238	2	8	1	2	1	y9gtyv		gse6q2		R2		Ainoa Fabre		Yeva Kononovych	61 61
21-00238	2	8	1	1	1	gse6q2		o9zjjz		R1		Yeva Kononovych		Haylie Hunger	60 60
21-00238	2	8	1	1	1	y9gtyv		hw0ac6		R1		Ainoa Fabre		Maria Alejandra San…	62 60
21-01963	1	1	1	6	1	e8kece		e0xcvi		F		Caitlyn Ferrante		Elle Christensen	46 60 [10]
21-01963	1	1	1	5	1	e0xcvi		elpz1v		SF		Elle Christensen		Sarah Pertsemlidis	46 76(4) [7]
21-01963	1	1	1	5	1	e8kece		4d4dq7		SF		Caitlyn Ferrante		Tilly Rigby	61 63
21-01963	1	1	1	4	1	e0xcvi		15dfxv		QF		Elle Christensen		Jackie Bukzin	63 63
21-01963	1	1	1	4	1	elpz1v		lvnlbt		QF		Sarah Pertsemlidis		Venia Yeung	64 76(5)
21-01963	1	1	1	4	1	e8kece		il4taj		QF		Caitlyn Ferrante		Katie Fleischman	61 20 Ret.
21-01963	1	1	1	4	1	4d4dq7		t0g2gm		QF		Tilly Rigby		Amy Cui	63 62
21-01963	1	1	1	3	1	15dfxv		k0187y		16		Jackie Bukzin		Renna Mohsen-Breen	61 62
21-01963	1	1	1	3	1	e0xcvi		xouia6		16		Elle Christensen		Kimberly Liao	62 75
21-01963	1	1	1	3	1	elpz1v		bkauua		16		Sarah Pertsemlidis		Julia Lendel	63 64
21-01963	1	1	1	3	1	lvnlbt		qikgsk		16		Venia Yeung		Anya Ramras	63 61
21-01963	1	1	1	3	1	e8kece		tm2o28		16		Caitlyn Ferrante		Anna Lowy	63 63
21-01963	1	1	1	3	1	il4taj		78iy66		16		Katie Fleischman		Alexis Almy	64 76(4)
21-01963	1	1	1	3	1	t0g2gm		y3rx7l		16		Amy Cui		Maddie Suk	63 62
21-01963	1	1	1	3	1	4d4dq7		o8709y		16		Tilly Rigby		Ashley Teng	60 60
21-01963	1	1	1	2	1	15dfxv		zb8n6t		32		Jackie Bukzin		Casey Cummings	63 36 [5]
21-01963	1	1	1	2	1	k0187y		x2t2fw		32		Renna Mohsen-Breen		Anna Murphy	61 61
21-01963	1	1	1	2	1	xouia6		kfb17t		32		Kimberly Liao		Sophie Henderson	61 64
21-01963	1	1	1	2	1	e0xcvi		hu60y0		32		Elle Christensen		Jay Lu	62 75
21-01963	1	1	1	2	1	elpz1v		ve0sco		32		Sarah Pertsemlidis		Michelle Shub	63 60
21-01963	1	1	1	2	1	bkauua		wdn3bb		32		Julia Lendel		Kriti Williams	62 46 [9]
21-01963	1	1	1	2	1	qikgsk		ixu9sf		32		Anya Ramras		Kennedy May	61 61
21-01963	1	1	1	2	1	lvnlbt		fwhkr2		32		Venia Yeung		Yuka Perera	60 76(5)
21-01963	1	1	1	2	1	e8kece		idy18j		32		Caitlyn Ferrante		Kaya Amin	60 60
21-01963	1	1	1	2	1	tm2o28		7rxld9		32		Anna Lowy		Seraphin Castelino	64 61
21-01963	1	1	1	2	1	78iy66		i2acus		32		Alexis Almy		Mia Kintiroglou	61 61
21-01963	1	1	1	2	1	il4taj		x9gtyv		32		Katie Fleischman		Nicole Frankel	64 61
21-01963	1	1	1	2	1	t0g2gm		dy7yts		32		Amy Cui		Irene Huang	26 63 [5]
21-01963	1	1	1	2	1	y3rx7l		kpohqf		32		Maddie Suk		Sara Fernandez	61 62
21-01963	1	1	1	2	1	o8709y		iq3mx0		32		Ashley Teng		Zoe Kava	36 41 Ret.
21-01963	1	1	1	2	1	4d4dq7		d8kece		32		Tilly Rigby		Sasha Gaeth	63 36 [7]
21-01963	1	1	1	1	1	hu60y0		5e0sco		64		Jay Lu		Emily Sivarak	84
21-01963	1	1	1	1	1	ve0sco		ilnjvn		64		Michelle Shub		Serim Jin	86
21-01963	1	1	1	1	1	fwhkr2		w40qwi		64		Yuka Perera		Deliala Friedman	86
21-01963	1	1	1	1	1	x9gtyv		oscqku		64		Nicole Frankel		Annie Dong	84
21-01963	1	1	1	1	1	dy7yts		08qqu2		64		Irene Huang		Kristina Yu	85
21-01963	1	1	1	1	1	d8kece		th3vfr		64		Sasha Gaeth		Katelyn Hart	85
21-01963	1	2	1	1	1	zb8n6t		kfb17t		16		Casey Cummings		Sophie Henderson	83
21-01963	1	2	1	1	1	ve0sco		dy7yts		16		Michelle Shub		Irene Huang	84
21-01963	1	2	1	1	1	idy18j		x2t2fw		16		Kaya Amin		Anna Murphy	83
