---
tournaments: 115
events: 236
eventsWithDraws: 40
eventsWithoutDraws: 196
draws: 157
brackets: 460
results: 2660
---
tournamentCode	eventId	drawId	bracketId	gender	eventName	drawName	bracketName	rounds	results
21-00238	4	3	3	W	Women's Open Doubles	Flight 2	3-4 Playoff	F	1
21-00238	4	3	4	W	Women's Open Doubles	Flight 2	SOUTH	F	1
21-00238	4	4	1	W	Women's Open Doubles	Flight 3	EAST	QF,SF,F	7
21-00238	4	4	2	W	Women's Open Doubles	Flight 3	WEST	SF,F	3
21-00238	4	4	3	W	Women's Open Doubles	Flight 3	3-4 Playoff	F	1
21-00238	4	4	4	W	Women's Open Doubles	Flight 3	SOUTH	F	1
21-00709	1			W	Women's Open Singles				
21-00709	2			W	Women's Open Doubles				
21-01301	1			M	Men's Open				
21-01963	1			W	Women's Open Singles				
21-01963	2			W	Women's Open Doubles				
21-02376	1			M	Men's Open Singles				
21-02376	2			W	Women's Open Singles				
21-02376	3			M	Men's Open Doubles				
21-02376	4			W	Women's Open Doubles				
21-03077	1			W	Women's Open Singles				
21-03077	2			W	Women's Open Doubles				
21-03887	1			W	Women's Open Singles				
21-03887	2			W	Women's Open Doubles				
21-05118	1			W	Women's Open Singles				
21-05118	2			W	Women's Open Doubles				
21-05800	1			M	Men's Open Singles				
21-05800	2			M	Men's Open Doubles				
21-07548	1			M	Men's Open Singles				
21-07548	2			W	Women's Open Singles				
21-07548	3			M	Men's Open Doubles				
21-07548	4			W	Women's Open Doubles				
21-08423	1			M	Men's Open Singles				
21-08423	2			M	Men's Open Doubles				
21-08925	1			W	Women's Open Singles				
21-08925	2			W	Women's Open Doubles				
21-11561	1			W	Women's Open Singles				
21-11561	2			W	Women's Open Doubles				
21-12886	1			M	Men's Open				
21-12886	2			M	Men's Open Singles				
21-12886	3			M	Men's Open Doubles				
21-14491	1	1	1	W	Women's Open Singles	Draw A Singles	MAIN	64,32,16,QF,SF,F	63
21-14491	1	1	2	W	Women's Open Singles	Draw A Singles	CONSOLATION	32Q,32,16,QF,SF,F	47
21-14491	1	2	1	W	Women's Open Singles	Draw B Singles	MAIN	32,16,QF,SF,F	31
21-14491	1	2	2	W	Women's Open Singles	Draw B Singles	CONSOLATION	16Q,16,QF,SF,F	23
