---
published: 2021-03-17
division: NAIA
gender: Women
kind: Team
type: Poll
link: https://www.naia.org/sports/wten/2020-21/releases/WTEN_Top25_3_17_21
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [14]	13-0	374
2	2	Keiser (Fla.)	9-1	362
3	3	Xavier (La.)	6-4	350
4	4	William Carey (Miss.)	4-1	338
5	5	SCAD Savannah (Ga.)	0-0	319
6	6	William Woods (Mo.)	6-2	309
7	7	Cardinal Stritch (Wis.)	1-4	300
8	9	Indiana Wesleyan	22-3	284
9	11	Montreat (N.C.)	3-4	281
10	7	LSU Alexandria (La.)	2-1	273
11	10	Union (Ky.)	4-0	263
12	12	San Diego Christian (Calif.)	5-0	243
13	13	Middle Georgia State	2-1	234
14	14	Tennessee Wesleyan	5-3	220
15	15	Brenau (Ga.)	4-2	204
16	16	Lindsey Wilson (Ky.)	4-1	195
17	17	Cumberland (Tenn.)	2-2	181
18	18	Mobile (Ala.)	5-1	169
19	19	SCAD Atlanta (Ga.)	0-0	154
20	20	Ave Maria (Fla.)	4-3-1	149
21	21	Loyola (La.)	1-2	130
22	24	Cumberlands (Ky.)	9-2	118
23	25	St. Thomas (Fla.)	4-4	103
24	23	Missouri Valley	4-2	101
25	RV	Marian (Ind.)	12-7	84
RV		Indiana Tech		73
RV		Georgetown (Ky.)		65
RV		Reinhardt (Ga.)		46
RV		Southeastern (Fla.)		30
RV		Campbellsville (Ky.)		17
RV		University of Northwestern Ohio		11
RV		Lewis-Clark State (Idaho)		9
RV		Texas Wesleyan		4
RV		Southwestern (Kan.)		3
