---
published: 2021-03-31
division: NAIA
gender: Men
kind: Team
type: Poll
link: https://www.naia.org/sports/mten/2020-21/releases/MTEN_Top25_3_31_21
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [13]	16-0	343
2	2	Keiser (Fla.)	12-1	332
3	5	Reinhardt (Ga.)	6-0	319
4	3	Cardinal Stritch (Wis.)	3-3	309
5	7	Middle Georgia State	7-2	301
6	4	William Carey (Miss.)	8-2	288
7	8	Indiana Wesleyan	24-2	272
8	16	Union (Ky.)	4-4	266
9	6	Tennessee Wesleyan	10-3	253
10	9	Lindsey Wilson (Ky.)	7-1	244
11	11	Xavier (La.)	6-8	231
12	15	Point (Ga.)	6-7	217
13	13	San Diego Christian (Calif.)	5-2	208
14	14	Cumberlands (Ky.)	11-1	207
15	10	Montreat (N.C.)	2-8	195
16	NR	Blue Mountain (Miss.)	5-3	165
17	17	Grace (Ind.)	20-5	164
18	18	St. Thomas (Fla.)	8-2	163
19	12	Mobile (Ala.)	6-4	143
20	19	University of Northwestern Ohio	7-3	140
21	RV	Southeastern (Fla.)	6-5	118
22	22	William Woods (Mo.)	9-2	100
23	23	Marian (Ind.)	12-9	92
24	RV	Ave Maria (Fla.)	5-5	89
25	21	Cumberland (Tenn.)	7-5	86
RV		Coastal Georgia		72
RV		Indiana Tech		41
RV		Campbellsville (Ky.)		37
RV		Missouri Valley		30
RV		Lewis-Clark State (Idaho)		26
RV		Asbury (Ky.)		17
RV		McPherson (Kan.)		17
RV		Warner (Fla.)		5
RV		Ottawa (Ariz.)		5
