---
published: 2021-01-27
division: NAIA
gender: Women
kind: Team
type: Poll
link: https://www.naia.org/sports/wten/2020-21/releases/WTEN_Top25_1_27_21
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [13]	0-0	343
2	2	Keiser (Fla.)	0-0	332
3	3	Xavier (La.)	0-0	321
4	4	William Carey (Miss.)	0-0	309
5	5	SCAD Savannah (Ga.)	0-0	298
6	7	Brenau (Ga.)	0-0	279
7	6	William Woods (Mo.)	0-0	267
8	8	LSU Alexandria (La.)	0-0	262
9	9	Cardinal Stritch (Wis.)	0-0	260
10	10	Middle Georgia State	0-0	244
11	11	Indiana Wesleyan	16-0	243
12	12	San Diego Christian (Calif.)	0-0	227
13	13	Lindsey Wilson (Ky.)	0-0	210
14	14	Union (Ky.)	0-0	205
15	15	Loyola (La.)	0-0	188
16	20	Tennessee Wesleyan	0-0	164
17	RV	Cumberland (Tenn.)	0-0	155
18	16	SCAD Atlanta (Ga.)	0-0	153
19	18	Westmont (Calif.)	0-0	152
20	19	Southeastern (Fla.)	0-0	134
21	17	Georgetown (Ky.)	0-0	132
22	21	Cumberlands (Ky.)	0-0	103
23	22	Missouri Valley	3-0	95
24	25	Mobile (Ala.)	0-0	77
25	24	Marian (Ind.)	9-2	71
RV		Indiana Tech		70
RV		Campbellsville (Ky.)		69
RV		Ave Maria (Fla.)		46
RV		University of Northwestern Ohio		30
RV		Olivet Nazarene (Ill.)		19
RV		Lewis-Clark State (Idaho)		15
RV		Southwestern (Kan.)		12
RV		Coastal Georgia		7
RV		Freed-Hardeman (Tenn.)		4
