---
published: 2021-04-14
division: NAIA
gender: Men
kind: Team
type: Poll
link: https://www.naia.org/sports/mten/2020-21/releases/MTEN_Top25_4_14_21
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [13]	18-0	343
2	2	Keiser (Fla.)	13-1	332
3	3	Reinhardt (Ga.)	8-1	320
4	5	Middle Georgia State	7-2	307
5	6	William Carey (Miss.)	8-2	289
6	9	Tennessee Wesleyan	14-3	288
7	4	Cardinal Stritch (Wis.)	7-3	282
8	7	Indiana Wesleyan	29-3	273
9	11	Xavier (La.)	11-9	258
10	8	Union (Ky.)	7-6	241
11	10	Lindsey Wilson (Ky.)	12-1	236
12	12	Point (Ga.)	6-9	215
13	13	San Diego Christian (Calif.)	8-2	214
14	14	Cumberlands (Ky.)	16-2	203
15	15	Montreat (N.C.)	3-10	187
16	16	Blue Mountain (Miss.)	7-6	178
17	17	Grace (Ind.)	21-5	163
18	18	St. Thomas (Fla.)	10-3	161
19	19	Mobile (Ala.)	6-4	140
20	20	University of Northwestern Ohio	11-4	138
21	21	Southeastern (Fla.)	7-5	124
22	22	William Woods (Mo.)	11-3	108
23	24	Ave Maria (Fla.)	7-5	96
24	NR	Indiana Tech	10-3	93
25	23	Marian (Ind.)	14-10	77
RV		Cumberland (Tenn.)		70
RV		Coastal Georgia		52
RV		Asbury (Ky.)		23
RV		McPherson (Kan.)		21
RV		Martin Methodist (Tenn.)		13
RV		Lewis-Clark State (Idaho)		13
RV		Ottawa (Ariz.)		12
RV		Campbellsville (Ky.)		6
RV		Warner (Fla.)		4
RV		Judson (Ill.)		4
RV		Huntington (Ind.)		3
RV		Missouri Valley		3
