---
published: 2021-03-31
division: NAIA
gender: Women
kind: Team
type: Poll
link: https://www.naia.org/sports/wten/2020-21/releases/WTEN_Top25_3_31_21
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [14]	16-0	374
2	2	Keiser (Fla.)	10-1	362
3	3	Xavier (La.)	11-4	350
4	4	William Carey (Miss.)	7-2	338
5	5	SCAD Savannah (Ga.)	0-1	323
6	6	William Woods (Mo.)	9-3	307
7	7	Cardinal Stritch (Wis.)	2-4	299
8	9	Montreat (N.C.)	5-4	293
9	8	Indiana Wesleyan	24-3	288
10	10	LSU Alexandria (La.)	5-1	264
11	11	Union (Ky.)	7-0	256
12	12	San Diego Christian (Calif.)	7-0	242
13	13	Middle Georgia State	5-3	230
14	14	Tennessee Wesleyan	7-4	218
15	15	Brenau (Ga.)	5-2	205
16	16	Lindsey Wilson (Ky.)	8-1	195
17	22	Cumberlands (Ky.)	11-2	174
18	20	Ave Maria (Fla.)	8-3	165
19	21	Loyola (La.)	3-4	157
20	RV	Campbellsville (Ky.)	10-2	134
21	RV	Reinhardt (Ga.)	3-4	127
22	23	St. Thomas (Fla.)	6-5	114
23	RV	Indiana Tech	11-1	98
24	25	Marian (Ind.)	14-8	94
25	17	Cumberland (Tenn.)	7-3	91
RV		Missouri Valley		71
RV		SCAD Atlanta (Ga.)		59
RV		University of Northwestern Ohio		49
RV		Blue Mountain (Miss.)		41
RV		Southeastern (Fla.)		19
RV		Mobile (Ala.)		18
RV		Georgetown (Ky.)		15
RV		Texas Wesleyan		5
RV		Lewis-Clark State (Idaho)		3
