---
published: 2021-03-03
division: NAIA
gender: Men
kind: Team
type: Poll
link: https://www.naia.org/sports/mten/2020-21/releases/MTEN_Top25_3_3_21
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [13]	8-0	343
2	4	Keiser (Fla.)	5-1	326
3	3	Cardinal Stritch (Wis.)	1-2	325
4	5	William Carey (Miss.)	1-0	309
5	6	Reinhardt (Ga.)	3-0	301
6	8	Lindsey Wilson (Ky.)	1-0	283
7	7	Middle Georgia State	1-2	281
8	9	Indiana Wesleyan	17-0	261
9	10	Tennessee Wesleyan	6-2	252
10	2	Xavier (La.)	1-4	244
11	RV	Montreat (N.C.)	1-4	239
12	12	Mobile (Ala.)	3-0	215
13	13	San Diego Christian (Calif.)	2-0	211
14	15	Cumberlands (Ky.)	4-0	199
15	11	Point (Ga.)	0-6	196
16	16	Union (Ky.)	2-3	169
17	17	University of Northwestern Ohio	6-1	163
18	RV	St. Thomas (Fla.)	3-0	161
19	19	Grace (Ind.)	16-4	141
20	18	Coastal Georgia	1-1	138
21	20	Cumberland (Tenn.)	1-1	115
22	14	William Woods (Mo.)	2-2	110
23	RV	Marian (Ind.)	8-5	96
24	22	Lewis-Clark State (Idaho)	2-1	81
25	21	Missouri Valley	3-1	73
RV		Indiana Tech		71
RV		McPherson (Kan.)		69
RV		Southeastern (Fla.)		46
RV		Asbury (Ky.)		20
RV		Campbellsville (Ky.)		16
RV		Ottawa (Ariz.)		16
RV		Ave Maria (Fla.)		5
RV		Judson (Ill.)		4
RV		Southwestern (Kan.)		3
RV		Loyola (La.)		3
