---
published: 2021-03-17
division: NAIA
gender: Men
kind: Team
type: Poll
link: https://www.naia.org/sports/mten/2020-21/releases/MTEN_Top25_3_17_21
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [13]	14-0	343
2	2	Keiser (Fla.)	10-1	332
3	3	Cardinal Stritch (Wis.)	2-2	318
4	4	William Carey (Miss.)	5-1	313
5	5	Reinhardt (Ga.)	3-0	299
6	9	Tennessee Wesleyan	9-2	285
7	7	Middle Georgia State	2-2	277
8	8	Indiana Wesleyan	22-2	260
9	6	Lindsey Wilson (Ky.)	4-1	259
10	11	Montreat (N.C.)	2-6	244
11	10	Xavier (La.)	3-6	235
12	12	Mobile (Ala.)	5-1	221
13	13	San Diego Christian (Calif.)	5-2	212
14	14	Cumberlands (Ky.)	10-1	200
15	15	Point (Ga.)	3-6	191
16	16	Union (Ky.)	2-4	175
17	19	Grace (Ind.)	20-5	163
18	18	St. Thomas (Fla.)	6-2	160
19	20	Coastal Georgia	1-1	140
19	17	University of Northwestern Ohio	7-2	140
21	21	Cumberland (Tenn.)	2-4	113
22	22	William Woods (Mo.)	5-2	110
23	23	Marian (Ind.)	10-7	106
24	24	Lewis-Clark State (Idaho)	2-6	75
25	25	Missouri Valley	4-2	70
RV		Southeastern (Fla.)		59
RV		Indiana Tech		50
RV		McPherson (Kan.)		37
RV		Asbury (Ky.)		29
RV		Loyola (La.)		28
RV		Ave Maria (Fla.)		17
RV		Ottawa (Ariz.)		11
RV		Campbellsville (Ky.)		5
RV		Warner (Fla.)		5
