---
published: 2021-03-03
division: NAIA
gender: Women
kind: Team
type: Poll
link: https://www.naia.org/sports/wten/2020-21/releases/WTEN_Top25_3_3_21
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett	8-0	374
2	2	Keiser (Fla.)	4-1	362
3	3	Xavier (La.)	4-2	350
4	4	William Carey (Miss.)	0-0	338
5	5	SCAD Savannah (Ga.)	0-0	326
6	7	William Woods (Mo.)	3-0	313
7	9	Cardinal Stritch (Wis.)	1-3	286
7	8	LSU Alexandria (La.)	0-1	286
9	11	Indiana Wesleyan	18-0	281
10	13	Union (Ky.)	3-0	266
11	14	Montreat (N.C.)	2-3	261
12	12	San Diego Christian (Calif.)	2-0	245
13	10	Middle Georgia State	1-1	229
14	16	Tennessee Wesleyan	4-3	226
15	6	Brenau (Ga.)	2-1	206
16	16	Lindsey Wilson (Ky.)	1-1	192
17	18	Cumberland (Tenn.)	1-1	173
18	25	Mobile (Ala.)	3-0	167
19	19	SCAD Atlanta (Ga.)	3-3-1	164
20	RV	Ave Maria (Fla.)	1-1	135
21	15	Loyola (La.)	0-2	125
22	22	Georgetown (Ky.)	1-0	119
23	24	Missouri Valley	3-1	99
24	23	Cumberlands (Ky.)	4-1	98
25	NR	St. Thomas (Fla.)	2-1	86
RV		Indiana Tech		70
RV		Reinhardt (Ga.)		60
RV		Southeastern (Fla.)		43
RV		Campbellsville (Ky.)		25
RV		Marian (Ind.)		23
RV		Lewis-Clark State (Idaho)		20
RV		University of Northwestern Ohio		18
RV		Ottawa (Ariz.)		12
RV		Southwestern (Kan.)		7
RV		Saint Katherine (Calif.)		4
RV		Coastal Georgia		3
