---
published: 2021-04-14
division: NAIA
gender: Women
kind: Team
type: Poll
link: https://www.naia.org/sports/wten/2020-21/releases/WTEN_Top25_4_14_21
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [14]	15-0	374
2	2	Keiser (Fla.)	10-1	362
3	3	Xavier (La.)	16-5	346
4	9	Indiana Wesleyan	29-4	333
5	5	SCAD Savannah (Ga.)	4-1	325
6	11	Union (Ky.)	12-1	316
7	10	LSU Alexandria (La.)	6-1	299
8	4	William Carey (Miss.)	7-3	295
9	8	Montreat (N.C.)	9-5	278
10	7	Cardinal Stritch (Wis.)	6-4	266
11	6	William Woods (Mo.)	10-4	257
12	12	San Diego Christian (Calif.)	10-0	244
13	13	Middle Georgia State	5-3	231
14	14	Tennessee Wesleyan	10-5	219
15	17	Cumberlands (Ky.)	17-2	205
16	16	Lindsey Wilson (Ky.)	11-2	186
17	18	Ave Maria (Fla.)	9-3	176
18	21	Reinhardt (Ga.)	6-5	175
19	19	Loyola (La.)	4-4	153
20	20	Campbellsville (Ky.)	15-3	142
21	RV	SCAD Atlanta (Ga.)	4-4	131
22	23	Indiana Tech	13-2	117
23	15	Brenau (Ga.)	5-6	103
24	22	St. Thomas (Fla.)	6-6	102
25	24	Marian (Ind.)	15-9	97
RV		Georgetown (Ky.)		83
RV		Cumberland (Tenn.)		69
RV		Missouri Valley		45
RV		University of Northwestern Ohio		21
RV		Blue Mountain (Miss.)		11
RV		Southeastern (Fla.)		11
RV		Saint Katherine (Calif.)		10
RV		Texas Wesleyan		5
RV		Lewis-Clark State (Idaho)		4
