---
published: 2021-04-28
division: NAIA
gender: Men
kind: Team
type: Poll
link: https://www.naia.org/sports/mten/2020-21/releases/MTEN_Top25_4_28_21
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [13]	19-0	343
2	2	Keiser (Fla.)	13-1	332
3	6	Tennessee Wesleyan	17-3	317
4	4	Middle Georgia State	9-2	308
5	3	Reinhardt (Ga.)	9-3	304
6	9	Xavier (La.)	13-10	284
7	7	Cardinal Stritch (Wis.)	11-4	277
8	8	Indiana Wesleyan	31-3	265
9	5	William Carey (Miss.)	9-3	257
10	10	Union (Ky.)	8-7	241
11	11	Lindsey Wilson (Ky.)	16-1	238
12	13	San Diego Christian (Calif.)	11-3	213
13	15	Montreat (N.C.)	4-11	209
14	14	Cumberlands (Ky.)	17-3	199
15	19	Mobile (Ala.)	8-5	188
16	17	Grace (Ind.)	21-5	172
17	18	St. Thomas (Fla.)	11-3	165
17	12	Point (Ga.)	6-11	165
19	16	Blue Mountain (Miss.)	7-6	150
20	20	University of Northwestern Ohio	17-4	135
21	21	Southeastern (Fla.)	7-5	121
22	22	William Woods (Mo.)	16-3	103
23	RV	Cumberland (Tenn.)	13-7	95
24	23	Ave Maria (Fla.)	8-5	94
25	24	Indiana Tech	12-3	88
RV		Marian (Ind.)		76
RV		Coastal Georgia		41
RV		McPherson (Kan.)		39
RV		Asbury (Ky.)		35
RV		Campbellsville (Ky.)		24
RV		Ottawa (Ariz.)		8
RV		Martin Methodist (Tenn.)		7
RV		Lewis-Clark State (Idaho)		7
RV		Midland (Neb.)		3
