---
published: 2021-02-17
division: NAIA
gender: Women
kind: Team
type: Poll
link: https://www.naia.org/sports/wten/2020-21/releases/WTEN_Top25_2_17_21
ranked: 0
---
rank	prev	team	record	points
1	1	Georgia Gwinnett [14]	3-0	374
2	2	Keiser (Fla.)	1-1	362
3	3	Xavier (La.)	1-1	350
4	4	William Carey (Miss.)	0-0	338
5	5	SCAD Savannah (Ga.)	0-0	326
6	6	Brenau (Ga.)	0-0	314
7	7	William Woods (Mo.)	1-0	299
8	8	LSU Alexandria (La.)	0-0	288
9	9	Cardinal Stritch (Wis.)	1-2	278
10	10	Middle Georgia State	0-0	266
11	11	Indiana Wesleyan	16-0	258
12	12	San Diego Christian (Calif.)	0-0	241
13	14	Union (Ky.)	1-0	235
14	NR	Montreat (N.C.)	1-0	212
15	15	Loyola (La.)	0-1	199
16	13	Lindsey Wilson (Ky.)	0-1	195
17	16	Tennessee Wesleyan	2-2	187
18	17	Cumberland (Tenn.)	0-0	169
19	18	SCAD Atlanta (Ga.)	0-0	155
20	19	Westmont (Calif.)	1-1	146
21	20	Southeastern (Fla.)	1-0	139
22	21	Georgetown (Ky.)	0-0	120
23	22	Cumberlands (Ky.)	2-0	106
24	23	Missouri Valley	3-0	102
25	24	Mobile (Ala.)	0-0	78
RV		Marian (Ind.)		75
RV		Indiana Tech		54
RV		Campbellsville (Ky.)		34
RV		Ave Maria (Fla.)		28
RV		University of Northwestern Ohio		20
RV		Lewis-Clark State (Idaho)		10
RV		Olivet Nazarene (Ill.)		9
RV		Southwestern (Kan.)		5
RV		Coastal Georgia		5
RV		Asbury (Ky.)		3
