---
season: 2021-22
division: d2
gender: women
description: composite schedule/scoreboard
updated: 2022-01-21
past: 228 (18%)
today: 3 (0%)
future: 1063 (82%)
completed: 204 (88%)
postponed: 1 (0%)
unreported: 26 (11%)
sources:
  ITA: 696
  Conferences: 598
itaIds: 699
total: 1294
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
  ITA	 22044	2021-09-14	12:00pm	W		ALGNY                      	at		DAEMN                      	L	2-5	 	 	d3/d2  	2021-09-14T16:00Z	c6a18556-c331-4f63-ba99-e4546e91712d				
  ITA	 16105	2021-09-14	 2:00pm	W		AIC                        	at		ADEL                       	L	0-5	 	C	d2     	2021-09-14T18:00Z	46ff013b-b2ef-41c4-adc9-0513b9b46fef				
  ITA	 15846	2021-09-14	 3:00pm	W		MILL                       	at		WILMU                      	L	0-7	 	 	d2     	2021-09-14T19:00Z	96b4c7d6-7e6a-4fc8-a564-1b99d90a3b25				
  ITA	 41987	2021-09-14	 3:00pm	W		QU                         	at		MCK                        	W	4-3	 	C	d2     	2021-09-14T19:00Z	01bd8fe4-21d1-4380-955d-0e78d627ab5d				
  ITA	 44416	2021-09-14	 3:00pm	W		SNHU                       	at		NH                         	W	5-2	 	C	d2     	2021-09-14T19:00Z	644755cd-cb18-4ee1-9b90-098901aed8ae				
  ITA	 14607	2021-09-14	 4:00pm	W		STERL                      	at		FHS                        	L	0-7	 	 	naia/d2	2021-09-14T20:00Z	38c64bb0-ae9d-44d9-b18d-5e6de03c9bb2				
  ITA	 68898	2021-09-15	 1:00pm	W		UNK                        	at		MSUD                       	W	6-1	 	 	d2     	2021-09-15T17:00Z	1811c121-6d22-44de-9c8d-e58d5f4e7ede				
  ITA	 85962	2021-09-15	 6:00pm	W		WITT                       	at		CED                        	W	7-0	 	 	d3/d2  	2021-09-15T22:00Z	827d9f88-04fa-4897-b286-7ae68206eff7				
  ITA	 72426	2021-09-16	 9:30am	W		UNK                        	at		CSUP                       	W	7-0	 	 	d2     	2021-09-16T13:30Z	398eb335-7f6b-45b6-a2c3-5abcfaf25239				
  ITA	 26052	2021-09-16	 4:30pm	W		STANS                      	at		PLYM                       	 	   	 	 	d2/d3  	2021-09-16T20:30Z	cacc531e-4ddb-4e3c-ac0f-39e477da6a0d				
  ITA	 59129	2021-09-16	 6:00pm	W		COLC                       	vs		DBAP                       	L	1-6	N	 	d3/d2  	2021-09-16T22:00Z	1e16a919-0932-465a-aab5-0a1a924ba477				
  ITA	 95447	2021-09-17	10:00am	W		DBAP                       	vs		MSUD                       	W	6-1	N	 	d2     	2021-09-17T14:00Z	a87d86c8-9745-410d-8978-53f9575c4bab				
  ITA	 90600	2021-09-17	 2:30pm	W		MESA                       	vs		UNK                        	L	0-7	N	 	d2     	2021-09-17T18:30Z	6b60e1a9-1aa4-4b31-a46b-1527a7ec8054				
  ITA	 69461	2021-09-17	 4:00pm	W		ALGNY                      	at		CLARN                      	W	7-0	 	 	d3/d2  	2021-09-17T20:00Z	5439f61c-c869-486b-89e8-de0ef6b8e7ea				
  ITA	 58045	2021-09-17	 7:00pm	W		DBAP                       	vs		MESA                       	W	6-1	N	 	d2     	2021-09-17T23:00Z	7e815401-2b19-4341-98c4-64c29e0833bc				
  ITA	 55987	2021-09-17	 8:00pm	W		CSUP                       	vs		FHS                        	L	0-5	N	 	d2     	2021-09-18T00:00Z	3f213c42-cbf7-4050-9c14-62332cd543a7				
 GLVC	132744	2021-09-18	All Day	W		INDI                       	vs		USI                        	N	0-0	N	 	d2     	                 	                                    		Indianapolis, IN		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmfJ7PugNpYNxB8MSJH1f0DvpuSxpDM6oBrr1NB917BF2w%2bzF8TuoiADP2unawcZ655wnUHAjFZtyOPOrnFmFSr&path=wten)
  ITA	 95440	2021-09-18	 9:00am	W		DBAP                       	at		CSUP                       	W	7-0	 	 	d2     	2021-09-18T13:00Z	c43eb93f-6503-4e8c-b94e-fd003d850d1b				
  ITA	 89699	2021-09-18	10:00am	W		FHS                        	vs		MSUD                       	L	1-6	N	 	d2     	2021-09-18T14:00Z	83236140-b11b-4295-9388-bde688f011b5				
  ITA	 20763	2021-09-18	11:00am	W		JEFF                       	at		KUTZ                       	W	6-1	 	 	d2     	2021-09-18T15:00Z	5c8c5656-6953-48c7-bde8-af0eaf3de014				
G-MAC	 35417	2021-09-18	11:00am	W		KWC                        	at		MANC                       	W	9-0	 	 	d2/d3  	2021-09-18T15:00Z	                                    		Franklin, IN		
   CC	 69240	2021-09-18	 1:00pm	W		CAT                        	at		NGC                        	W	6-1	 	 	d2     	2021-09-18T17:00Z	                                    		Tigerville, SC		
G-MAC	 35418	2021-09-18	 1:00pm	W		KWC                        	at		FRANK                      	L	2-6	 	 	d2/d3  	2021-09-18T17:00Z	                                    		Franklin, IN		
 PSAC	112286	2021-09-18	 1:00pm	W		MBALD                      	at		SHEP                       	L	1-6	 	 	d3/d2  	2021-09-18T17:00Z	                                    		Shepherdstown, WV		
