---
season: 2021-22
division: d1
gender: men
description: schedule/scoreboard from conference websites
updated: 2022-01-20
past: 122 (6%)
today: 13 (1%)
future: 1674 (87%)
completed: 98 (73%)
postponed: 16 (12%)
cancelled: 6 (4%)
unreported: 15 (11%)
total: 1916
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
   ACC	 76256	2022-01-09	 4:00pm	M	  	TNTC 	at	10	WAKE 	L	0-4	 	 	d1     		2022-01-09T21:00Z		ET 	4:00 P.M.     	Winston-Salem, NC                               				[Video](https://web.playsight.com/facility/wake-forest-university-tennis/home) [Live Stats](http://sidearmstats.com/wakeforest/mten/) [Box Score](/boxscore.aspx?id=XNhx7lyqEFzIhgL2%2fHPzc75RjjjSSlM4y9dRql5emj%2ff9Wy1FTIxD2M4q4aCBL%2fDIaUjzqwQoiLraJQ7Qy5Y7r3lott0bXkHdjqM7QtgM9Vy4%2bAEQNC9DRHjJF06wk%2fG&path=mten)
   SCn	106081	2022-01-12	10:00am	M	  	ETSU 	at	 4	TENN 	L	0-7	 	 	d1     		2022-01-12T15:00Z		   	10:00 A.M.    	Knoxville, TN                                   				[PlaySight](https://web.playsight.com/facility/uniersity-of-tennessee/home) [Live Stats](http://www.sidearmstats.com/utennessee/mten/)
   SCn	106082	2022-01-12	 3:00pm	M	  	ETSU 	at	 4	TENN 	L	0-4	 	 	d1     		2022-01-12T20:00Z		   	3:00 P.M.     	Knoxville, TN                                   				[PlaySight](https://web.playsight.com/facility/uniersity-of-tennessee/home) [Live Stats](http://www.sidearmstats.com/utennessee/mten/)
  Bg12	154946	2022-01-12	    TBA	M	  	UTRGV	at	 5	TCU  	L	1-6	 	 	d1     		                 		CT 	TBA           	Fort Worth, TX                                  				
  Smmt	 58131	2022-01-12	    TBA	M	  	OMAHA	at	  	ARK  	P	   	 	 	d1     		                 		CT 	TBA           	Fayetteville, AR                                				
  Smmt	 58132	2022-01-12	    TBA	M	  	OMAHA	at	  	ARK  	P	   	 	 	d1     		                 		CT 	TBA           	Fayetteville, AR                                				
  Bg12	155002	2022-01-13	    TBA	M	  	ABCHR	at	  	TTU  	L	1-6	 	 	d1     		                 		CT 	TBA           	Lubbock, TX                                     				
  SWAC	 37383	2022-01-13	All Day	M	  	SMU  	at	  	PVA&M	W	7-0	 	 	d1     		                 		CT 	All Day       	Dallas, TX                                      				
  Bg12	155012	2022-01-13	    TBA	M	  	UTRGV	at	  	TTU  	L	0-7	 	 	d1     		                 		CT 	TBA           	Lubbock, TX                                     				
 Amrcn	 35876	2022-01-13	12:00pm	M	  	PVA&M	at	  	SMU  	L	0-7	 	 	d1     		2022-01-13T17:00Z		   	11:00 A.M.    	Dallas, TX                                      				
