---
season: 2021-22
division: naia
gender: women
description: composite schedule/scoreboard
updated: 2022-01-21
past: 136 (32%)
future: 284 (68%)
completed: 121 (89%)
unreported: 15 (11%)
sources:
  ITA: 367
  Conferences: 53
itaIds: 367
total: 420
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
 ITA	57076	2021-09-07	 7:00pm	W		DEPW 	at		IWES 	L	0-7	 	 	d3/naia  	2021-09-07T23:00Z	cfaa165e-c8a1-4089-b5a7-b8da2c05d12a				
 ITA	41248	2021-09-09	 4:00pm	W		MANC 	at		HUNTU	L	0-7	 	 	d3/naia  	2021-09-09T20:00Z	20859d73-78aa-459b-b14c-ea65f95ad728				
 ITA	21693	2021-09-09	 6:00pm	W		STMRY	at		NEWES	W	5-3	 	 	naia/d3  	2021-09-09T22:00Z	7ef47a49-45e3-4f10-aadc-e6583ceb8faa				
 ITA	35259	2021-09-11	 9:00am	W		HCRIN	at		VALPO	L	0-7	 	 	naia/d1  	2021-09-11T13:00Z	0c3c91ae-d839-41f7-ab0d-3a54ab2a8217				
 ITA	18021	2021-09-11	10:30am	W		GVIEW	at		WARTB	L	4-5	 	 	naia/d3  	2021-09-11T14:30Z	b98d629d-33b0-47f1-a6ab-e16c1a6b870c				
 ITA	13742	2021-09-11	11:00am	W		GOSH 	vs		HUNTU	 	   	N	C	naia     	2021-09-11T15:00Z	cb672f3c-d153-41e4-a2e6-b82fefad4078				
 ITA	48259	2021-09-11	 1:30pm	W		MARU 	at		IWES 	L	0-7	 	C	naia     	2021-09-11T17:30Z	3f6d2430-26f2-4cf9-b954-782eb84bdc3c				
 ITA	78912	2021-09-11	 1:30pm	W		MARU 	vs		MTVRN	W	7-0	N	C	naia     	2021-09-11T17:30Z	aaa034e2-5b53-44d1-a753-73634bae9d65				
 ITA	56553	2021-09-11	 1:30pm	W		SPARB	vs		USFIN	W	6-0	N	C	naia     	2021-09-11T17:30Z	bfb19b51-9d86-4e5b-ad70-9746758f1fb9				
 ITA	72847	2021-09-11	 2:00pm	W		GVIEW	vs		HAML 	W	9-0	N	 	naia/d3  	2021-09-11T18:00Z	a6bbfae4-3480-4671-868b-317da57ac133				
 ITA	66124	2021-09-11	 2:30pm	W		CRNLC	at		STAMB	L	1-6	 	 	d3/naia  	2021-09-11T18:30Z	9031bfca-e835-4c02-98bb-551b2b6ab91f				
 ITA	46186	2021-09-11	 4:00pm	W		HUNTU	at		GCSEM	L	0-6	 	C	naia     	2021-09-11T20:00Z	9d53e298-47f6-4ab8-b914-023e0e5326aa				
 ITA	47948	2021-09-11	 4:00pm	W		SPARB	at		BTHIN	W	6-1	 	C	naia     	2021-09-11T20:00Z	76d910c0-3318-4af8-b49b-6e329f2d8cba				
 ITA	85176	2021-09-11	 4:30pm	W		MTVRN	at		IWES 	L	0-7	 	C	naia     	2021-09-11T20:30Z	4cc1108e-2464-428d-b347-943fb07677db				
 ITA	95308	2021-09-11	 4:30pm	W		USFIN	at		BTHIN	L	1-6	 	C	naia     	2021-09-11T20:30Z	6fa660bb-7d2a-4ea8-93f6-a55b95ed47f2				
 ITA	16736	2021-09-14	 9:30am	W		GCSEM	at		SPARB	L	3-4	 	C	naia     	2021-09-14T13:30Z	ba22caf2-40b2-4e2e-b698-09519ea3bce3				
 ITA	26193	2021-09-14	 9:30am	W		USFIN	at		HUNTU	L	0-1	 	C	naia     	2021-09-14T13:30Z	7ba45a87-3145-4603-bd8a-94a0ca4d04b3				
 ITA	46254	2021-09-14	10:00am	W		BTHIN	at		MARU 	L	0-7	 	C	naia     	2021-09-14T14:00Z	4416ebfb-e72c-41e5-9173-90a3a3aa30df				
 ITA	26887	2021-09-14	 1:00pm	W		BTHIN	vs		GOSH 	W	4-3	N	C	naia     	2021-09-14T17:00Z	13736641-7078-4a54-baea-5357f6581fba				
 ITA	98608	2021-09-14	 1:30pm	W		GCSEM	vs		IWES 	L	0-7	N	C	naia     	2021-09-14T17:30Z	ae340276-87dd-47c0-8ee7-8eca66359bce				
 ITA	47870	2021-09-14	 4:00pm	W		MTVRN	at		HUNTU	L	1-5	 	C	naia     	2021-09-14T20:00Z	007471d6-f1aa-4da9-baf2-8c5784914da3				
 ITA	14607	2021-09-14	 4:00pm	W		STERL	at		FHS  	L	0-7	 	 	naia/d2  	2021-09-14T20:00Z	38c64bb0-ae9d-44d9-b18d-5e6de03c9bb2				
 ITA	 1382	2021-09-14	 4:30pm	W		GOSH 	at		MARU 	L	0-4	 	C	naia     	2021-09-14T20:30Z	7f8c59de-3256-4fb2-90d6-54e79d1f4e55				
 ITA	80944	2021-09-14	 4:30pm	W		IWES 	at		SPARB	W	7-0	 	C	naia     	2021-09-14T20:30Z	94329099-78de-4559-a278-92de1903868c				
 ITA	75578	2021-09-15	 4:00pm	W		CENTR	at		GVIEW	L	0-7	 	 	d3/naia  	2021-09-15T20:00Z	289ca041-bbca-41ea-9a53-ce799b4ded5b				
 ITA	81964	2021-09-16	 3:00pm	W		BTHIN	at		ADRN 	W	5-4	 	 	naia/d3  	2021-09-16T19:00Z	3a2cd735-f671-498a-974f-1a43ac175ffb				
 ITA	38220	2021-09-16	 4:00pm	W		JUDIL	at		GOSH 	W	4-0	 	 	naia     	2021-09-16T20:00Z	ecdcd1bb-be95-4597-8def-52c0a460b21a				
 ITA	76439	2021-09-16	 4:00pm	W		NWOH 	at		HUNTU	W	7-0	 	 	naia     	2021-09-16T20:00Z	cbfac714-df1b-4e39-bf3e-be3afc733883				
 ITA	57490	2021-09-16	 5:00pm	W		HCRIN	vs		ITECH	L	0-4	N	 	naia     	2021-09-16T21:00Z	ffe6f76a-4fb2-440a-9f85-d4c12873e20c				
 ITA	85526	2021-09-17	 3:00pm	W		SHAWN	at		MARC 	W	5-2	 	 	naia/d3  	2021-09-17T19:00Z	11b8e1b3-4d53-433b-9f00-43c1e72468e2				
 ITA	34094	2021-09-17	 4:30pm	W		DUBQ 	at		STAMB	 	   	 	 	d3/naia  	2021-09-17T20:30Z	b2465943-954e-48ed-bcc2-c3bbc04d49cd				
 ITA	 9718	2021-09-17	 5:00pm	W		HCRIN	vs		NWOH 	L	3-4	N	 	naia     	2021-09-17T21:00Z	a7881192-c85f-43c9-bf47-3f8d545f11a1				
 ITA	19843	2021-09-17	 5:00pm	W		JUDIL	at		IWES 	L	0-5	 	 	naia     	2021-09-17T21:00Z	01d6fb97-7530-4cdf-b406-e9769a4ea1b8				
 ITA	32094	2021-09-17	 6:00pm	W		HCRIN	at		HUNTU	W	4-0	 	 	naia     	2021-09-17T22:00Z	5cf63cca-b8af-472e-a731-14d10d25df24				
 ITA	71068	2021-09-18	 9:00am	W		CONMI	vs		SHAWN	L	0-7	N	 	naia     	2021-09-18T13:00Z	b76b1018-2faa-402e-8976-317419692e09				
 ITA	28999	2021-09-18	 9:00am	W		ITECH	at		HUNTU	W	4-0	 	 	naia     	2021-09-18T13:00Z	ceed2da0-ee0a-4721-9d18-e7f3f28f96e5				
 ITA	61292	2021-09-18	 9:00am	W		JUDIL	at		HUNTU	L	1-4	 	 	naia     	2021-09-18T13:00Z	71653cf5-82a5-457e-a67e-9cadf3cb6971				
 ITA	 6214	2021-09-18	11:00am	W		GCSEM	at		MARU 	L	1-6	 	C	naia     	2021-09-18T15:00Z	63d8091e-fd5b-4a0d-9d8c-c6ead3dcc497				
 ITA	73953	2021-09-18	12:00pm	W		AQUIN	at		IWES 	L	0-6	 	 	naia     	2021-09-18T16:00Z	7517bad4-8f44-4f09-a372-b3e9019f4ad2				
 ITA	75837	2021-09-18	 4:00pm	W		NWOH 	at		IWES 	L	0-4	 	 	naia     	2021-09-18T20:00Z	14078638-6090-4261-86c9-57c7972c7a6c				
 ITA	14540	2021-09-19	12:00pm	W		TMORE	at		DAY  	 	   	 	 	naia/d1  	2021-09-19T16:00Z	a1e2effb-54f7-4413-91f9-b2b5c4bbc23c				
 ITA	21560	2021-09-19	 1:00pm	W		MILLG	at		EMHEN	W	5-0	 	 	naia/d3  	2021-09-19T17:00Z	4368c137-9e64-42f8-a9b5-a7f9125607a9				
 ITA	93720	2021-09-20	 5:00pm	W		USFIN	at		IWES 	L	0-7	 	C	naia     	2021-09-20T21:00Z	2da0390e-8745-4e4e-8b32-9b9a7d6bd8c8				
 ITA	76028	2021-09-21	 9:45am	W		MTVRN	vs		SPARB	L	0-7	N	C	naia     	2021-09-21T13:45Z	69f6664b-b828-48c0-9c04-3b74241f9093				
 ITA	26028	2021-09-21	11:00am	W		BTHIN	vs		MARU 	L	0-7	N	C	naia     	2021-09-21T15:00Z	4f6fa684-9b6c-4a94-b83e-c95f27482fe0				
 ITA	48244	2021-09-21	 4:00pm	W		BTHEL	at		FHS  	L	1-6	 	 	naia/d2  	2021-09-21T20:00Z	76ad4a5b-1037-455a-9ca0-846f4e39e95e				
 ITA	 8595	2021-09-21	 4:00pm	W		EMHEN	at		JOHN 	W	5-2	 	 	d3/naia  	2021-09-21T20:00Z	6093f837-820e-429e-908e-8fc13d38f3f9				
 ITA	97684	2021-09-22	 2:00pm	W		GCSEM	vs		HUNTU	L	3-4	N	C	naia     	2021-09-22T18:00Z	3c392163-4ed7-48d6-b98d-c87a0946bcaa				
 ITA	97175	2021-09-22	 4:30pm	W		CORNR	at		CALV 	W	8-1	 	 	naia/d3  	2021-09-22T20:30Z	8383a603-463a-4320-9f92-0e85782dacd1				
 ITA	58037	2021-09-22	 5:00pm	W		MIDLN	at		FRNDS	W	7-0	 	 	naia     	2021-09-22T21:00Z	925899fe-6f7b-4ab0-98fc-b294c7caf511				
 ITA	90902	2021-09-23	 3:30pm	W		SPARB	at		MARU 	L	0-4	 	C	naia     	2021-09-23T19:30Z	cc38b5c5-4266-4cac-9c53-4bb309b54824				
 ITA	19762	2021-09-24	 4:00pm	W		HUNTU	at		IWES 	L	0-5	 	C	naia     	2021-09-24T20:00Z	e1ff8321-e048-4645-ac82-5c929f0bf785				
 ITA	77089	2021-09-24	 4:00pm	W		JOHN 	at		BRESC	W	4-3	 	 	naia     	2021-09-24T20:00Z	2a334447-7a70-4541-92b0-90e8aaf1b41e				
 ITA	18089	2021-09-25	10:00am	W		JOHN 	at		KWC  	W	5-2	 	 	naia/d2  	2021-09-25T14:00Z	73a03cf3-3852-4e18-9402-3a808bddcb92				
