---
season: 2021-22
division: d2
gender: men
description: composite schedule/scoreboard
updated: 2022-01-21
past: 102 (10%)
future: 918 (90%)
completed: 91 (89%)
postponed: 1 (1%)
unreported: 10 (10%)
sources:
  ITA: 541
  Conferences: 479
itaIds: 543
total: 1020
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
 GLVC	132512	2021-09-19	 1:00pm	M		WJC                        	at		BAKER                      	W	7-0	 	 	d2/naia	2021-09-19T17:00Z	                                    		Baldwin City, KS		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglHIARg3QYR5%2fBgSCyuqNll341UeqqfapDZf7dLktzvLyHOtexm4ktEpzsJRZQh0iVbhQjAOBUkXyCI8Xa8XI9zs4G%2bJg9X4CslCBpquj1GWg%3d%3d&path=mten)
  ITA	 49080	2021-09-23	 3:00pm	M		WVSU                       	at		SHAWN                      	W	5-2	 	 	d2/naia	2021-09-23T19:00Z	0783c501-50c6-4685-89a7-0776454f2c6e				
  ITA	 55525	2021-09-25	11:00am	M		JOHN                       	at		KWC                        	L	2-5	 	 	naia/d2	2021-09-25T15:00Z	79d1041b-a973-40cb-ab9d-b858059cbdb4				
G-MAC	 35382	2021-09-25	 3:00pm	M		BRESC                      	at		KWC                        	W	7-0	 	 	naia/d2	2021-09-25T19:00Z	                                    		Owensboro, KY		
  ITA	 95354	2021-09-26	12:00pm	M		EMERS                      	at		STON                       	L	2-5	 	 	d3/d2  	2021-09-26T16:00Z	5c1d599b-309c-470f-be04-8da63711dcda				
  ITA	 79732	2021-09-26	 3:00pm	M		WISE                       	at		BREV                       	W	7-0	 	 	d2/d3  	2021-09-26T19:00Z	3e15e2a1-a1ac-4158-9ea6-ed4eb5049d71				
G-MAC	 36194	2021-09-27	 2:00pm	M		TU                         	at		GOSH                       	W	4-3	 	 	d2/naia	2021-09-27T18:00Z	                                    		Goshen, IN		[Box Score](https://static.greatmidwestsports.com/custompages/Stats/2021-22/mten21-22/tum-gos.htm)
  ITA	  1356	2021-09-29	11:00am	M		OBRL                       	vs		WAL                        	L	0-9	N	 	d3/d2  	2021-09-29T15:00Z	9361df4f-3ac5-45d9-9957-f9027035857a				
  ITA	 30751	2021-09-29	 4:00pm	M		HOPE                       	at		Northwood University/MI (M)	L	1-6	 	 	d3/d2  	2021-09-29T20:00Z	a70232be-b08c-4570-8359-dec45dc8127c				
  ITA	 51510	2021-09-30	 3:00pm	M		JEFF                       	at		STAC                       	L	3-4	 	 	d2     	2021-09-30T19:00Z	32aa4c43-274d-4bdc-b816-25b34033efb1				
