---
season: 2021-22
division: juco
gender: men
description: composite schedule/scoreboard
updated: 2022-01-21
past: 13 (7%)
future: 162 (93%)
completed: 10 (77%)
unreported: 3 (23%)
sources:
  ITA: 175
itaIds: 175
total: 175
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
ITA	13859	2022-02-04	 2:00pm	M		ITWCC	at		CLCC 	 	   	 	C	juco     	2022-02-04T19:00Z	5d7e4312-36f8-415e-87fa-732cdbb3a54f				
ITA	26620	2022-02-04	 2:30pm	M		GSCC 	at		HUNTC	 	   	 	 	juco/d3  	2022-02-04T19:30Z	5eac1d61-28bd-4253-a5a1-25e9a6b5631a				
ITA	47025	2022-02-04	 3:00pm	M		SCCC 	at		CCCC 	 	   	 	 	juco     	2022-02-04T20:00Z	b3616d97-6755-4c61-b571-e91ca99f47d3				
ITA	23406	2022-02-04	 3:00pm	M		SWMCC	at		HNDCC	 	   	 	C	juco     	2022-02-04T20:00Z	b9091dd5-41f0-41b0-bfa8-3aee94ddd0f2				
ITA	31743	2022-02-05	11:00am	M		UTPB 	at		CCCC 	 	   	 	 	d2/juco  	2022-02-05T16:00Z	8656b270-5d80-46ff-9559-19d879d67b12				
ITA	51623	2022-02-05	12:00pm	M		AZCHR	at		MSACC	 	   	 	 	naia/juco	2022-02-05T17:00Z	af09724c-fb57-4d65-9c7f-98ab8ca4063f				
ITA	66267	2022-02-05	 3:00pm	M		HNDCC	vs		OX-EM	 	   	N	 	juco     	2022-02-05T20:00Z	c19e476f-a542-496a-a2ed-61c033585ae8				
ITA	69995	2022-02-05	 3:00pm	M		MSAC 	at		VENT 	 	   	 	 	juco     	2022-02-05T20:00Z	a09fee27-a4f9-4258-a9f2-74cbe81ad745				
ITA	93567	2022-02-05	 3:00pm	M		SEOSU	at		CCCC 	 	   	 	 	d2/juco  	2022-02-05T20:00Z	441cf8d1-9a1b-4b5f-853f-7b3db6404f51				
ITA	34192	2022-02-05	 5:00pm	M		ARC  	at		UCSC 	 	   	 	 	juco/d3  	2022-02-05T22:00Z	12adce69-1fb1-4b2c-a793-d5022056cad0				
ITA	63284	2022-02-06	 4:00pm	M		SPKCC	at		WHITW	 	   	 	 	juco/d3  	2022-02-06T21:00Z	6a361a2c-b64f-4b52-8e63-cea31d16a906				
ITA	63806	2022-02-08	 2:00pm	M		CLCC 	at		MCC  	 	   	 	C	juco     	2022-02-08T19:00Z	bfc79154-923d-4b05-a84c-6e4cc2103942				
ITA	92626	2022-02-08	 2:00pm	M		SEAST	at		EFSC 	 	   	 	 	naia/juco	2022-02-08T19:00Z	5e7d7571-01f4-40c9-98a8-9f389971f5e6				
ITA	44308	2022-02-08	 3:00pm	M		HNDCC	at		ITWCC	 	   	 	C	juco     	2022-02-08T20:00Z	b87364d5-a865-4e01-8388-18a51f4347ff				
ITA	 8767	2022-02-08	 4:00pm	M		CHAB 	at		SR   	 	   	 	 	juco     	2022-02-08T21:00Z	1afe56cc-cef8-4769-be59-13cd7c9c6bab				
ITA	15568	2022-02-08	 6:00pm	M		VENT 	at		FPU  	 	   	 	 	juco/d2  	2022-02-08T23:00Z	d9ee39e9-0863-49f2-b757-0956987fef2e				
ITA	56812	2022-02-11	11:00am	M		MCC  	at		HNDCC	 	   	 	C	juco     	2022-02-11T16:00Z	d29f2f88-77de-4562-aa04-094ae0d03e4b				
ITA	 8986	2022-02-11	11:00am	M		MIDGA	at		ABRA 	 	   	 	 	naia/juco	2022-02-11T16:00Z	a124c652-46d1-4db7-9105-e93325bdf183				
ITA	10765	2022-02-11	 2:00pm	M		NEMCC	at		CLCC 	 	   	 	C	juco     	2022-02-11T19:00Z	d528cc15-d808-40c0-812a-023628d5e738				
ITA	96249	2022-02-11	 2:00pm	M		TYLER	at		LAMAR	 	   	 	 	juco/d1  	2022-02-11T19:00Z	7b4c744d-82dc-4ce1-96bc-4b0611de25bf				
ITA	88447	2022-02-11	 3:00pm	M		VENT 	at		CALUT	 	   	 	 	juco/d3  	2022-02-11T20:00Z	49759a0d-cad7-4ebc-be96-22c720e0bc47				
ITA	31694	2022-02-11	 5:00pm	M		JC   	vs		TEXAR	 	   	N	 	juco/naia	2022-02-11T22:00Z	e59fad9f-0d24-47ba-99ec-dfbae345ae65				
ITA	88466	2022-02-12	 2:00pm	M		ABRA 	at		SCADA	 	   	 	 	juco/naia	2022-02-12T19:00Z	95471fb3-7a87-49fa-8e5c-dd8259ceef7c				
ITA	23339	2022-02-12	 3:30pm	M		MGCCC	at		HUNTC	 	   	 	 	juco/d3  	2022-02-12T20:30Z	2df79719-5bf2-4638-8140-1cc7db17f681				
ITA	75953	2022-02-12	 6:00pm	M		CACC 	at		HUNTC	 	   	 	 	juco/d3  	2022-02-12T23:00Z	be5e9b50-2106-46fa-9871-c8a50ee56f83				
ITA	65058	2022-02-13	 4:00pm	M		SAU  	at		CCCC 	 	   	 	 	d2/juco  	2022-02-13T21:00Z	e27b1776-914b-40eb-a4e0-974c3df4d11d				
ITA	94342	2022-02-14	 1:00pm	M		SEAST	at		ABRA 	 	   	 	 	naia/juco	2022-02-14T18:00Z	f1a87f5d-8b7d-49b1-a666-9e471eea0a13				
ITA	85776	2022-02-15	 2:00pm	M		HNDCC	at		NEMCC	 	   	 	C	juco     	2022-02-15T19:00Z	239c9c17-be2c-4f8b-be1c-3e650ac593a5				
ITA	 6335	2022-02-15	 3:00pm	M		CLCC 	at		ECCC 	 	   	 	C	juco     	2022-02-15T20:00Z	4cc13192-c292-4257-a443-f53d2b818301				
ITA	33189	2022-02-17	 1:00pm	M		CACC 	at		HNDCC	 	   	 	 	juco     	2022-02-17T18:00Z	18a078f9-b984-4d2d-b036-ad9da4e3e8b3				
ITA	57855	2022-02-17	 5:00pm	M		VENT 	at		RVSCC	 	   	 	 	juco     	2022-02-17T22:00Z	3e4ebc7f-b877-49bb-8a26-77f469a8d5a4				
ITA	58938	2022-02-18	10:00am	M		TEXAR	at		CCCC 	 	   	 	 	naia/juco	2022-02-18T15:00Z	00c6ea0d-818f-4b3c-af24-5dbcab9b7a4c				
ITA	81694	2022-02-18	 1:00pm	M		ABRA 	at		AGSTA	 	   	 	 	juco/d2  	2022-02-18T18:00Z	83c87622-6fe4-41d5-826c-81664ca30a77				
ITA	12558	2022-02-18	 2:00pm	M		SCCC 	vs		TEXAR	 	   	N	 	juco/naia	2022-02-18T19:00Z	82297d47-6868-4426-b1f2-4a393a0f3598				
ITA	70841	2022-02-18	 3:00pm	M		BTCCC	at		CCCC 	 	   	 	 	juco     	2022-02-18T20:00Z	8e21fdaf-51e7-4091-b549-48817cd7ad9d				
ITA	45967	2022-02-18	 3:00pm	M		ECCC 	at		HNDCC	 	   	 	C	juco     	2022-02-18T20:00Z	8bff47a5-b149-4bda-b5c5-fb01d0d090a1				
ITA	65981	2022-02-18	 3:00pm	M		HLMCC	at		CLCC 	 	   	 	C	juco     	2022-02-18T20:00Z	dd11192e-a7b9-483b-a3a2-c8ce4cdabbce				
ITA	40007	2022-02-18	 5:00pm	M		ARC  	at		FPU  	 	   	 	 	juco/d2  	2022-02-18T22:00Z	bd41a5c6-5c31-4067-b48f-8dad752f336e				
ITA	10251	2022-02-19	11:00am	M		BTCCC	vs		TEXAR	 	   	N	 	juco/naia	2022-02-19T16:00Z	c29e084f-c35c-4e55-a687-dc3c955350a4				
ITA	92957	2022-02-19	11:00am	M		ICCC 	at		CCCC 	 	   	 	 	juco     	2022-02-19T16:00Z	137a6757-247e-47e6-9553-bf6d204c3e2e				
ITA	85571	2022-02-19	12:00pm	M		ABRA 	vs		MMI  	 	   	N	 	juco     	2022-02-19T17:00Z	005a5207-43c1-4252-85a9-650d603e254f				
ITA	55514	2022-02-19	 1:00pm	M		ARC  	at		FCC  	 	   	 	 	juco     	2022-02-19T18:00Z	9524cf42-0fa6-4377-8026-e47cf4340dd5				
ITA	27144	2022-02-19	 4:00pm	M		ABRA 	vs		WSCC 	 	   	N	 	juco     	2022-02-19T21:00Z	b195ffbc-877b-4a98-8a9e-f1deed118ae0				
ITA	55872	2022-02-19	 5:00pm	M		ARC  	at		REED 	 	   	 	 	juco     	2022-02-19T22:00Z	21990e02-6970-41d3-81a2-8dad5a5e3260				
ITA	56464	2022-02-20	10:00am	M		HAR  	at		CCCC 	 	   	 	 	d2/juco  	2022-02-20T15:00Z	0c8c3fe4-58a9-40f4-880e-1540386cc2b7				
ITA	60572	2022-02-22	 3:00pm	M		CLCC 	at		JONES	 	   	 	C	juco     	2022-02-22T20:00Z	e68b64b7-c970-49e7-a0f2-6a79f43c2011				
ITA	62649	2022-02-22	 3:00pm	M		HNDCC	at		HLMCC	 	   	 	C	juco     	2022-02-22T20:00Z	740007ea-a63a-4095-8e0f-0f1daa388276				
