---
season: 2021-22
division: d3
gender: men
description: composite schedule/scoreboard
updated: 2022-01-21
past: 160 (13%)
today: 1 (0%)
future: 1031 (86%)
completed: 133 (83%)
unreported: 28 (17%)
sources:
  ITA: 723
  Conferences: 469
itaIds: 726
total: 1192
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
   PAC	35969	2021-09-11	 2:00pm	M		PSUAL	vs	  	WAYNE                      	L	4-5	N	 	d3     	2021-09-11T18:00Z	                                    		Latrobe, PA		
   ITA	23527	2021-09-11	 3:00pm	M		ANDIN	vs	  	WEBST                      	 	   	N	 	d3     	2021-09-11T19:00Z	e7a05870-8081-40c3-87bb-a3c7aec7511e				
   PAC	35914	2021-09-11	 4:00pm	M		BWAL 	at	  	FRANC                      	W	5-4	 	 	d3     	2021-09-11T20:00Z	                                    		Steubenville, OH		[Video](https://pacathletics.org/watch/default.aspx?Live=1811&path=fra) [Live Stats](https://docs.google.com/spreadsheets/d/1vb8bQEHOqlaDx_ndSWoCNikDPIO-KeXsSwQAAxaMzpA/edit?usp=sharing) [Box Score](/boxscore.aspx?id=U95KDbi8KaY21DX%2b6VZ5VMYo9WG3lWhJ%2b%2fXiqWeSMiioxXfeNXfNTVef33HD3R1eVaHESGEpzUqIZ3zj3ITNhNN76R%2fDeEUHVlqLjpaJ9N2zek%2fasbjHy%2bcOZdvbdkYT&path=mten)
   ITA	94280	2021-09-11	 4:30pm	M		JUDIL	at	  	WHEAT                      	W	5-4	 	 	naia/d3	2021-09-11T20:30Z	02ca4bdc-5102-4e0e-bd3a-d1433ea7c530				
   ITA	31505	2021-09-11	 5:00pm	M		HAML 	at	  	WARTB                      	L	1-8	 	 	d3     	2021-09-11T21:00Z	2017cfba-2ba7-4db6-8df2-5c1a36885601				
   PAC	35937	2021-09-11	 5:00pm	M		PSUAL	at	  	STVIN                      	L	0-5	 	 	d3     	2021-09-11T21:00Z	                                    		Latrobe, PA		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgm%2b33SfoP2bfngWJ5IhN6%2f5Gg90sm%2fiXBBMB4lPA7bAt%2bWAwn8piccdrKQvrs6pyQy0MLQweNh4h4DI6aIiGYhyFQhOwy1KxFSXOxxVoy5CIA%3d%3d&path=mten)
   PAC	35938	2021-09-12	 1:30pm	M		MTALO	at	  	STVIN                      	L	2-5	 	 	d3     	2021-09-12T17:30Z	                                    		Latrobe, PA		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgm%2b33SfoP2bfngWJ5IhN6%2f5Gg90sm%2fiXBBMB4lPA7bAt%2bWAwn8piccdrKQvrs6pyQx9zViekop7TQmsPab4VjBdp3gtuqa37Nb1lZHtLfAFQA%3d%3d&path=mten)
   ITA	 6061	2021-09-14	 3:30pm	M		DESAL	at	  	LEBAN                      	L	2-7	 	 	d3     	2021-09-14T19:30Z	69402e97-f646-4c79-80c2-5a9e4265385f				
   ITA	85557	2021-09-14	 4:00pm	M		LYC  	at	  	SUSQ                       	L	1-8	 	 	d3     	2021-09-14T20:00Z	b1a8125a-3539-4807-8137-6987ba3e61e3				
   ITA	85115	2021-09-15	 3:00pm	M		DAEMN	at	  	RIT                        	L	3-6	 	 	d2/d3  	2021-09-15T19:00Z	b1dbcd40-384c-47c1-b8d6-bcecd6c52456				
