---
season: 2021-22
division: d1
gender: women
description: schedule/scoreboard from conference websites
duals: 2411
---
source	id	date	time	timeZone	gender	team	at	opponent	outcome	score	neutral	conference	links	rank	oppRank
   ACC	 75824	2022-02-05	       	   	W	ODU  	at	MIA  	 	   	 	 			
    MW	 68662	2022-02-05	    TBA	   	W	SDSU 	at	ARIZ 	 	   	 	 			
    MW	 68659	2022-02-05	    TBA	   	W	SELU 	at	WYO  	 	   	 	 			
  MAAC	 72389	2022-02-05	    TBA	ET 	W	SIEN 	at	BROWN	 	   	 	 			
   SCn	106273	2022-02-05	    TBA	   	W	TNWES	at	CHAT 	 	   	 	 			
 SnBlt	 36217	2022-02-05	All Day	CT 	W	UMKC 	at	ARST 	 	   	 	 			
 C-USA	 66713	2022-02-05	All Day	CT 	W	UNT  	at	MEM  	 	   	 	 			
 SnBlt	 37340	2022-02-05	 8:30am	ET 	W	SCAD 	at	CCAR 	 	   	 	 			
  Ptrt	116362	2022-02-05	 9:00am	ET 	W	SBU  	at	ARMY 	 	   	 	 			
 SnBlt	 37404	2022-02-05	 9:00am	CT 	W	TROY 	at	STET 	 	   	 	 			
   Ivy	 55050	2022-02-05	 9:30am	ET 	W	BU   	at	HARV 	 	   	 	 			
 BgSky	 48615	2022-02-05	10:00am	MST	W	ABCHR	vs	NAU  	 	   	N	 			
    MW	 68664	2022-02-05	10:00am	   	W	BOISE	at	BYU  	 	   	 	 			
 C-USA	 66795	2022-02-05	10:00am	CT 	W	JVST 	at	USM  	 	   	 	 			
Sthlnd	 41232	2022-02-05	10:00am	CT 	W	NICH 	at	ULM  	 	   	 	 			
 SnBlt	 36351	2022-02-05	10:00am	CT 	W	NICH 	at	ULM  	 	   	 	 			
  SWAC	 38010	2022-02-05	10:00am	CT 	W	PVA&M	at	ORU  	 	   	 	 			
    MW	 68661	2022-02-05	10:00am	   	W	UTEP 	at	UNLV 	 	   	 	 			
 BgSky	 48662	2022-02-05	10:00am	MT 	W	WEBER	vs	YSU  	 	   	N	 			
  Bg12	155284	2022-02-05	10:00am	ET 	W	WVU  	at	W&M  	 	   	 	 			
  SWAC	 37907	2022-02-05	11:00am	CT 	W	ALCN 	at	ULLAF	 	   	 	 			
   ACC	 76092	2022-02-05	11:00am	ET 	W	DUKE 	at	FUR  	 	   	 	 			
   SCn	105940	2022-02-05	11:00am	ET 	W	DUKE 	at	FUR  	 	   	 	 	[Live Stats](https://stats.statbroadcast.com/statmonitr/?id=382034)		
    MW	 68660	2022-02-05	11:00am	   	W	IDST 	at	USU  	 	   	 	 			
  Ptrt	116479	2022-02-05	11:00am	ET 	W	MAR  	at	LEH  	 	   	 	 			
 C-USA	 66744	2022-02-05	11:00am	ET 	W	ODU  	at	MIA  	 	   	 	 			
   ACC	 76112	2022-02-05	11:00am	ET 	W	SCAR 	at	WAKE 	 	   	 	 			
Sthlnd	 41187	2022-02-05	11:00am	CT 	W	SELU 	vs	WYO  	 	   	N	 			
   Ivy	 54917	2022-02-05	11:00am	ET 	W	SIEN 	at	BROWN	 	   	 	 			
 C-USA	 66682	2022-02-05	11:00am	CT 	W	TARL 	at	LT   	 	   	 	 			
 Amrcn	 36070	2022-02-05	12:00pm	   	W	APP  	at	ECAR 	 	   	 	 			
 C-USA	 66509	2022-02-05	12:00pm	ET 	W	BC   	vs	CHAR 	 	   	N	 			
 C-USA	 66589	2022-02-05	12:00pm	ET 	W	FGCU 	at	FAU  	 	   	 	 			
  Hrzn	 38858	2022-02-05	12:00pm	CT 	W	MILW 	at	BUTL 	 	   	 	 			
 Amrcn	 36188	2022-02-05	12:00pm	   	W	PUR  	at	TULSA	 	   	 	 			
   ACC	 76017	2022-02-05	12:00pm	ET 	W	UNC  	at	MICH 	 	   	 	 			
 C-USA	 66853	2022-02-05	12:00pm	MT 	W	UTEP 	vs	WEBER	 	   	N	 			
 SnBlt	 37328	2022-02-05	12:30pm	ET 	W	NCCU 	at	CCAR 	 	   	 	 			
   Ivy	 55082	2022-02-05	12:30pm	ET 	W	SHU  	at	HARV 	 	   	 	 			
   ACC	 76151	2022-02-05	 1:00pm	ET 	W	BC   	at	CHAR 	 	   	 	 			
   Ivy	 54969	2022-02-05	 1:00pm	ET 	W	FIU  	at	CLMB 	 	   	 	 			
 C-USA	 66899	2022-02-05	 1:00pm	CT 	W	PEAY 	at	WKU  	 	   	 	 			
   OVC	 32646	2022-02-05	 1:00pm	CT 	W	PEAY 	at	WKU  	 	   	 	 			
 BgSth	 94672	2022-02-05	 1:00pm	ET 	W	PRES 	at	UNCW 	 	   	 	 			
 Amrcn	 36140	2022-02-05	 1:00pm	   	W	SMU  	at	A&M  	 	   	 	 			
  Ptrt	116363	2022-02-05	 1:00pm	ET 	W	UMASS	at	ARMY 	 	   	 	 			
   SCn	106009	2022-02-05	 1:00pm	   	W	UNCG 	at	DAV  	 	   	 	 			
 Amrcn	 36697	2022-02-05	 1:00pm	   	W	UNT  	at	MEM  	 	   	 	 			
 C-USA	 66647	2022-02-05	 1:00pm	CT 	W	UTM  	at	MTSU 	 	   	 	 			
   OVC	 32757	2022-02-05	 1:00pm	CT 	W	UTM  	at	MTSU 	 	   	 	 			
  Bg12	155039	2022-02-05	 1:00pm	CT 	W	WAST 	at	BAY  	 	   	 	 			
  Hrzn	 39237	2022-02-05	 1:00pm	   	W	WEBER	vs	YSU  	 	   	N	 			
  MEAC	 61952	2022-02-05	 1:30pm	   	W	NCCU 	at	CCAR 	 	   	 	 			
 Amrcn	 36165	2022-02-05	 2:00pm	   	W	BAMA 	at	TULN 	 	   	 	 			
  Ptrt	116583	2022-02-05	 2:00pm	ET 	W	GTWN 	at	NAVY 	 	   	 	 			
   ACC	 76128	2022-02-05	 2:00pm	ET 	W	MSU  	vs	VT   	 	   	N	 			
Sthlnd	 41233	2022-02-05	 2:00pm	CT 	W	NICH 	at	GRAM 	 	   	 	 			
 BgSth	 94583	2022-02-05	 2:00pm	ET 	W	WCU  	at	GWEBB	 	   	 	 			
   SCn	106054	2022-02-05	 2:00pm	   	W	WCU  	at	GWEBB	 	   	 	 			
 BgSky	 48694	2022-02-05	 2:30pm	   	W	SACST	at	CPOLY	 	   	 	 			
  SWAC	 37908	2022-02-05	 3:00pm	CT 	W	ALCN 	at	SFA  	 	   	 	 			
 BgSth	 94552	2022-02-05	 3:00pm	ET 	W	CAMP 	at	WAKE 	 	   	 	 			
   OVC	 32830	2022-02-05	 3:00pm	   	W	IUPUI	at	BEL  	 	   	 	 			
 C-USA	 66822	2022-02-05	 3:00pm	CT 	W	UAB  	vs	UCA  	 	   	N	 			
 Amrcn	 36207	2022-02-05	 3:00pm	   	W	WICH 	at	CRE  	 	   	 	 			
    MW	 68663	2022-02-05	 3:15pm	   	W	MSUD 	at	CSU  	 	   	 	 			
   ACC	 76113	2022-02-05	 3:30pm	ET 	W	WCU  	at	WAKE 	 	   	 	 			
  Hrzn	 38815	2022-02-05	 4:00pm	ET 	W	IUPUI	at	BEL  	 	   	 	 			
  MEAC	 61970	2022-02-05	 4:00pm	   	W	NORF 	at	W&M  	 	   	 	 			
 C-USA	 66658	2022-02-05	 5:00pm	CT 	W	ALA&M	at	MTSU 	 	   	 	 			
  SWAC	 37860	2022-02-05	 5:00pm	CT 	W	ALA&M	at	MTSU 	 	   	 	 			
  MAAC	 74862	2022-02-05	 6:00pm	ET 	W	BUCK 	at	NIA  	 	   	 	 			
  Ptrt	116424	2022-02-05	 6:00pm	ET 	W	BUCK 	at	NIA  	 	   	 	 			
  MAAC	 74828	2022-02-05	 6:00pm	ET 	W	FAIR 	at	HALL 	 	   	 	 			
 Amrcn	 36751	2022-02-05	 6:00pm	   	W	SYR  	at	TEM  	 	   	 	 			
   OVC	 32831	2022-02-05	 6:30pm	   	W	CUMBD	at	BEL  	 	   	 	 			
  Ptrt	116401	2022-02-06	    TBA	ET 	W	BING 	at	BU   	 	   	 	 			
 Amrcn	 36046	2022-02-06	       	   	W	GASO 	at	UCF  	 	   	 	 			
 BgSth	 94729	2022-02-06	    TBA	ET 	W	LIME 	at	UNCA 	 	   	 	 			
   ACC	 76161	2022-02-06	    TBA	ET 	W	LOU  	at	VANDY	 	   	 	 			
   ACC	 75825	2022-02-06	       	   	W	NW   	at	GT   	 	   	 	 			
  SWAC	 38013	2022-02-06	    TBA	CT 	W	PVA&M	at	LAMAR	 	   	 	 			
  MAAC	 72385	2022-02-06	    TBA	ET 	W	SIEN 	at	URI  	 	   	 	 			
 C-USA	 66876	2022-02-06	All Day	CT 	W	UTSA 	at	UTA  	 	   	 	 			
  Bg12	155184	2022-02-06	    TBA	CT 	W	WAST 	at	TCU  	 	   	 	 			
 BgSky	 48583	2022-02-06	 8:00am	MT 	W	MTST 	vs	SDAK 	 	   	N	 			
 C-USA	 66543	2022-02-06	 9:00am	ET 	W	CHAR 	at	DART 	 	   	 	 			
 SnBlt	 37405	2022-02-06	 9:00am	CT 	W	TROY 	at	BCOOK	 	   	 	 			
   OVC	 32702	2022-02-06	 9:00am	CT 	W	W ILL	at	SIUE 	 	   	 	 	[Live Stats](http://stats.statbroadcast.com/statmonitr/?id=381094)		
    MW	 68666	2022-02-06	10:00am	   	W	ABCHR	at	UNM  	 	   	 	 			
 SnBlt	 36256	2022-02-06	10:00am	ET 	W	GASO 	at	UCF  	 	   	 	 			
 BgSky	 48484	2022-02-06	10:00am	PT 	W	SEA  	at	EWU  	 	   	 	 			
  SWAC	 37930	2022-02-06	10:00am	ET 	W	TROY 	at	BCOOK	 	   	 	 			
 BgSky	 48663	2022-02-06	10:00am	MT 	W	UTEP 	vs	WEBER	 	   	N	 			
 SnBlt	 37430	2022-02-06	10:00am	CT 	W	UTSA 	at	UTA  	 	   	 	 			
  Bg12	155282	2022-02-06	10:00am	ET 	W	WVU  	at	VCU  	 	   	 	 			
    MW	 68665	2022-02-06	10:00am	   	W	YSU  	at	UNLV 	 	   	 	 			
   Ivy	 55193	2022-02-06	10:30am	ET 	W	YALE 	at	ND   	 	   	 	 			
   Ivy	 55019	2022-02-06	11:00am	ET 	W	CHAR 	at	DART 	 	   	 	 			
   OVC	 32855	2022-02-06	11:00am	   	W	CUMBD	at	MURR 	 	   	 	 			
Sthlnd	 41355	2022-02-06	11:00am	CT 	W	IWORD	at	SHSU 	 	   	 	 			
 C-USA	 66683	2022-02-06	11:00am	CT 	W	MCN T	at	LT   	 	   	 	 			
Sthlnd	 41250	2022-02-06	11:00am	CT 	W	MCN T	at	LT   	 	   	 	 			
  Bg12	156121	2022-02-06	12:00pm	   	W	ARK  	at	KAN  	 	   	 	 			
 C-USA	 66823	2022-02-06	12:00pm	CT 	W	CHAT 	at	UAB  	 	   	 	 			
   ACC	 76198	2022-02-06	12:00pm	   	W	CLEM 	at	AUB  	 	   	 	 			
 SnBlt	 36284	2022-02-06	12:00pm	ET 	W	GAST 	at	LIP  	 	   	 	 			
   OVC	 32678	2022-02-06	12:00pm	CT 	W	MILW 	at	EIU  	 	   	 	 			
 C-USA	 66854	2022-02-06	12:00pm	MT 	W	UTEP 	vs	YSU  	 	   	N	 			
  Bg12	155040	2022-02-06	12:00pm	CT 	W	WASH 	at	BAY  	 	   	 	 			
 Amrcn	 36208	2022-02-06	12:00pm	   	W	WICH 	at	NEB  	 	   	 	 			
  Ptrt	116425	2022-02-06	12:30pm	ET 	W	BUCK 	at	BUFF 	 	   	 	 			
   SCn	106274	2022-02-06	 1:00pm	   	W	CHAT 	at	UAB  	 	   	 	 			
  Hrzn	 39257	2022-02-06	 1:00pm	   	W	DUQ  	at	CLEV 	 	   	 	 			
  Bg12	156062	2022-02-06	 1:00pm	CT 	W	ISU  	at	KSU  	 	   	 	 			
 C-USA	 66900	2022-02-06	 1:00pm	CT 	W	IUPUI	at	WKU  	 	   	 	 			
  Hrzn	 38816	2022-02-06	 1:00pm	ET 	W	IUPUI	at	WKU  	 	   	 	 			
  Hrzn	 38839	2022-02-06	 1:00pm	CT 	W	MILW 	at	EIU  	 	   	 	 			
   ACC	 76052	2022-02-06	 1:00pm	ET 	W	SCAR 	at	NCST 	 	   	 	 			
   SCn	106032	2022-02-06	 1:00pm	   	W	UCA  	at	SAM  	 	   	 	 			
  Hrzn	 39238	2022-02-06	 1:00pm	   	W	YSU  	at	UNLV 	 	   	 	 			
  Hrzn	 38891	2022-02-06	 2:00pm	CT 	W	BRAD 	at	UIC  	 	   	 	 			
Sthlnd	 41289	2022-02-06	 2:00pm	CT 	W	JVST 	at	UNO  	 	   	 	 			
  Bg12	155189	2022-02-06	 2:00pm	CT 	W	MIZZ 	at	TEX  	 	   	 	 			
 Amrcn	 36166	2022-02-06	 2:00pm	   	W	MSST 	at	TULN 	 	   	 	 			
  SWAC	 37861	2022-02-06	 3:00pm	CT 	W	ALA&M	at	AUB  	 	   	 	 			
   OVC	 32856	2022-02-06	 3:00pm	   	W	CUMBD	at	MURR 	 	   	 	 			
   ACC	 76053	2022-02-06	 6:00pm	ET 	W	ECAR 	at	NCST 	 	   	 	 			
 Amrcn	 36071	2022-02-06	 6:00pm	   	W	ECAR 	at	NCST 	 	   	 	 			
Sthlnd	 41234	2022-02-07	 2:00pm	CT 	W	SOU  	at	NICH 	 	   	 	 			
 BgSth	 94699	2022-02-08	 3:00pm	ET 	W	RAD  	at	APP  	 	   	 	 			
 SnBlt	 36245	2022-02-09	12:00pm	ET 	W	CoC  	at	GASO 	 	   	 	 			
  MEAC	 61953	2022-02-09	 1:00pm	   	W	NCCU 	at	UNCG 	 	   	 	 			
   SCn	106010	2022-02-09	 1:00pm	   	W	NCCU 	at	UNCG 	 	   	 	 			
  SWAC	 37931	2022-02-09	 1:00pm	ET 	W	STET 	at	BCOOK	 	   	 	 			
 SnBlt	 37406	2022-02-09	 1:30pm	CT 	W	ALST 	at	TROY 	 	   	 	 			
  SWAC	 37884	2022-02-09	 1:30pm	CT 	W	TROY 	at	ALST 	 	   	 	 			
Sthlnd	 41356	2022-02-10	11:00am	CT 	W	LAMAR	at	IWORD	 	   	 	 			
 C-USA	 66827	2022-02-10	12:00pm	CT 	W	KENN 	at	UAB  	 	   	 	 			
 C-USA	 66777	2022-02-10	 1:00pm	CT 	W	A&MCC	at	RICE 	 	   	 	 			
Sthlnd	 41153	2022-02-10	 1:00pm	CT 	W	A&MCC	at	RICE 	 	   	 	 			
   Ivy	 55216	2022-02-11	       	   	W	DART 	at	COR  	 	   	 	 			
 BgSth	 94730	2022-02-11	    TBA	ET 	W	DAV  	at	UNCA 	 	   	 	 			
 C-USA	 66603	2022-02-11	    TBA	ET 	W	FAU  	at	WICH 	 	   	 	 			
  Bg12	156122	2022-02-11	    TBA	   	W	KAN  	at	NEB  	 	   	 	 			
  Hrzn	 38868	2022-02-11	All Day	ET 	W	NKU  	at	WKU  	 	   	 	 			
    MW	 68668	2022-02-11	    TBA	   	W	SACST	at	NEV  	 	   	 	 			
  MAAC	 72402	2022-02-11	    TBA	ET 	W	SIEN 	at	BUFF 	 	   	 	 			
  SWAC	 37955	2022-02-11	    TBA	ET 	W	STET 	at	FLA&M	 	   	 	 			
 Amrcn	 36167	2022-02-11	       	   	W	TULN 	at	TULSA	 	   	 	 			
    MW	 68669	2022-02-11	    TBA	   	W	USU  	at	DIX  	 	   	 	 			
 C-USA	 66714	2022-02-11	All Day	CT 	W	UTSA 	at	UNT  	 	   	 	 			
 C-USA	 66615	2022-02-11	 8:00am	ET 	W	MRSH 	at	FUR  	 	   	 	 			
 Amrcn	 36209	2022-02-11	 9:00am	   	W	FAU  	at	WICH 	 	   	 	 			
    MW	 68671	2022-02-11	10:00am	   	W	FRES 	at	BYU  	 	   	 	 			
   OVC	 32679	2022-02-11	12:00pm	CT 	W	EIU  	at	IUPUI	 	   	 	 			
 C-USA	 66684	2022-02-11	12:00pm	CT 	W	ORU  	at	LT   	 	   	 	 			
 SnBlt	 37325	2022-02-11	12:00pm	ET 	W	PRES 	at	CCAR 	 	   	 	 			
  Hrzn	 38817	2022-02-11	 1:00pm	ET 	W	EIU  	at	IUPUI	 	   	 	 			
  Bg12	156063	2022-02-11	 1:00pm	CT 	W	MEM  	at	KSU  	 	   	 	 			
   OVC	 32857	2022-02-11	 1:00pm	   	W	MURR 	at	LIP  	 	   	 	 			
 BgSth	 94673	2022-02-11	 1:00pm	ET 	W	PRES 	at	CCAR 	 	   	 	 			
Sthlnd	 41179	2022-02-11	 1:00pm	CT 	W	SELU 	at	SALA 	 	   	 	 			
 Amrcn	 36072	2022-02-11	 1:00pm	   	W	UNCG 	at	ECAR 	 	   	 	 			
   SCn	106011	2022-02-11	 1:00pm	   	W	UNCG 	at	ECAR 	 	   	 	 			
 C-USA	 66811	2022-02-11	 2:00pm	CT 	W	CHAT 	at	USM  	 	   	 	 			
    MW	 68670	2022-02-11	 2:00pm	   	W	CSLB 	at	SDSU 	 	   	 	 			
 Amrcn	 36698	2022-02-11	 2:00pm	   	W	MEM  	at	KSU  	 	   	 	 			
 BgSky	 48695	2022-02-11	 2:00pm	   	W	NEV  	at	SACST	 	   	 	 			
 BgSky	 48640	2022-02-11	 2:00pm	PT 	W	SEA  	at	PRST 	 	   	 	 			
 SnBlt	 37368	2022-02-11	 2:00pm	CT 	W	SELU 	at	SALA 	 	   	 	 			
 BgSth	 94538	2022-02-11	 2:00pm	ET 	W	UNCW 	at	CAMP 	 	   	 	 			
    MW	 68672	2022-02-11	 2:00pm	   	W	UTEP 	at	BOISE	 	   	 	 			
   OVC	 32710	2022-02-11	 2:00pm	CT 	W	WWOOD	at	SIUE 	 	   	 	 	[Live Stats](http://stats.statbroadcast.com/statmonitr/?id=381097)		
   SCn	105978	2022-02-11	 3:00pm	   	W	GAST 	at	MER  	 	   	 	 			
 C-USA	 66855	2022-02-11	 3:00pm	MT 	W	UTEP 	at	BOISE	 	   	 	 			
 BgSky	 48664	2022-02-11	 3:00pm	MT 	W	WEBER	at	BYU  	 	   	 	 			
 BgSky	 48497	2022-02-11	 5:00pm	PT 	W	EWU  	at	ORE  	 	   	 	 			
    MW	 68673	2022-02-11	 5:00pm	   	W	GONZ 	at	CSU  	 	   	 	 			
 Amrcn	 36092	2022-02-11	 6:00pm	   	W	HOU  	at	BAMA 	 	   	 	 			
 C-USA	 66901	2022-02-11	 6:30pm	CT 	W	NKU  	at	WKU  	 	   	 	 			
   OVC	 32732	2022-02-11	 7:00pm	CT 	W	SE MO	at	MOST 	 	   	 	 			
  Bg12	155042	2022-02-12	    TBA	CT 	W	A&M  	at	BAY  	 	   	 	 			
  SWAC	 37928	2022-02-12	    TBA	CT 	W	ALCN 	at	LAMAR	 	   	 	 			
  SWAC	 37909	2022-02-12	    TBA	CT 	W	ALCN 	at	LAMAR	 	   	 	 			
   ACC	 76130	2022-02-12	    TBA	ET 	W	CHAR 	at	VT   	 	   	 	 	[Live Stats](/sports/2019/1/24/womens-tennis-live-stats.aspx)		
  Ptrt	116621	2022-02-12	    TBA	ET 	W	COLG 	at	PROV 	 	   	 	 			
 C-USA	 66601	2022-02-12	    TBA	ET 	W	FAU  	at	KSU  	 	   	 	 			
 BgSky	 48531	2022-02-12	All Day	MT 	W	IDST 	vs	UTEP 	 	   	N	 			
 C-USA	 66641	2022-02-12	All Day	CT 	W	MTSU 	vs	UTSA 	 	   	N	 			
  Ptrt	116478	2022-02-12	    TBA	ET 	W	SB   	at	LEH  	 	   	 	 			
   OVC	 32733	2022-02-12	    TBA	CT 	W	SE MO	at	UCA  	 	   	 	 			
  SWAC	 37956	2022-02-12	    TBA	ET 	W	TROY 	at	FLA&M	 	   	 	 			
  MEAC	 61479	2022-02-12	    TBA	ET 	W	UDC  	at	HOW  	C	   	 	 			
Sthlnd	 41251	2022-02-12	    TBA	CT 	W	ULLAF	at	MCN T	 	   	 	 			
  SWAC	 38014	2022-02-12	All Day	CT 	W	UTRGV	at	PVA&M	 	   	 	 			
   SCn	105894	2022-02-12	    TBA	   	W	VCU  	at	ETSU 	 	   	 	 	[Live Stats](http://stats.statbroadcast.com/broadcast/?id=382264)		
   SCn	106056	2022-02-12	    TBA	   	W	WCU  	at	SCST 	 	   	 	 			
   SCn	105942	2022-02-12	 9:00am	ET 	W	MRSH 	at	FUR  	 	   	 	 	[Live Stats](https://stats.statbroadcast.com/statmonitr/?id=382035)		
 BgSky	 48505	2022-02-12	 9:00am	PT 	W	WHITM	at	IDAHO	 	   	 	 			
 SnBlt	 36244	2022-02-12	10:00am	ET 	W	CHSO 	at	GASO 	 	   	 	 			
  Hrzn	 39258	2022-02-12	10:00am	   	W	MIAOH	at	CLEV 	 	   	 	 			
 C-USA	 66531	2022-02-12	11:00am	ET 	W	CHAR 	at	VT   	 	   	 	 			
 BgSth	 94561	2022-02-12	11:00am	ET 	W	CHSO 	at	GASO 	 	   	 	 			
  Bg12	156064	2022-02-12	11:00am	CT 	W	FAU  	at	KSU  	 	   	 	 			
 C-USA	 66856	2022-02-12	11:00am	MT 	W	IDST 	vs	UTEP 	 	   	N	 			
 BgSky	 48696	2022-02-12	11:00am	   	W	PAC  	at	SACST	 	   	 	 			
Sthlnd	 41193	2022-02-12	11:00am	CT 	W	TX ST	at	NWSU 	 	   	 	 			
 SnBlt	 36309	2022-02-12	11:00am	CT 	W	TX ST	at	NWSU 	 	   	 	 			
  Bg12	155105	2022-02-12	12:00pm	CT 	W	AZST 	at	OKLA 	 	   	 	 			
    MW	 68674	2022-02-12	12:00pm	   	W	CPOLY	at	SDSU 	 	   	 	 			
   OVC	 32680	2022-02-12	12:00pm	CT 	W	EIU  	at	BRAD 	 	   	 	 			
 Amrcn	 36699	2022-02-12	12:00pm	   	W	MEM  	vs	SDAK 	 	   	N	 			
 SnBlt	 37407	2022-02-12	12:00pm	CT 	W	TROY 	at	FLA&M	 	   	 	 			
 Amrcn	 36047	2022-02-12	12:00pm	   	W	UCF  	at	UVA  	 	   	 	 			
 C-USA	 66820	2022-02-12	12:00pm	CT 	W	UTM  	at	UAB  	 	   	 	 			
   OVC	 32758	2022-02-12	12:00pm	CT 	W	UTM  	at	UAB  	 	   	 	 			
  Ptrt	116364	2022-02-12	12:30pm	ET 	W	DREX 	at	ARMY 	 	   	 	 			
Sthlnd	 41182	2022-02-12	 1:00pm	CT 	W	ALST 	vs	SELU 	 	   	N	 			
 BgSth	 94534	2022-02-12	 1:00pm	ET 	W	CAMP 	at	ELON 	 	   	 	 			
 BgSky	 48498	2022-02-12	 1:00pm	PT 	W	EWU  	vs	PORT 	 	   	N	 			
  MAAC	 74829	2022-02-12	 1:00pm	ET 	W	FAIR 	at	LAF  	 	   	 	 			
  Ptrt	116449	2022-02-12	 1:00pm	ET 	W	FAIR 	at	LAF  	 	   	 	 			
    MW	 68675	2022-02-12	 1:00pm	   	W	NMSU 	at	UNM  	 	   	 	 			
 C-USA	 66902	2022-02-12	 1:00pm	CT 	W	SAM  	at	WKU  	 	   	 	 			
Sthlnd	 41235	2022-02-12	 1:00pm	CT 	W	SHSU 	at	NICH 	 	   	 	 			
  MEAC	 61954	2022-02-12	 1:00pm	   	W	UNCW 	at	NCCU 	 	   	 	 			
  SWAC	 37885	2022-02-12	 2:00pm	CT 	W	ALST 	vs	SELU 	 	   	N	 			
   SCn	106072	2022-02-12	 2:00pm	   	W	EMM  	at	WOF  	 	   	 	 			
 BgSth	 94700	2022-02-12	 2:00pm	ET 	W	RAD  	at	W&M  	 	   	 	 			
   SCn	106033	2022-02-12	 2:00pm	   	W	SAM  	at	WKU  	 	   	 	 			
 SnBlt	 36352	2022-02-12	 2:00pm	CT 	W	SFA  	at	ULM  	 	   	 	 			
   OVC	 32703	2022-02-12	 2:30pm	CT 	W	MCK  	at	SIUE 	 	   	 	 			
   OVC	 32681	2022-02-12	 3:00pm	CT 	W	EIU  	vs	OMAHA	 	   	N	 			
 BgSky	 48697	2022-02-12	 3:00pm	   	W	GCU  	at	SACST	 	   	 	 			
  Hrzn	 39259	2022-02-12	 3:00pm	   	W	SRU  	at	CLEV 	 	   	 	 			
   ACC	 76160	2022-02-12	 4:00pm	ET 	W	BUTL 	at	LOU  	C	   	 	 			
  Hrzn	 38860	2022-02-12	 4:00pm	CT 	W	EMICH	at	MILW 	 	   	 	 			
  Ptrt	116365	2022-02-12	 4:00pm	ET 	W	GTWN 	at	ARMY 	 	   	 	 			
  Hrzn	 39239	2022-02-12	 4:00pm	   	W	MIAOH	at	YSU  	 	   	 	 			
   ACC	 76173	2022-02-12	 4:00pm	ET 	W	SLU  	at	LOU  	 	   	 	 			
   ACC	 75827	2022-02-12	 5:00pm	ET 	W	BU   	at	BC   	 	   	 	 			
  Ptrt	116584	2022-02-12	 5:00pm	ET 	W	GW   	at	NAVY 	 	   	 	 			
  Ptrt	116426	2022-02-12	 6:30pm	ET 	W	BUCK 	at	HALL 	 	   	 	 			
  MAAC	 74849	2022-02-12	 7:00pm	ET 	W	SFU  	at	NIA  	 	   	 	 			
  SWAC	 37862	2022-02-13	    TBA	CT 	W	ALA&M	at	JVST 	 	   	 	 			
  Ptrt	116402	2022-02-13	    TBA	ET 	W	BRY  	at	BU   	 	   	 	 			
 BgSky	 48530	2022-02-13	All Day	MT 	W	IDST 	at	BOISE	 	   	 	 			
 C-USA	 66616	2022-02-13	    TBA	ET 	W	MRSH 	at	VT   	 	   	 	 			
 C-USA	 66715	2022-02-13	    TBA	CT 	W	MTSU 	at	UNT  	 	   	 	C			
   ACC	 76206	2022-02-13	    TBD	   	W	ND   	at	NW   	 	   	 	 			
  MEAC	 61480	2022-02-13	    TBA	ET 	W	NOVA 	at	HOW  	 	   	 	 			
 C-USA	 66796	2022-02-13	    TBA	CT 	W	SHSU 	vs	USM  	 	   	N	 			
  MAAC	 72383	2022-02-13	    TBA	ET 	W	SIEN 	at	COLG 	 	   	 	 			
  Ptrt	116622	2022-02-13	    TBA	ET 	W	SIEN 	at	COLG 	 	   	 	 			
  Bg12	155181	2022-02-13	    TBA	CT 	W	TCU  	at	BAMA 	 	   	 	 			
  Bg12	155267	2022-02-13	 9:00am	ET 	W	DUQ  	at	WVU  	 	   	 	 			
 BgSth	 94610	2022-02-13	10:00am	ET 	W	HAMP 	at	CNEW 	 	   	 	 			
    MW	 68677	2022-02-13	10:00am	   	W	IDST 	at	BOISE	 	   	 	 			
 BgSky	 48584	2022-02-13	10:00am	MT 	W	MONT 	at	MTST 	 	   	 	C			
 SnBlt	 37437	2022-02-13	10:00am	CT 	W	SAU  	at	UTA  	 	   	 	 			
 BgSky	 48655	2022-02-13	10:00am	PT 	W	UCI  	at	PRST 	 	   	 	 			
  SWAC	 37898	2022-02-13	11:00am	CT 	W	ALST 	at	SALA 	 	   	 	 			
 Amrcn	 36700	2022-02-13	11:00am	   	W	MEM  	at	NEB  	 	   	 	 			
   ACC	 75828	2022-02-13	11:00am	ET 	W	NIA  	at	SYR  	 	   	 	 			
  MAAC	 74863	2022-02-13	11:00am	ET 	W	NIA  	at	SYR  	 	   	 	 			
Sthlnd	 41209	2022-02-13	11:00am	CT 	W	SFA  	at	NWSU 	 	   	 	 			
 Amrcn	 36169	2022-02-13	11:00am	   	W	TULN 	at	WICH 	 	   	 	 			
 C-USA	 66685	2022-02-13	11:00am	CT 	W	TX ST	at	LT   	 	   	 	 			
 SnBlt	 36312	2022-02-13	11:00am	CT 	W	TX ST	at	LT   	 	   	 	 			
 BgSky	 48665	2022-02-13	11:00am	MT 	W	WEBER	at	USU  	 	   	 	 			
    MW	 68676	2022-02-13	11:00am	   	W	WEBER	at	USU  	 	   	 	 			
  Ptrt	116427	2022-02-13	12:00pm	ET 	W	BUCK 	at	MAR  	 	   	 	 			
   ACC	 76199	2022-02-13	12:00pm	   	W	CLEM 	at	SCAR 	 	   	 	 			
  Bg12	155071	2022-02-13	12:00pm	CT 	W	ISU  	at	PUR  	 	   	 	 			
