---
season: d1
gender: men
description: schedule/scoreboard from team websites
updated: 2022-01-20
past: 119 (9%)
today: 12 (1%)
future: 1258 (90%)
completed: 99 (76%)
unreported: 32 (24%)
total: 1394
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	teamId	opponentId	dualId
ITA	90113	2022-01-14	10:00am	M	  	BRY  	vs	  	LAMAR	L	1-6	N	 	d1     	2022-01-14T15:00Z			ff232b85-9bee-4fb0-9a91-065cf0d475c1
ITA	26617	2022-01-14	 2:00pm	M	  	LAMAR	at	  	OKST 	L	1-6	 	 	d1     	2022-01-14T19:00Z			59452867-aba7-471e-974b-7bdd70e1bf0c
ITA	28988	2022-01-14	 3:00pm	M	  	KENN 	at	  	WOF  	W	6-1	 	 	d1     	2022-01-14T20:00Z			a20e7736-67a2-4d74-b24f-54d6dd62ac3f
ITA	60492	2022-01-14	 3:00pm	M	  	UNF  	at	  	FSU  	L	1-6	 	 	d1     	2022-01-14T20:00Z			9112c7a8-3cfb-4972-937a-692827b7ca43
ITA	76549	2022-01-14	 4:00pm	M	  	CHIC 	at	  	NW   	L	0-4	 	 	d1     	2022-01-14T21:00Z			aecde445-2606-4753-b0e2-c15c1a29e38a
ITA	59950	2022-01-14	 4:00pm	M	  	VT   	at	  	MSU  	L	3-4	 	 	d1     	2022-01-14T21:00Z			015326a2-3e29-4206-82b9-e089deac374e
ITA	30925	2022-01-14	 4:00pm	M	  	AFA  	at	  	MTST 	L	2-5	 	 	d1     	2022-01-14T21:00Z			98d1d61f-9a2e-44aa-8449-ff0bbfd64b99
ITA	94864	2022-01-14	 5:00pm	M	  	GCU  	at	  	AZST 	L	0-7	 	 	d1     	2022-01-14T22:00Z			0937d0b9-916c-4a54-be28-4a75a4377f5f
ITA	13653	2022-01-14	 5:00pm	M	  	BING 	at	  	FGCU 	L	1-6	 	 	d1     	2022-01-14T22:00Z			559b585d-5854-48c0-aadb-fea77cee9d85
ITA	51228	2022-01-14	 5:00pm	M	  	BRY  	at	  	OKST 	L	0-7	 	 	d1     	2022-01-14T22:00Z			2a2cdb16-c373-43f8-8e22-6109a48b4521
ITA	58805	2022-01-14	 6:00pm	M	  	BOISE	vs	  	PRST 	W	7-0	N	 	d1     	2022-01-14T23:00Z			e2a1a720-2854-4618-93f6-aca3488318e5
ITA	17740	2022-01-14	 8:00pm	M	  	CHIC 	at	  	NW   	L	0-4	 	 	d1     	2022-01-15T01:00Z			837f6495-f5f6-4801-bcb9-66fed75b8db9
ITA	25414	2022-01-14	 8:00pm	M	  	EIU  	at	  	MSU  	L	0-7	 	 	d1     	2022-01-15T01:00Z			9594ee5c-a039-4239-bbbc-92a0e076aa0e
ITA	16577	2022-01-15	10:00am	M	10	CCAR 	at	  	WAKE 	L	0-7	 	 	d1     	2022-01-15T15:00Z			64a2ab30-8548-40bd-958b-be7b6e978ca6
ITA	89337	2022-01-15	 2:00pm	M	  	ELON 	at	10	WAKE 	L	0-7	 	 	d1     	2022-01-15T19:00Z			11158e17-eb55-4622-bf59-2f454e923f23
ITA	30492	2022-01-15	 9:30am	M	  	DAY  	at	12	UK   	L	0-5	 	 	d1     	2022-01-15T14:30Z			142fd982-1d4e-4a85-9a30-1fd50ac5f596
ITA	61313	2022-01-15	 1:00pm	M	  	DAY  	at	12	UK   	L	0-4	 	 	d1     	2022-01-15T18:00Z			282adda5-b7c3-4100-918b-ad720f54786b
ITA	 4319	2022-01-15	 2:00pm	M	  	IWORD	at	24	OKLA 	L	0-7	 	 	d1     	2022-01-15T19:00Z			bb4b6b5e-3b6c-422b-8d01-e5fa5821818b
ITA	38761	2022-01-15	 6:00pm	M	  	BRY  	at	24	OKLA 	L	0-7	 	 	d1     	2022-01-15T23:00Z			aafdf6a7-f9d4-48fb-bfa1-5de8778b5bcf
ITA	14071	2022-01-15	10:00am	M	  	BUTL 	at	  	WMU  	L	1-6	 	 	d1     	2022-01-15T15:00Z			93387325-5f26-4998-a303-dc601fdbad4d
ITA	58806	2022-01-15	10:00am	M	  	DEP  	at	  	ARMY 	W	6-1	 	 	d1     	2022-01-15T15:00Z			48ba7042-1a17-4aef-ad7f-b14e2055fb62
ITA	18112	2022-01-15	11:00am	M	  	BING 	vs	  	TROY 	L	0-7	N	 	d1     	2022-01-15T16:00Z			923bbf90-df29-4ab8-aed8-9eb5122613d9
ITA	48825	2022-01-15	11:00am	M	  	UND  	at	  	NEB  	 	   	 	 	d1     	2022-01-15T16:00Z			082751dd-3a21-4d4b-a83a-2bdd72eee938
ITA	91074	2022-01-15	12:00pm	M	  	FUR  	at	  	CLEM 	L	1-6	 	 	d1     	2022-01-15T17:00Z			91a3c6aa-1f3a-4ae8-86ab-0692de50533a
