---
season: 2021-22
division: d3
gender: women
description: composite schedule/scoreboard
updated: 2022-01-21
past: 578 (46%)
future: 692 (54%)
completed: 524 (91%)
unreported: 54 (9%)
sources:
  ITA: 718
  Conferences: 552
itaIds: 722
total: 1270
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
  CUNY	116604	2021-09-04	    TBA	W		HTR  	at		WCTST	W	8-1	 	 	d3     	                 	                                    		Danbury, CT		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnsllxCldQN2sX6P0phXXYm42U16u15e8DpLLInlza7zggTzv94gDTTiye7VM9HB%2bNYhZiwrE1yJm3XlXaH85HGpXSkX%2f1CyVz4eUJ8C%2fSJyA%3d%3d&path=wtennis)
   ITA	 81835	2021-09-04	10:00am	W		CARRL	at		NCENT	L	0-9	 	C	d3     	2021-09-04T14:00Z	d052c617-62b3-431a-9c72-ffc23beb497c				
   ITA	 83978	2021-09-04	10:00am	W		EDGE 	vs		LAKEF	L	4-5	N	 	d3     	2021-09-04T14:00Z	14ef88d7-3c6a-432d-8116-4e26083023ff				
   ITA	 24695	2021-09-04	10:00am	W		WISTO	at		DUBQ 	W	9-0	 	 	d3     	2021-09-04T14:00Z	1f0d4493-9472-4d1a-a320-b713dabadd18				
  NJAC	 82386	2021-09-04	11:00am	W		RTGC 	at		FDUF 	W	7-2	 	 	d3     	2021-09-04T15:00Z	                                    		Madison, NJ		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnYuNZ%2fdPh2Ftg82mzIMlGIOU7lvLCvbQqCoF2yoFS13kB7boxOtS%2bZARe8kKUr%2bc5nqkJm4uI5EybICwK5tJ6d2dG76vXSkOtEDyx9MgCo9VGrU35BTcAuEbT9QfvNo%2bI%3d&path=wten)
   ITA	 78610	2021-09-04	11:30am	W		MRIAN	at		RIPON	L	1-8	 	 	naia/d3	2021-09-04T15:30Z	bcfcb813-156d-4af7-ab38-96fa28943ae0				
   ITA	 48005	2021-09-04	12:00pm	W		MNKTO	at		LUTHR	W	6-3	 	 	d2/d3  	2021-09-04T16:00Z	b5aff4b5-8015-403e-a7f2-f8d2abf018ff				
   ITA	 55001	2021-09-04	12:00pm	W		MNKTO	at		LUTHR	L	1-8	 	 	d2/d3  	2021-09-04T16:00Z	3d3465ae-e863-4505-bf8b-e03a2f41f54e				
   ITA	 17036	2021-09-04	12:00pm	W		NVUL 	at		THOM 	 	   	 	 	d3     	2021-09-04T16:00Z	34d2d1a2-b82c-4f6d-85b8-528c7e540312				
 Skyln	 51408	2021-09-04	12:00pm	W		STVNS	at		FARM 	W	7-2	 	 	d3     	2021-09-04T16:00Z	                                    		Farmingdale, NY		
   ITA	 99833	2021-09-04	 1:00pm	W		SCRAN	at		MESS 	 	   	 	 	d3     	2021-09-04T17:00Z	92bf52a3-d147-41f1-9801-11c062653c41				
   ITA	 62185	2021-09-04	 1:00pm	W		W&J  	at		ALGNY	L	2-7	 	 	d3     	2021-09-04T17:00Z	3326fe6e-e489-4b42-9325-86eb628fc237				
  CCIW	 52990	2021-09-04	 1:30pm	W		CARRL	vs		McHEN	W	9-0	N	 	d3/juco	2021-09-04T17:30Z	                                    		Naperville, IL		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglOw8MkfFbEuruVN1fHx16jOKDsH8D09TmZeUG6NINB0Cyh9lGiepz6vJbXMiAkXHk9UmyH2jS7g2nErI%2bekPl4BucimFL%2fwA7jFthQiZDCaw%3d%3d&path=wten)
   ITA	 51995	2021-09-04	 1:30pm	W		CRNLC	at		VISTA	W	8-1	 	 	d3     	2021-09-04T17:30Z	bac9885e-f9e2-445f-810d-186576a4d0f4				
   ITA	 99493	2021-09-04	 2:00pm	W		JOHN 	at		BREV 	W	5-4	 	 	naia/d3	2021-09-04T18:00Z	f5b98a80-7132-45c8-81bd-3dbda232c310				
