---
division: d1
gender: M
matches: 1120
version: 2
---
dateET	timeET	rank	team	at	oppRank	opponent	outcome	score	location	conference	gender	division	teamId	opponentId	dualId	date
2022-01-15	 2:00pm	  	BOISE	at	  	ORE  	 	   	A	 	M	d1     				2022-01-15T19:00:00.000Z
2022-01-15	 2:00pm	  	AFA  	vs	  	EWU  	W	6-1	N	 	M	d1     				2022-01-15T19:00:00.000Z
2022-01-15	 2:00pm	  	IDST 	at	  	UTAH 	 	   	A	 	M	d1     				2022-01-15T19:00:00.000Z
2022-01-15	 2:00pm	  	MER  	at	  	BAMA 	L	1-6	A	 	M	d1     				2022-01-15T19:00:00.000Z
2022-01-15	 2:00pm	  	PUR  	at	  	SMU  	L	3-4	A	 	M	d1     				2022-01-15T19:00:00.000Z
2022-01-15	 2:30pm	  	KENN 	at	  	PRES 	 	   	A	 	M	d1     				2022-01-15T19:30:00.000Z
2022-01-15	 5:00pm	  	TROY 	at	  	FGCU 	 	   	A	 	M	d1     				2022-01-15T22:00:00.000Z
2022-01-15	 5:00pm	  	OMAHA	at	  	NEB  	 	   	A	 	M	d1     				2022-01-15T22:00:00.000Z
2022-01-15	 5:00pm	  	UCSB 	at	  	WASH 	 	   	A	 	M	d1     				2022-01-15T22:00:00.000Z
2022-01-15	 7:00pm	  	SAM  	at	  	BAMA 	L	0-1	A	 	M	d1     				2022-01-16T00:00:00.000Z
2022-01-15	 8:00pm	  	IDST 	at	  	UTAH 	 	   	A	 	M	d1     				2022-01-16T01:00:00.000Z
2022-01-15	 8:00pm	  	CAL  	at	  	TULSA	 	   	A	 	M	d1     				2022-01-16T01:00:00.000Z
2022-01-15	 8:00pm	  	WEBER	at	  	ORE  	 	   	A	 	M	d1     				2022-01-16T01:00:00.000Z
2022-01-15	 3:00pm	  	FERR 	at	  	WMU  	L	1-6	A	 	M	d2/d1  				2022-01-15T20:00:00.000Z
2022-01-15	 3:30pm	  	NKU  	at	  	TMORE	W	7-0	A	 	M	d1/naia				2022-01-15T20:30:00.000Z
2022-01-16	 1:00pm	 1	FLA  	at	 3	TEX  	 	   	A	 	M	d1     				2022-01-16T18:00:00.000Z
2022-01-16	 1:00pm	 4	TENN 	at	 5	TCU  	 	   	A	 	M	d1     				2022-01-16T18:00:00.000Z
2022-01-16	 1:00pm	  	VCU  	at	 7	UVA  	 	   	A	 	M	d1     				2022-01-16T18:00:00.000Z
